Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_Price,Oats_Area,Oats_Production,Oats_Production,Corn_Area,Corn_Production, Corn_Price ,Covid
1990,WA,53.46,51.52,52.35,52.38,58.55,59.13,62.1,61.35,52.16,53.11,48.17,49.33,5.72,4.96,5.14,4.68,4.46,4.64,4.94,4.72,4.7,5.29,5.43,5.59,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,308.36,257.08,291.34,222.34,171.69,127.86,131.94,160.65,232.78,297.89,356.29,383.49,28.16,26.83,27.8,23.52,20.01,15.18,15.03,16.62,19.94,23.39,27.49,28.37,84.22,32.74,23.03,15.02,17.74,12.66,19.65,20.99,6,13.27,10.24,21.93,3476.4,4800,166.42,421.42,628.06,146.49,339.9,529.4,88.22,0.7,4.8,187.5,0
1991,WA,49.8,50.78,53.75,51.66,53.67,63.34,61.58,57.03,55.92,52,52.05,51.13,5.86,5.95,4.63,4.6,4.43,4.45,4.56,4.89,4.76,4.99,5.78,5.49,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,376.23,323.13,296.87,230.58,174.8,106.81,124.6,166.78,215.69,312.6,320.24,361.71,29.6,29.5,27.21,24.26,19.84,17.21,15.95,17.09,19.98,25.14,24.93,27.95,62.04,66.64,13.18,12.86,18.73,43.96,27.61,7.15,6.98,6.06,18.43,21.75,3632.2,5449.1,103.77,497.69,742.25,115.74,324.1,496.8,75.09,0.9,5.4,203.71,0
1992,WA,47.85,54.44,56.33,60.55,62.41,66.35,59.11,64.75,63.96,55.19,51.33,48.7,5.35,5.41,4.91,4.23,4.09,4.58,4.57,5.08,4.82,4.96,5.82,6,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,359.84,312.18,279.11,185.8,131.14,101.05,129.49,148.86,185.59,279.44,329.93,366.06,28.4,28.5,27.61,23.81,18.99,16.74,16.15,16.27,18.66,22.39,24.53,27.29,31.05,36.59,55.85,60.78,34.51,39.3,7.4,40.16,18.58,13.74,13.27,11.03,3229.9,4736,170.85,554.5,899.64,124.39,367.2,614.3,96.37,0.8,4.9,224.49,0
1993,WA,49.98,55.25,56.47,54.6,61.22,66.83,63.99,60.42,58.2,52.67,51.39,49.62,5.54,6.18,4.61,4.54,4.41,4.88,4.93,4.78,4.79,5.4,5.09,5.86,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,376.74,271.39,290.48,228.82,133.48,103.44,120.3,156.95,202.64,283.31,309.02,341.87,29.55,27.23,26.72,24.64,18.97,15.29,14.73,16.42,19.25,22.12,26.36,27.36,50.07,109,16.77,12.88,42.74,39.62,13.57,26.16,10.56,7.09,19.98,52.86,3669.3,5978.9,151.99,611.08,1060.86,132.73,331.6,577.9,119.75,1.7,12.9,193.8,0
1994,WA,49.83,54.01,47.66,46.33,49.37,55.81,54.53,51.56,51.77,50.58,47.72,48,5.49,5.65,4.68,4.58,4.61,4.46,4.42,4.76,4.71,5.05,5.23,5.35,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,381.13,280.22,297.59,236.72,187.23,121.81,148.52,177.17,235.03,303.78,334.11,355.18,29.26,27.22,26.74,23.46,19.87,15.61,15.72,17.1,20.81,24.03,26.61,28.52,24.97,94.34,19.74,1.73,12.99,14.67,7.94,12.93,5.43,5.66,10.07,56.64,3852.4,6689.3,144.98,799.27,1381.4,113.3,268.5,511.11,85.51,1.64,14.61,136.9,0
1995,WA,53.2,55.23,52.58,57.1,56.28,61.26,64,56.91,60.55,51.06,49.94,53.11,5.5,5.5,4.68,4.32,4.88,5.16,5.03,4.98,4.95,5.28,5.41,5.66,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,350.95,242.7,250.45,182.37,147.48,125.46,122.04,181.52,213.89,300.95,320.19,327.78,29.12,26.98,25.39,22.68,18.07,15.6,15.71,17.51,21.1,23.41,25.98,27.28,59.87,164.73,42.33,42.03,14.76,26.13,28.94,5.14,10.28,8.37,16.26,64,3848.3,5437.9,211.1,579.13,914.92,172.92,256.47,424.77,134.43,1.63,11.38,175.78,0
1996,WA,48.38,48.89,52.5,53.51,50.86,63.33,63.02,62.02,56.69,52.36,48.06,50.61,5.75,5.06,5.54,4.7,4.58,4.32,5.29,4.6,5.27,5.05,5.61,5.92,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,390.99,346.87,307.33,209.12,178.14,111.01,122.85,161.89,232.01,300.66,349.61,351.85,29.19,29.45,26.77,23.43,19.56,18.01,16.45,17.28,20.34,24.35,26.84,27.59,17.75,37.98,65.83,42.88,7.22,38.86,43.2,15.78,13.26,13.84,14,58.81,3892.4,6826.7,237.15,744.53,1322.82,172.97,300.42,584.79,134.76,0.54,0.52,192.31,0
1997,WA,51.03,59.58,54.08,54.5,67.2,62.66,59.05,62.99,62.72,53.83,50.74,50.39,5.91,5.29,4.95,4.03,4.66,4.69,4.93,4.25,4.42,5.06,5.02,5.53,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,339.71,240.7,298.58,204.75,119.29,117.29,128.86,148.79,196,285.2,315.62,362.22,28.35,28.44,26.54,23.8,18.87,15.98,14.36,16.6,20.46,23.84,26.11,28.89,104.11,109.87,18.62,19.96,59.02,13.45,17.35,27.44,16,11.42,13.4,37.74,4263.7,7516,183.31,909.31,1635.35,150.68,316.31,546.06,117.03,0.65,5.13,214.72,0
1998,WA,49.38,50,51.58,56.75,56.89,62.2,69.44,62.83,58.41,55.02,52.72,54.11,5.93,5.31,4.52,4.45,4.24,5.12,4.63,4.29,5.1,5.12,5.28,5.4,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,379.56,332.17,303.75,203.92,163.81,118.46,106.39,156.6,215.25,291.72,316.89,308.62,29.94,30.18,28.1,23.96,21.53,16.52,14.78,18.41,20.3,24.25,26.94,27.56,42.39,34.6,34.92,35.8,23.96,45.54,46.33,26.06,11.6,16.95,37.34,89.62,4204.9,7724.5,235.98,1036.01,1926.28,202.55,304.91,596.08,177.95,0.38,3.15,272.99,0
1999,WA,58.54,59.22,60.7,55.34,57.75,61.45,61.16,60.38,57.08,54.86,51.64,54.39,5.45,5.22,4.84,4.59,4.26,4.51,4.45,4.69,4.86,5.07,5.24,5.58,18.89,17.55,15.25,12.4,9.62,8.39,8.97,11.32,14.32,16.94,18.74,19.49,0.58,0.54,0.44,0.32,0.22,0.17,0.18,0.25,0.35,0.44,0.52,0.57,334.65,239.29,244.92,192.1,149.05,116.83,128.11,164.29,221.23,264.2,270.2,304.13,29.53,27.24,26.65,22.37,20.02,16.28,15.52,17.36,20.38,23,24.96,27.14,63.32,118.05,87.76,31.27,34.61,18.14,14.87,10.95,10.66,22.94,32.55,71.54,4515.3,8170.1,235.98,811.4,1468.63,202.55,228.38,463.36,177.95,0.47,3.56,272.99,0
