Year,AUS_Jan_temp,AUS_Feb_temp,AUS_Mar_temp,AUS_Apr_temp,AUS_May_temp,AUS_Jun_temp,AUS_Jul_temp,AUS_Aug_temp,AUS_Sep_temp,AUS_Oct_temp,AUS_Nov_temp,AUS_Dec_temp,AUS_Jan_rain,AUS_Feb_rain,AUS_Mar_rain,AUS_Apr_rain,AUS_May_rain,AUS_Jun_rain,AUS_Jul_rain,AUS_Aug_rain,AUS_Sep_rain,AUS_Oct_rain,AUS_Nov_rain,AUS_Dec_rain,AUS_Wheat_Area,AUS_Wheat_Production,AUS_Barley_Area,AUS_Barley_Production,AUS_Oats_Area,AUS_Oats_Production,AUS_Rice_Area,AUS_Rice_Production,AUS_Corn (maize)_Area,AUS_Corn (maize)_Production,wheat_export_price,Rice_export_price,Barley_export_price,maize_export_price,Oat_export_price,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.00000 ,28.600000 ,28.100000 ,26.740000 ,22.260000 ,19.170000 ,14.800000 ,15.170000 ,15.880000 ,19.130000 ,23.320000 ,27.110000 ,28.370000 ,64.970000 ,39.740000 ,51.450000 ,62.910000 ,44.770000 ,21.410000 ,22.420000 ,20.220000 ,10.720000 ,16.560000 ,13.250000 ,44.750000 ,9 003.8,14 214.6,2 309.9,4 044.1,"1,089","1,640",105,846,52,218,142,386,145,306,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.00000 ,28.290000 ,27.790000 ,25.950000 ,22.550000 ,18.610000 ,17.130000 ,14.990000 ,16.390000 ,19.810000 ,24.350000 ,25.580000 ,27.020000 ,130.260000 ,120.580000 ,15.720000 ,13.960000 ,16.490000 ,36.500000 ,22.920000 ,11.890000 ,10.140000 ,7.690000 ,31.650000 ,43.010000 ,9 218.2,15 066.1,2 555.7,4 107.8,1 043.6,1 529.8, 89.0, 740.0, 48.3, 192.9,187,474,151,244,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.00000 ,27.630000 ,27.130000 ,26.760000 ,23.130000 ,18.700000 ,15.530000 ,15.130000 ,16.360000 ,19.100000 ,22.220000 ,24.220000 ,26.620000 ,39.800000 ,86.430000 ,35.240000 ,38.110000 ,37.480000 ,21.520000 ,10.400000 ,31.910000 ,26.600000 ,29.000000 ,30.910000 ,60.510000 ,7 183.0,10 557.3,2 744.2,4 529.7,1 160.1,1 689.8, 113.0, 957.0, 51.7, 268.2,209,477,165,227,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993.00000 ,28.480000 ,27.980000 ,25.810000 ,23.550000 ,18.950000 ,15.150000 ,15.520000 ,16.780000 ,19.290000 ,22.210000 ,26.020000 ,26.560000 ,84.190000 ,110.530000 ,25.500000 ,8.680000 ,30.020000 ,25.160000 ,27.680000 ,21.230000 ,23.890000 ,28.520000 ,31.900000 ,70.660000 ,8 274.7,14 738.7,2 947.2,5 396.8,1 149.1,1 936.4, 107.0, 858.0, 44.9, 198.2,178,561,163,254,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.00000 ,28.740000 ,28.240000 ,24.790000 ,22.050000 ,18.570000 ,15.280000 ,14.820000 ,15.710000 ,19.390000 ,23.400000 ,25.710000 ,28.110000 ,39.300000 ,102.810000 ,50.070000 ,8.980000 ,11.110000 ,16.800000 ,8.530000 ,8.410000 ,6.740000 ,12.220000 ,26.010000 ,47.700000 ,8 383.1,16 479.2,3 424.5,6 668.2, 947.3,1 646.5, 125.0,1 042.0, 43.7, 203.4,206,576,146,508,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.00000 ,28.180000 ,27.680000 ,24.940000 ,21.500000 ,17.930000 ,15.680000 ,14.990000 ,17.250000 ,20.530000 ,22.840000 ,25.970000 ,26.870000 ,101.840000 ,109.630000 ,53.450000 ,26.630000 ,29.670000 ,23.900000 ,20.850000 ,9.640000 ,16.630000 ,24.630000 ,40.950000 ,60.330000 ,7 890.6,8 961.4,2 470.5,2 913.2, 896.6, 924.1, 119.0,1 016.0, 50.0, 241.7,280,563,235,507,214,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.00000 ,28.060000 ,27.560000 ,25.830000 ,22.110000 ,18.630000 ,17.600000 ,15.530000 ,16.930000 ,19.930000 ,23.470000 ,25.570000 ,27.350000 ,71.470000 ,43.230000 ,63.420000 ,37.010000 ,21.530000 ,26.830000 ,37.380000 ,22.420000 ,21.500000 ,27.870000 ,22.040000 ,67.560000 ,9 220.8,16 503.9,3 110.6,5 822.7,1 136.2,1 874.8, 137.0, 966.0, 56.2, 310.9,236,571,208,359,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.00000 ,27.580000 ,27.080000 ,24.980000 ,22.320000 ,18.270000 ,15.230000 ,13.980000 ,16.120000 ,20.540000 ,23.490000 ,26.370000 ,28.180000 ,109.020000 ,118.920000 ,43.260000 ,10.040000 ,41.600000 ,13.010000 ,11.030000 ,17.830000 ,23.980000 ,20.520000 ,31.080000 ,73.880000 ,10 935.5,22 924.2,3 365.8,6 694.8,1 051.7,1 652.8, 152.0,1 254.0, 66.6, 397.5,240,613,217,328,196,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.00000 ,28.880000 ,28.380000 ,27.060000 ,22.840000 ,19.680000 ,15.970000 ,14.960000 ,17.780000 ,20.600000 ,23.690000 ,25.690000 ,27.300000 ,80.650000 ,57.840000 ,35.900000 ,49.630000 ,23.290000 ,34.970000 ,43.480000 ,29.690000 ,32.270000 ,32.920000 ,55.490000 ,72.730000 ,10 440.6,19 226.7,3 520.9,6 481.7, 936.6,1 634.3, 147.0,1 324.0, 57.3, 271.4,210,645,166,325,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.00000 ,29.150000 ,28.650000 ,26.180000 ,21.170000 ,19.320000 ,15.730000 ,15.220000 ,17.030000 ,20.590000 ,23.490000 ,23.970000 ,26.200000 ,86.200000 ,98.100000 ,86.100000 ,35.320000 ,22.830000 ,19.080000 ,16.390000 ,14.860000 ,12.040000 ,37.240000 ,62.300000 ,88.310000 ,11 542.6,21 464.8,3 167.3,5 987.2, 908.9,1 798.2, 149.0,1 362.0, 64.2, 337.3,200,605,197,266,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
