Year,NSW_Jan_humidity,NSW_Feb_humidity,NSW_Mar_humidity,NSW_Apr_humidity,NSW_May_humidity,NSW_Jun_humidity,NSW_Jul_humidity,NSW_Aug_humidity,NSW_Sep_humidity,NSW_Oct_humidity,NSW_Nov_humidity,NSW_Dec_humidity,NSW_Jan_wind,NSW_Feb_wind,NSW_Mar_wind,NSW_Apr_wind,NSW_May_wind,NSW_Jun_wind,NSW_Jul_wind,NSW_Aug_wind,NSW_Sep_wind,NSW_Oct_wind,NSW_Nov_wind,NSW_Dec_wind,NSW_Jan_uva,NSW_Feb_uva,NSW_Mar_uva,NSW_Apr_uva,NSW_May_uva,NSW_Jun_uva,NSW_Jul_uva,NSW_Aug_uva,NSW_Sep_uva,NSW_Oct_uva,NSW_Nov_uva,NSW_Dec_uva,NSW_Jan_uvb,NSW_Feb_uvb,NSW_Mar_uvb,NSW_Apr_uvb,NSW_May_uvb,NSW_Jun_uvb,NSW_Jul_uvb,NSW_Aug_uvb,NSW_Sep_uvb,NSW_Oct_uvb,NSW_Nov_uvb,NSW_Dec_uvb,NSW_year_eva,NSW_Jan_eva,NSW_Feb_eva,NSW_Mar_eva,NSW_Apr_eva,NSW_May_eva,NSW_Jun_eva,NSW_Jul_eva,NSW_Aug_eva,NSW_Sep_eva,NSW_Oct_eva,NSW_Nov_eva,NSW_Dec_eva,NSW_Jan_temp,NSW_Feb_temp,NSW_Mar_temp,NSW_Apr_temp,NSW_May_temp,NSW_Jun_temp,NSW_Jul_temp,NSW_Aug_temp,NSW_Sep_temp,NSW_Oct_temp,NSW_Nov_temp,NSW_Dec_temp,NSW_Jan_rain,NSW_Feb_rain,NSW_Mar_rain,NSW_Apr_rain,NSW_May_rain,NSW_Jun_rain,NSW_Jul_rain,NSW_Aug_rain,NSW_Sep_rain,NSW_Oct_rain,NSW_Nov_rain,NSW_Dec_rain,NSW_Wheat_Area,NSW_Wheat_Production,NSW_wheat_price,NSW_Barley_Area,NSW_Barley_Production,NSW_Barley_price,NSW_Oats_Area,NSW_Oats_Production,NSW_Oat_price,NSW_Rice_Area,NSW_Rice_Production,NSW_Rice_price,NSW_Corn (maize)_Area,NSW_Corn (maize)_Production,NSW_Corn_price
1990.00000 ,71.56,85.69,82.75,86.81,86.44,83.94,82.88,78.75,80.19,75.12,63.88,62.38,5.42,5.47,6.48,4.44,4.57,5,4.91,8.71,5.2,6.41,4.7,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.34,315.11,211.74,224.64,101.06,76.17,52.72,55.88,77.48,118.52,186.28,262.33,326.2,26.060000 ,23.760000 ,22.860000 ,18.560000 ,13.980000 ,9.990000 ,10.130000 ,10.300000 ,13.920000 ,17.650000 ,21.980000 ,25.850000 ,45.120000 ,82.600000 ,36.110000 ,153.700000 ,66.610000 ,29.410000 ,57.560000 ,49.320000 ,31.680000 ,33.090000 ,11.710000 ,23.480000 ,2 123.4,3 423.3, 149 , 412.9, 655.6, 145.8, 365.2, 503.5, 93.9,100,816, 145.0,17,98, 148.6
1991.00000 ,67.06,68.44,66.19,64.06,79.44,82.38,81.56,69.62,63.19,64.62,62.5,72.81,4.24,6.34,5.23,5.7,4.56,5.32,5.07,5.31,5.5,5.81,5.8,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.37,297.68,259.62,241.56,148.09,81.9,62.51,64.27,107.51,152.95,221,250.71,264.58,26.160000 ,26.400000 ,22.000000 ,17.700000 ,14.010000 ,13.090000 ,9.640000 ,10.920000 ,14.140000 ,19.370000 ,20.910000 ,22.300000 ,80.350000 ,35.920000 ,15.290000 ,12.120000 ,42.820000 ,73.130000 ,45.480000 ,23.000000 ,22.890000 ,12.920000 ,25.330000 ,81.040000 ,2 165.8,4 127.6, 74 , 463.3, 822.5, 103.3, 374.3, 538.4, 84.3, 85.0, 719.0, 162.0, 17.8, 90.6, 150.1
1992.00000 ,73.81,84.31,84.12,82,82.25,79.69,75,68.94,64.12,69.5,69.81,79.81,5.61,5.16,4.64,4.51,5.4,4.21,5.88,6.69,5.2,6.3,5.65,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.20,299.82,199.04,208.67,137.41,71.21,49.88,73.45,90.01,118.04,171.61,196.07,199.24,23.660000 ,23.440000 ,22.690000 ,18.390000 ,13.610000 ,10.150000 ,10.060000 ,10.510000 ,12.640000 ,17.250000 ,18.630000 ,22.120000 ,44.860000 ,98.010000 ,23.350000 ,35.200000 ,28.960000 ,21.730000 ,21.480000 ,53.250000 ,40.760000 ,56.840000 ,75.760000 ,122.100000 ,1 499.3,2 183.0, 162 , 517.5, 748.7, 129.0, 456.7, 578.8, 82.1, 109.0, 929.0, 164.9, 16.8, 119.1, 152.0
1993.00000 ,73.19,69.44,73.88,72.38,73.88,72.94,84.31,75.19,72.56,65.88,67.31,66.25,6.34,4.94,4.92,3.98,4.98,5.99,3.99,5.27,5.52,5.54,5.7,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.44,263.97,219.64,194.77,145.15,76.29,55.42,55.4,89.7,115.93,169.68,221.07,246.28,25.780000 ,24.740000 ,21.240000 ,16.940000 ,14.100000 ,10.030000 ,11.440000 ,11.970000 ,13.870000 ,16.600000 ,20.910000 ,22.370000 ,70.610000 ,38.510000 ,47.800000 ,6.950000 ,31.360000 ,26.840000 ,76.600000 ,20.900000 ,59.340000 ,73.380000 ,39.420000 ,61.250000 ,1 694.0,3 582.7, 133 , 559.7,1 043.8, 102.8, 447.7, 761.5, 65.3, 105.0, 846.0, 159.6, 15.6, 107.9, 165.9
1994.00000 ,61.38,73.62,75.94,74.38,66.62,77.25,74.88,66.69,54.31,60,64.12,69.06,5.55,5.63,7.52,6.34,4.59,4.38,5.12,4.09,5.8,6.42,6.73,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.90,331.76,194.91,179.77,138.05,103.59,65.2,69.79,100.83,160.89,214.43,248.99,326.6,25.320000 ,24.570000 ,19.870000 ,15.570000 ,13.530000 ,11.210000 ,9.810000 ,10.250000 ,13.420000 ,17.860000 ,21.300000 ,25.380000 ,19.710000 ,85.820000 ,50.730000 ,18.180000 ,11.310000 ,26.050000 ,13.880000 ,9.500000 ,12.130000 ,24.930000 ,43.700000 ,38.880000 ,1 977.7,5 086.1, 123 , 623.0,1 357.0, 88.9, 369.0, 617.8, 74.6, 125.0,1 042.0, 223.3, 14.2, 100.0, 160.0
1995.00000 ,74.88,72.38,76.75,66.62,81.06,80.25,70.5,66.06,72.81,69.62,70.06,70.44,5.52,5.91,5.94,4.96,4.31,6.45,5.55,5.37,8.64,5.97,5.52,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.48,256.1,216.73,224.86,136.84,72.26,56.72,66.86,109.93,129.72,190.94,213.02,275.75,24.330000 ,23.770000 ,21.090000 ,16.790000 ,14.110000 ,11.060000 ,9.220000 ,13.030000 ,14.400000 ,18.030000 ,21.500000 ,22.170000 ,140.460000 ,32.060000 ,24.260000 ,13.620000 ,77.510000 ,37.620000 ,29.700000 ,4.610000 ,48.680000 ,44.960000 ,78.100000 ,46.310000 ,1 423.8, 874.6, 204 , 409.8, 291.5, 201.7, 375.5, 197.3, 210.9, 119.0,1 016.0, 191.9, 20.5, 145.3, 218.1
1996.00000 ,75.81,68.69,71,63.12,79.5,80.19,76.94,69.81,68.62,70.19,63.06,67.38,4.08,5.76,4.96,4.34,4.89,5.55,4.87,6.64,5.15,5.2,5.18,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.35,270.41,243.01,217.94,143.35,77.88,60.21,58.57,85.59,151.14,193.74,249.14,293.26,24.720000 ,22.650000 ,21.750000 ,17.450000 ,14.140000 ,11.940000 ,9.920000 ,11.330000 ,14.330000 ,18.000000 ,19.750000 ,23.190000 ,99.240000 ,32.120000 ,27.290000 ,15.880000 ,78.100000 ,38.460000 ,62.030000 ,44.100000 ,48.410000 ,38.340000 ,49.540000 ,57.990000 ,2 328.3,4 508.4, 200 , 593.2,1 073.6, 183.2, 505.1, 711.2, 154.7, 136.0, 965.0, 203.0, 23.6, 190.0, 196.8
1997.00000 ,69.88,80.25,72.06,65.94,80.75,79.88,82.5,69.88,74.44,65.56,65.25,63.06,5.38,4.12,4.61,5.92,6.91,5.2,3.67,4.21,4.98,5.31,5.38,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.93,299.48,231.55,216.24,154.43,81.32,62.03,67.73,101.45,121.04,207.95,267.47,312.42,24.150000 ,26.740000 ,21.280000 ,16.980000 ,14.230000 ,10.540000 ,9.070000 ,10.670000 ,14.590000 ,18.420000 ,23.320000 ,25.420000 ,61.100000 ,70.020000 ,27.270000 ,3.420000 ,51.780000 ,35.190000 ,14.420000 ,18.620000 ,62.370000 ,38.840000 ,37.280000 ,43.110000 ,3 192.0,8 363.4, 166 , 668.2,1 483.0, 164.3, 392.7, 607.2, 113.3, 151.0,1 248.0, 205.0, 30.7, 255.9, 199.3
1998.00000 ,70.5,65.38,66.69,72.81,82.94,84.62,82.38,83.75,81.5,72.12,74,69.81,5.47,4.99,5.94,4.08,5.85,6.62,5.97,7.13,5.8,5.29,5.6,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.28,292.53,244.83,256.6,135.28,78.84,59.45,52.9,77.9,113.04,174.3,205.99,291.67,26.020000 ,25.340000 ,23.730000 ,19.430000 ,13.750000 ,10.620000 ,9.400000 ,12.370000 ,15.390000 ,16.850000 ,19.700000 ,24.170000 ,60.060000 ,39.600000 ,6.870000 ,56.430000 ,41.550000 ,52.740000 ,91.310000 ,69.000000 ,81.720000 ,44.230000 ,57.240000 ,25.590000 ,2 936.2,5 906.4, - , 701.1,1 364.7, 0.0, 324.9, 488.2, 0.0, 146.0,1 320.0, 0.0, 22.4, 161.2, 0.0
1999.00000 ,73,75.12,73.31,79.56,76.5,78.81,81.62,79.38,74.94,78.06,70.56,70.69,5.41,5.55,5.17,6.58,5.8,5.31,5.38,4.98,4.37,5.63,4.79,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.31,300.6,220.13,188.18,125.61,85.7,60.7,63.85,99.32,146,169.99,201.46,238.15,27.330000 ,24.220000 ,22.230000 ,17.930000 ,14.680000 ,10.920000 ,10.940000 ,11.820000 ,15.900000 ,18.790000 ,18.450000 ,21.630000 ,56.220000 ,40.790000 ,70.940000 ,46.030000 ,28.030000 ,39.820000 ,48.840000 ,41.760000 ,32.270000 ,91.190000 ,63.750000 ,90.090000 ,3 173.8,6 563.3, - , 638.0,1 247.4, 0.0, 354.0, 669.1, 0.0, 148.0,1 357.0, 0.0, 26.5, 186.2, 0.0
