Year,TA_Jan_humidity,TA_Feb_humidity,TA_Mar_humidity,TA_Apr_humidity,TA_May_humidity,TA_Jun_humidity,TA_Jul_humidity,TA_Aug_humidity,TA_Sep_humidity,TA_Oct_humidity,TA_Nov_humidity,TA_Dec_humidity,TA_Jan_wind,TA_Feb_wind,TA_Mar_wind,TA_Apr_wind,TA_May_wind,TA_Jun_wind,TA_Jul_wind,TA_Aug_wind,TA_Sep_wind,TA_Oct_wind,TA_Nov_wind,TA_Dec_wind,TA_Jan_uva,TA_Feb_uva,TA_Mar_uva,TA_Apr_uva,TA_May_uva,TA_Jun_uva,TA_Jul_uva,TA_Aug_uva,TA_Sep_uva,TA_Oct_uva,TA_Nov_uva,TA_Dec_uva,TA_Jan_uvb,TA_Feb_uvb,TA_Mar_uvb,TA_Apr_uvb,TA_May_uvb,TA_Jun_uvb,TA_Jul_uvb,TA_Aug_uvb,TA_Sep_uvb,TA_Oct_uvb,TA_Nov_uvb,TA_Dec_uvb,TA_year_eva,TA_Jan_eva,TA_Feb_eva,TA_Mar_eva,TA_Apr_eva,TA_May_eva,TA_Jun_eva,TA_Jul_eva,TA_Aug_eva,TA_Sep_eva,TA_Oct_eva,TA_Nov_eva,TA_Dec_eva,TA_Jan_temp,TA_Feb_temp,TA_Mar_temp,TA_Apr_temp,TA_May_temp,TA_Jun_temp,TA_Jul_temp,TA_Aug_temp,TA_Sep_temp,TA_Oct_temp,TA_Nov_temp,TA_Dec_temp,TA_Jan_rain,TA_Feb_rain,TA_Mar_rain,TA_Apr_rain,TA_May_rain,TA_Jun_rain,TA_Jul_rain,TA_Aug_rain,TA_Sep_rain,TA_Oct_rain,TA_Nov_rain,TA_Dec_rain,TA_Wheat_Area,TA_Wheat_Production,TAS_wheat_price,TA_Barley_Area,TA_Barley_Production,TAS_Barley_price,TA_Rice_Area,TA_Rice_Production,TA_Rice_Price,TA_Corn (maize)_Area,TA_Corn (maize)_Production,TAS_Corn (maize)_price,TA_Oats_Area,TA_Oats_Production, TA_Oats_Price 
1990.00000 ,80.12000 ,81.06000 ,80.06000 ,88.62000 ,94.19000 ,95.94000 ,96.06000 ,93.31000 ,90.12000 ,86.69000 ,84.75000 ,84.38000 ,11.51000 ,10.70000 ,9.09000 ,9.43000 ,10.46000 ,10.14000 ,10.31000 ,8.44000 ,9.55000 ,8.98000 ,11.85000 ,10.73000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,84.35,179.80000 ,111.61000 ,112.20000 ,63.09000 ,41.10000 ,26.08000 ,34.75000 ,31.16000 ,58.43000 ,89.35000 ,125.07000 ,139.55000 ,14.540000 ,14.490000 ,14.210000 ,12.010000 ,8.750000 ,7.330000 ,6.220000 ,5.750000 ,8.120000 ,10.270000 ,12.080000 ,13.360000 ,64.970000 ,80.950000 ,63.010000 ,85.700000 ,123.210000 ,151.540000 ,201.620000 ,140.430000 ,98.440000 ,99.100000 ,107.810000 ,113.560000 , 0.8, 2.7,185.1851852, 8.0, 19.3, 186.3,0,0,0,0,0,0, 7.6, 12.8, 156 
1991.00000 ,83.44000 ,81.19000 ,84.62000 ,90.81000 ,92.62000 ,95.75000 ,95.38000 ,95.56000 ,92.25000 ,85.62000 ,86.25000 ,84.50000 ,10.19000 ,11.13000 ,9.84000 ,10.90000 ,8.62000 ,8.72000 ,8.82000 ,11.87000 ,11.11000 ,11.51000 ,10.66000 ,9.08000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,80.58,156.58000 ,139.81000 ,95.55000 ,57.62000 ,26.49000 ,21.90000 ,24.81000 ,43.02000 ,55.01000 ,99.37000 ,112.67000 ,134.08000 ,14.760000 ,13.270000 ,12.050000 ,10.330000 ,8.540000 ,7.980000 ,6.480000 ,6.320000 ,7.900000 ,10.390000 ,10.890000 ,13.310000 ,100.300000 ,19.650000 ,88.940000 ,95.830000 ,44.120000 ,175.780000 ,145.800000 ,260.790000 ,131.920000 ,89.110000 ,130.360000 ,106.650000 , 0.6, 2.4,125, 9.8, 26.0, 173.2, 0.0, 0.0,0, 0.0, 0.0,0, 9.3, 18.8, 133 
1992.00000 ,85.12000 ,83.12000 ,85.69000 ,91.19000 ,92.88000 ,95.44000 ,95.69000 ,94.75000 ,91.50000 ,85.69000 ,85.44000 ,83.25000 ,11.57000 ,9.66000 ,10.71000 ,10.34000 ,8.05000 ,9.89000 ,10.91000 ,9.09000 ,10.77000 ,10.05000 ,12.92000 ,9.48000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,76.00,133.36000 ,129.64000 ,115.56000 ,54.05000 ,29.08000 ,20.20000 ,26.90000 ,34.01000 ,44.96000 ,86.24000 ,106.75000 ,131.28000 ,12.970000 ,14.210000 ,14.050000 ,11.210000 ,8.790000 ,5.610000 ,6.170000 ,6.130000 ,6.720000 ,10.390000 ,11.280000 ,14.070000 ,98.160000 ,58.770000 ,36.500000 ,143.080000 ,127.720000 ,115.210000 ,206.920000 ,181.400000 ,134.790000 ,120.270000 ,131.030000 ,80.530000 , 1.2, 3.2,156.25, 11.3, 31.8, 141.5, 0.0, 0.0,0, 0.0, 0.0,0, 9.1, 18.6, 113 
1993.00000 ,82.69000 ,83.88000 ,87.12000 ,89.94000 ,94.25000 ,96.38000 ,95.62000 ,93.19000 ,89.69000 ,88.69000 ,86.25000 ,85.81000 ,10.34000 ,10.30000 ,10.22000 ,9.77000 ,8.86000 ,10.72000 ,11.09000 ,11.70000 ,9.25000 ,11.29000 ,11.34000 ,11.11000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,76.85,145.39000 ,121.81000 ,82.76000 ,54.68000 ,38.14000 ,26.96000 ,26.40000 ,48.45000 ,55.28000 ,90.15000 ,102.21000 ,129.94000 ,15.090000 ,15.150000 ,13.340000 ,12.070000 ,8.790000 ,6.580000 ,7.410000 ,7.950000 ,8.470000 ,9.800000 ,10.820000 ,13.140000 ,77.450000 ,116.940000 ,64.250000 ,68.360000 ,118.230000 ,148.430000 ,142.080000 ,160.400000 ,90.380000 ,130.280000 ,127.840000 ,178.140000 , 1.5, 5.5,145.4545455, 12.3, 35.3, 138.9, 0.0, 0.0,0, 0.0, 0.0,0, 9.2, 19.0, 105 
1994.00000 ,85.19000 ,84.00000 ,83.31000 ,89.50000 ,93.94000 ,95.38000 ,95.31000 ,94.62000 ,91.88000 ,86.31000 ,86.94000 ,77.75000 ,12.97000 ,10.11000 ,8.93000 ,10.84000 ,10.87000 ,9.00000 ,10.69000 ,10.62000 ,10.45000 ,10.48000 ,10.97000 ,11.16000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,87.67,145.42000 ,117.42000 ,97.21000 ,63.60000 ,51.60000 ,24.04000 ,28.77000 ,46.74000 ,64.51000 ,96.57000 ,118.58000 ,197.53000 ,12.910000 ,15.100000 ,12.630000 ,11.900000 ,8.410000 ,6.660000 ,6.450000 ,6.180000 ,6.880000 ,9.930000 ,10.760000 ,14.690000 ,111.250000 ,66.160000 ,23.860000 ,102.700000 ,242.000000 ,106.120000 ,140.920000 ,154.840000 ,136.830000 ,99.960000 ,146.210000 ,24.620000 , 1.6, 5.3,132.0754717, 15.2, 40.8, 149.7, 0.0, 0.0,0, 0.0, 0.0,0, 6.7, 12.7, 118 
1995.00000 ,81.69000 ,79.75000 ,85.81000 ,91.62000 ,93.62000 ,94.75000 ,96.12000 ,93.56000 ,90.75000 ,86.31000 ,85.19000 ,83.81000 ,9.66000 ,10.18000 ,10.71000 ,9.92000 ,9.82000 ,7.91000 ,9.55000 ,11.47000 ,11.11000 ,12.74000 ,12.71000 ,11.27000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,78.16,149.18000 ,117.93000 ,106.37000 ,57.09000 ,31.78000 ,21.34000 ,21.93000 ,49.67000 ,57.19000 ,92.43000 ,102.94000 ,130.04000 ,15.590000 ,14.990000 ,12.520000 ,9.620000 ,8.210000 ,5.950000 ,4.740000 ,7.020000 ,7.110000 ,9.150000 ,10.870000 ,11.740000 ,115.550000 ,52.870000 ,110.960000 ,136.910000 ,86.450000 ,129.470000 ,143.960000 ,180.830000 ,108.670000 ,93.320000 ,92.010000 ,92.130000 , 1.3, 2.8,214.2857143, 14.0, 27.1, 199.5, 0.0, 0.0,0, 0.0, 0.0,0, 8.3, 11.3, 195 
1996.00000 ,82.06000 ,83.25000 ,88.06000 ,92.94000 ,94.06000 ,95.62000 ,95.06000 ,94.12000 ,92.06000 ,89.19000 ,85.88000 ,82.75000 ,11.55000 ,10.73000 ,12.02000 ,12.89000 ,9.49000 ,10.98000 ,9.95000 ,10.38000 ,11.95000 ,10.61000 ,11.27000 ,11.62000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,79.62,148.68000 ,108.69000 ,88.87000 ,49.89000 ,39.58000 ,25.41000 ,22.59000 ,51.47000 ,72.94000 ,90.66000 ,111.68000 ,144.99000 ,14.630000 ,13.550000 ,12.930000 ,9.550000 ,8.930000 ,6.750000 ,6.070000 ,6.790000 ,7.270000 ,10.160000 ,9.890000 ,11.710000 ,148.370000 ,108.420000 ,135.000000 ,169.020000 ,65.320000 ,127.400000 ,120.820000 ,203.450000 ,204.790000 ,128.310000 ,130.800000 ,69.840000 , 1.1, 4.1,219.5121951, 14.0, 38.5, 210.6, 0.0, 0.0,0, 0.0, 0.0,0, 10.1, 18.4, 152 
1997.00000 ,80.62000 ,80.50000 ,85.38000 ,89.56000 ,93.69000 ,95.19000 ,95.38000 ,94.88000 ,89.62000 ,86.12000 ,83.75000 ,83.38000 ,10.11000 ,9.49000 ,10.30000 ,11.85000 ,9.28000 ,8.23000 ,10.10000 ,10.44000 ,8.70000 ,11.74000 ,12.23000 ,11.18000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,86.74,159.26000 ,119.88000 ,111.50000 ,66.38000 ,33.38000 ,19.41000 ,33.81000 ,48.65000 ,55.34000 ,105.62000 ,129.10000 ,158.52000 ,15.420000 ,15.880000 ,12.240000 ,10.530000 ,8.300000 ,6.770000 ,5.770000 ,6.820000 ,8.080000 ,10.050000 ,11.530000 ,12.930000 ,93.460000 ,45.230000 ,105.230000 ,105.230000 ,138.050000 ,70.470000 ,106.970000 ,154.530000 ,97.970000 ,112.410000 ,93.790000 ,91.210000 , 1.9, 7.5,173.3333333, 14.5, 35.2, 176.0, 0.0, 0.0,0, 0.0, 0.0,0, 8.1, 14.0, 150 
1998.00000 ,79.19000 ,82.62000 ,82.81000 ,90.88000 ,93.12000 ,94.94000 ,95.81000 ,90.75000 ,90.50000 ,88.44000 ,83.31000 ,82.81000 ,10.16000 ,11.55000 ,12.49000 ,10.20000 ,9.83000 ,9.47000 ,10.09000 ,10.02000 ,11.12000 ,13.04000 ,9.91000 ,10.60000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,89.82,184.90000 ,139.83000 ,120.08000 ,61.33000 ,34.80000 ,27.49000 ,30.50000 ,41.61000 ,66.61000 ,89.65000 ,119.97000 ,161.03000 ,15.720000 ,14.330000 ,13.120000 ,10.270000 ,8.470000 ,6.620000 ,5.870000 ,6.850000 ,9.080000 ,9.200000 ,11.220000 ,14.380000 ,48.130000 ,95.640000 ,55.460000 ,104.690000 ,87.630000 ,120.440000 ,135.990000 ,84.980000 ,158.270000 ,157.590000 ,99.390000 ,108.500000 , 2.8, 11.7,0, 13.2, 30.9, 0.0, 0.0, 0.0,0, 0.0, 0.0,0, 8.0, 14.9, - 
1999.00000 ,79.06000 ,86.25000 ,86.88000 ,90.50000 ,94.88000 ,94.81000 ,94.19000 ,93.94000 ,90.12000 ,86.94000 ,83.19000 ,81.44000 ,8.98000 ,11.06000 ,11.16000 ,9.08000 ,8.79000 ,8.84000 ,11.41000 ,10.01000 ,11.34000 ,10.54000 ,11.23000 ,10.50000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,84.02,167.90000 ,113.96000 ,97.91000 ,52.07000 ,41.01000 ,24.45000 ,34.37000 ,41.65000 ,61.09000 ,95.53000 ,115.85000 ,162.45000 ,15.760000 ,16.050000 ,13.270000 ,10.100000 ,10.260000 ,7.250000 ,6.600000 ,7.610000 ,9.520000 ,10.890000 ,10.730000 ,13.880000 ,27.690000 ,154.400000 ,100.540000 ,78.770000 ,136.220000 ,73.940000 ,121.850000 ,121.880000 ,78.850000 ,112.060000 ,90.730000 ,81.170000 , 4.0, 17.5,0, 11.2, 30.0, 0.0, 0.0, 0.0,0, 0.0, 0.1,0, 8.0, 14.4, - 
2000.00000 ,80.56000 ,74.69000 ,79.81000 ,86.69000 ,94.19000 ,95.94000 ,94.69000 ,92.50000 ,92.06000 ,88.81000 ,83.38000 ,81.12000 ,11.09000 ,11.69000 ,11.58000 ,12.01000 ,10.42000 ,10.25000 ,10.67000 ,11.06000 ,11.02000 ,11.83000 ,8.41000 ,14.48000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,96.07,163.80000 ,163.26000 ,117.30000 ,68.11000 ,48.48000 ,33.19000 ,30.04000 ,43.07000 ,75.65000 ,97.01000 ,128.80000 ,184.11000 ,14.430000 ,16.400000 ,13.720000 ,10.960000 ,9.330000 ,7.290000 ,6.480000 ,6.910000 ,8.400000 ,9.970000 ,14.090000 ,13.440000 ,75.550000 ,60.990000 ,61.770000 ,74.010000 ,168.840000 ,100.980000 ,173.760000 ,92.570000 ,173.020000 ,159.790000 ,62.760000 ,100.300000 , 6.3, 19.8,0, 9.1, 22.2, 0.0, 0.0, 0.0,0, 0.0, 0.0,0, 6.3, 9.7, - 
