Year,Qld_Jan_humidity,Qld_Feb_humidity,Qld_Mar_humidity,Qld_Apr_humidity,Qld_May_humidity,Qld_Jun_humidity,Qld_Jul_humidity,Qld_Aug_humidity,Qld_Sep_humidity,Qld_Oct_humidity,Qld_Nov_humidity,Qld_Dec_humidity,Qld_Jan_wind,Qld_Feb_wind,Qld_Mar_wind,Qld_Apr_wind,Qld_May_wind,Qld_Jun_wind,Qld_Jul_wind,Qld_Aug_wind,Qld_Sep_wind,Qld_Oct_wind,Qld_Nov_wind,Qld_Dec_wind,Qld_Jan_uva,Qld_Feb_uva,Qld_Mar_uva,Qld_Apr_uva,Qld_May_uva,Qld_Jun_uva,Qld_Jul_uva,Qld_Aug_uva,Qld_Sep_uva,Qld_Oct_uva,Qld_Nov_uva,Qld_Dec_uva,Qld_Jan_uvb,Qld_Feb_uvb,Qld_Mar_uvb,Qld_Apr_uvb,Qld_May_uvb,Qld_Jun_uvb,Qld_Jul_uvb,Qld_Aug_uvb,Qld_Sep_uvb,Qld_Oct_uvb,Qld_Nov_uvb,Qld_Dec_uvb,QLD_year_eva,Qld_Jan_eva,Qld_Feb_eva,Qld_Mar_eva,Qld_Apr_eva,Qld_May_eva,Qld_Jun_eva,Qld_Jul_eva,Qld_Aug_eva,Qld_Sep_eva,Qld_Oct_eva,Qld_Nov_eva,Qld_Dec_eva,Qld_Jan_temp,Qld_Feb_temp,Qld_Mar_temp,Qld_Apr_temp,Qld_May_temp,Qld_Jun_temp,Qld_Jul_temp,Qld_Aug_temp,Qld_Sep_temp,Qld_Oct_temp,Qld_Nov_temp,Qld_Dec_temp,Qld_Jan_rain,Qld_Feb_rain,Qld_Mar_rain,Qld_Apr_rain,Qld_May_rain,Qld_Jun_rain,Qld_Jul_rain,Qld_Aug_rain,Qld_Sep_rain,Qld_Oct_rain,Qld_Nov_rain,Qld_Dec_rain,Qld_Wheat_Area,Qld_Wheat_Production,Qld_wheat_price,Qld_Barley_Area,Qld_Barley_Production,Qld_Barely_price,Qld_Rice_Area,Qld_Rice_Production,Qld_Rice_price,Qld_Oats_Area,Qld_Oats_Production,Qld_Oats_price,Qld_Corn (maize)_Area,Qld_Corn (maize)_Production,Qld_Corn_price
1990.00000 ,39.44000 ,42.25000 ,63.94000 ,85.06000 ,84.88000 ,83.44000 ,78.12000 ,61.00000 ,52.81000 ,38.88000 ,31.19000 ,47.38000 ,9.03000 ,8.92000 ,11.90000 ,8.32000 ,7.22000 ,7.35000 ,8.92000 ,11.14000 ,8.86000 ,12.18000 ,8.77000 ,10.27000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,225.04,315.24000 ,289.12000 ,242.80000 ,145.23000 ,138.57000 ,109.33000 ,128.30000 ,170.97000 ,220.85000 ,268.04000 ,337.48000 ,334.50000 ,30.240000 ,28.470000 ,26.950000 ,22.990000 ,20.380000 ,16.430000 ,16.720000 ,16.620000 ,20.320000 ,24.910000 ,28.530000 ,30.060000 ,48.980000 ,38.730000 ,138.500000 ,144.050000 ,69.860000 ,38.620000 ,10.560000 ,3.710000 ,4.810000 ,13.220000 ,11.770000 ,81.720000 , 894.3,1 420.0, 160 , 179.4, 320.7, 140 ,5,30, 180 , 15.4, 27.1, 81 ,34,115, 155 
1991.00000 ,59.00000 ,57.19000 ,40.69000 ,43.00000 ,59.12000 ,52.38000 ,54.62000 ,40.94000 ,28.62000 ,33.38000 ,40.31000 ,43.25000 ,11.12000 ,9.70000 ,9.09000 ,9.06000 ,7.43000 ,7.15000 ,8.31000 ,9.48000 ,10.48000 ,9.70000 ,9.30000 ,8.87000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,221.00,234.44000 ,180.23000 ,258.03000 ,199.54000 ,164.99000 ,123.34000 ,139.29000 ,188.54000 ,242.16000 ,307.37000 ,299.37000 ,314.70000 ,27.820000 ,27.790000 ,26.650000 ,23.330000 ,20.400000 ,18.390000 ,15.790000 ,17.930000 ,21.530000 ,25.730000 ,28.380000 ,28.280000 ,276.010000 ,233.900000 ,18.430000 ,10.640000 ,16.930000 ,8.880000 ,9.930000 ,0.520000 ,0.570000 ,9.890000 ,37.810000 ,75.800000 ,1 060.3,1 973.2, 95 , 176.9, 360.8, 107 , 4.0, 21.0, 195 , 24.2, 5.2," 1,038 ", 29.3, 94.9, 150 
1992.00000 ,37.75000 ,59.81000 ,53.06000 ,56.62000 ,63.69000 ,63.31000 ,56.25000 ,46.19000 ,44.00000 ,39.31000 ,38.75000 ,50.06000 ,8.38000 ,10.23000 ,9.37000 ,8.64000 ,8.34000 ,6.64000 ,8.77000 ,12.45000 ,9.98000 ,9.29000 ,10.72000 ,9.40000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,228.58,352.38000 ,226.72000 ,258.78000 ,215.98000 ,145.05000 ,122.62000 ,142.37000 ,186.86000 ,215.90000 ,283.42000 ,297.85000 ,295.02000 ,29.600000 ,28.250000 ,27.190000 ,24.490000 ,20.750000 ,16.400000 ,16.350000 ,18.750000 ,21.900000 ,24.180000 ,26.490000 ,27.870000 ,58.380000 ,168.250000 ,30.300000 ,18.370000 ,42.270000 ,2.980000 ,6.830000 ,11.790000 ,20.150000 ,17.290000 ,30.340000 ,102.170000 , 491.7, 343.7, 182 , 127.8, 70.1, 171 , 4.0, 28.0, 196 , 15.0, 9.7, 93 , 33.7, 141.2, 144 
1993.00000 ,52.56000 ,47.19000 ,39.31000 ,44.19000 ,51.75000 ,61.44000 ,66.56000 ,52.62000 ,55.81000 ,45.56000 ,49.06000 ,50.88000 ,9.24000 ,7.81000 ,8.00000 ,7.59000 ,9.02000 ,8.23000 ,8.27000 ,8.55000 ,9.71000 ,10.77000 ,8.84000 ,10.26000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,228.11,272.79000 ,225.09000 ,282.15000 ,235.75000 ,167.14000 ,138.97000 ,133.15000 ,185.01000 ,222.84000 ,275.73000 ,294.99000 ,303.76000 ,29.010000 ,28.370000 ,26.890000 ,24.650000 ,21.330000 ,17.590000 ,18.570000 ,18.760000 ,21.640000 ,24.610000 ,27.860000 ,28.130000 ,108.150000 ,127.160000 ,27.360000 ,7.380000 ,12.290000 ,11.090000 ,30.690000 ,20.640000 ,21.340000 ,24.570000 ,42.720000 ,70.860000 , 669.2, 735.2, 155 , 189.3, 285.2, 138 , 2.0, 12.0, 192 , 14.8, 7.8, 270 , 27.2, 74.6, 196 
1994.00000 ,39.19000 ,65.25000 ,67.12000 ,53.56000 ,44.12000 ,56.25000 ,49.94000 ,42.38000 ,28.56000 ,36.62000 ,42.69000 ,41.31000 ,8.57000 ,9.69000 ,9.07000 ,7.54000 ,7.77000 ,8.34000 ,10.15000 ,8.74000 ,9.85000 ,11.79000 ,11.45000 ,8.07000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,232.93,337.37000 ,209.64000 ,216.08000 ,214.06000 ,168.99000 ,130.51000 ,154.10000 ,191.39000 ,243.47000 ,293.51000 ,312.43000 ,323.60000 ,30.680000 ,28.230000 ,25.050000 ,23.180000 ,19.890000 ,16.750000 ,16.340000 ,17.080000 ,20.710000 ,24.930000 ,27.470000 ,29.100000 ,70.020000 ,130.550000 ,108.100000 ,10.230000 ,6.510000 ,8.600000 ,4.810000 ,2.010000 ,2.190000 ,17.940000 ,33.220000 ,37.990000 , 555.5, 555.4, 151 , 232.2, 260.5, 137 , 0.0, 0.0, - , 15.9, 3.2, 411 , 27.6, 87.1, 203 
1995.00000 ,52.50000 ,64.00000 ,41.75000 ,44.19000 ,63.62000 ,63.38000 ,52.88000 ,50.94000 ,43.50000 ,46.19000 ,49.12000 ,42.88000 ,12.67000 ,9.22000 ,8.20000 ,8.30000 ,8.70000 ,8.48000 ,10.99000 ,8.58000 ,10.03000 ,9.74000 ,9.78000 ,11.66000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,228.38,299.75000 ,213.61000 ,262.23000 ,217.76000 ,151.41000 ,137.96000 ,144.57000 ,188.90000 ,231.90000 ,266.53000 ,303.43000 ,322.46000 ,29.240000 ,27.720000 ,27.240000 ,23.320000 ,20.480000 ,17.700000 ,16.460000 ,18.730000 ,22.510000 ,24.650000 ,28.430000 ,28.820000 ,118.440000 ,140.210000 ,82.220000 ,16.000000 ,35.080000 ,11.500000 ,2.280000 ,18.440000 ,13.610000 ,37.960000 ,61.840000 ,68.470000 , 400.7, 225.1, 242 , 93.5, 72.8, 217 , 0.0, 0.0, - , 13.7, 6.9, 102 , 27.2, 79.9, 234 
1996.00000 ,66.00000 ,49.56000 ,45.12000 ,43.19000 ,65.50000 ,63.56000 ,57.38000 ,53.50000 ,38.62000 ,56.19000 ,37.69000 ,52.56000 ,12.80000 ,8.24000 ,7.70000 ,9.57000 ,9.72000 ,10.38000 ,11.00000 ,9.00000 ,12.02000 ,8.45000 ,11.88000 ,10.38000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,228.67,256.00000 ,284.01000 ,248.89000 ,214.56000 ,161.35000 ,129.64000 ,142.19000 ,169.67000 ,240.85000 ,255.08000 ,325.53000 ,316.31000 ,28.650000 ,28.300000 ,26.760000 ,24.360000 ,20.780000 ,19.550000 ,16.420000 ,18.690000 ,21.630000 ,24.920000 ,27.000000 ,29.260000 ,168.580000 ,57.600000 ,86.760000 ,33.160000 ,35.020000 ,12.780000 ,25.030000 ,20.690000 ,16.500000 ,53.150000 ,26.240000 ,85.020000 , 626.5, 519.5, 228 , 167.8, 195.0, 188 , 0.0, 0.0, - , 14.1, 25.7, 47 , 31.0, 113.6, 198 
1997.00000 ,50.62000 ,77.88000 ,63.75000 ,49.69000 ,62.38000 ,67.38000 ,60.94000 ,45.62000 ,43.12000 ,45.25000 ,52.06000 ,58.19000 ,8.17000 ,7.97000 ,9.40000 ,7.31000 ,8.47000 ,10.14000 ,8.71000 ,8.43000 ,9.22000 ,9.26000 ,8.12000 ,9.61000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,211.50,279.09000 ,206.08000 ,222.68000 ,205.59000 ,136.82000 ,122.37000 ,143.81000 ,171.42000 ,223.39000 ,287.69000 ,279.62000 ,259.43000 ,28.120000 ,28.370000 ,25.920000 ,23.240000 ,19.780000 ,16.900000 ,16.510000 ,17.750000 ,22.950000 ,25.400000 ,28.060000 ,29.620000 ,133.070000 ,162.920000 ,109.220000 ,6.920000 ,33.190000 ,8.480000 ,5.270000 ,5.130000 ,15.130000 ,19.150000 ,50.270000 ,137.350000 , 979.7,1 979.5, 166 , 180.2, 428.6, 134 , 0.0, 0.0, - , 39.4, 13.0, 323 , 34.2, 129.9, 183 
1998.00000 ,49.06000 ,57.19000 ,40.44000 ,61.69000 ,69.81000 ,64.62000 ,72.00000 ,70.81000 ,69.19000 ,51.88000 ,51.19000 ,44.75000 ,9.29000 ,7.11000 ,7.74000 ,8.36000 ,6.16000 ,9.21000 ,9.60000 ,11.73000 ,8.99000 ,9.41000 ,9.88000 ,8.89000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,207.83,265.10000 ,232.58000 ,263.47000 ,187.47000 ,137.05000 ,122.89000 ,128.93000 ,159.53000 ,193.90000 ,259.25000 ,250.99000 ,292.83000 ,29.280000 ,29.610000 ,28.060000 ,24.820000 ,20.780000 ,17.630000 ,17.690000 ,19.530000 ,23.250000 ,25.840000 ,26.950000 ,28.710000 ,152.600000 ,112.220000 ,59.260000 ,65.780000 ,34.810000 ,29.400000 ,31.940000 ,43.300000 ,44.380000 ,44.690000 ,82.920000 ,81.160000 ,1 001.4,1 392.1, - , 135.3, 204.5, - , 0.0, 0.0, - , 16.0, 15.3, - , 33.6, 96.9, - 
1999.00000 ,58.94000 ,57.50000 ,60.94000 ,56.75000 ,64.31000 ,66.25000 ,67.19000 ,56.56000 ,44.44000 ,49.38000 ,54.81000 ,49.31000 ,8.08000 ,9.13000 ,8.62000 ,6.93000 ,8.69000 ,9.61000 ,9.17000 ,7.85000 ,11.09000 ,8.81000 ,9.78000 ,8.20000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,202.03,246.98000 ,217.96000 ,206.82000 ,169.60000 ,146.05000 ,124.48000 ,135.65000 ,180.91000 ,231.51000 ,272.02000 ,236.15000 ,256.21000 ,29.360000 ,28.590000 ,27.250000 ,22.660000 ,20.870000 ,17.440000 ,16.920000 ,18.790000 ,22.380000 ,26.300000 ,25.420000 ,26.800000 ,155.940000 ,128.180000 ,117.800000 ,52.410000 ,17.010000 ,17.000000 ,12.560000 ,8.130000 ,5.800000 ,27.350000 ,120.390000 ,117.680000 ,1 138.8,1 941.2, - , 163.3, 320.4, - , 0.0, 0.0, - , 18.1, 11.8, - , 36.7, 144.9, - 
