Year,SA_Jan_humidity,SA_Feb_humidity,SA_Mar_humidity,SA_Apr_humidity,SA_May_humidity,SA_Jun_humidity,SA_Jul_humidity,SA_Aug_humidity,SA_Sep_humidity,SA_Oct_humidity,SA_Nov_humidity,SA_Dec_humidity,SA_Jan_wind,SA_Feb_wind,SA_Mar_wind,SA_Apr_wind,SA_May_wind,SA_Jun_wind,SA_Jul_wind,SA_Aug_wind,SA_Sep_wind,SA_Oct_wind,SA_Nov_wind,SA_Dec_wind,SA_Jan_uva,SA_Feb_uva,SA_Mar_uva,SA_Apr_uva,SA_May_uva,SA_Jun_uva,SA_Jul_uva,SA_Aug_uva,SA_Sep_uva,SA_Oct_uva,SA_Nov_uva,SA_Dec_uva,SA_Jan_uvb,SA_Feb_uvb,SA_Mar_uvb,SA_Apr_uvb,SA_May_uvb,SA_Jun_uvb,SA_Jul_uvb,SA_Aug_uvb,SA_Sep_uvb,SA_Oct_uvb,SA_Nov_uvb,SA_Dec_uvb,SA_year_eva,SA_Jan_eva,SA_Feb_eva,SA_Mar_eva,SA_Apr_eva,SA_May_eva,SA_Jun_eva,SA_Jul_eva,SA_Aug_eva,SA_Sep_eva,SA_Oct_eva,SA_Nov_eva,SA_Dec_eva,SA_Jan_temp,SA_Feb_temp,SA_Mar_temp,SA_Apr_temp,SA_May_temp,SA_Jun_temp,SA_Jul_temp,SA_Aug_temp,SA_Sep_temp,SA_Oct_temp,SA_Nov_temp,SA_Dec_temp,SA_Jan_rain,SA_Feb_rain,SA_Mar_rain,SA_Apr_rain,SA_May_rain,SA_Jun_rain,SA_Jul_rain,SA_Aug_rain,SA_Sep_rain,SA_Oct_rain,SA_Nov_rain,SA_Dec_rain,SA_Wheat_Area,SA_Wheat_Production,SA_wheat_price,SA_Barley_Area,SA_Barley_Production,SA_Barley_Price,SA_Oats_Area,SA_Oats_Production,SA_Oats_Price,SA_Rice_Area,SA_Rice_Production,SA_Rice_Price,SA_Corn (maize)_Area,SA_Corn (maize)_Production,SA_Corn(maize)_Price
1990.00000 ,52.25000 ,57.31000 ,54.69000 ,64.44000 ,68.38000 ,76.12000 ,77.88000 ,77.31000 ,64.81000 ,59.31000 ,51.31000 ,56.56000 ,10.71000 ,11.84000 ,13.05000 ,9.88000 ,11.54000 ,13.95000 ,14.80000 ,13.70000 ,11.20000 ,16.51000 ,13.32000 ,14.42000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,233.37,352.91000 ,282.86000 ,316.76000 ,186.73000 ,135.72000 ,86.72000 ,105.79000 ,134.83000 ,206.15000 ,291.32000 ,344.78000 ,355.81000 ,27.940000 ,24.660000 ,25.000000 ,19.700000 ,16.790000 ,12.180000 ,12.400000 ,13.000000 ,16.940000 ,20.750000 ,25.050000 ,26.290000 ,26.460000 ,9.610000 ,5.630000 ,14.760000 ,36.030000 ,16.220000 ,21.730000 ,20.210000 ,10.550000 ,12.360000 ,2.760000 ,20.040000 ,1 556.6,2 607.2, 174 , 899.5,1 724.5, 128.7, 172.0, 249.9, 98.0,0,0,0,0,0,0
1991.00000 ,52.50000 ,49.38000 ,56.94000 ,62.06000 ,66.56000 ,80.56000 ,78.12000 ,73.00000 ,65.38000 ,58.06000 ,55.12000 ,56.19000 ,11.54000 ,11.67000 ,11.23000 ,13.04000 ,9.11000 ,11.94000 ,12.30000 ,14.21000 ,15.52000 ,11.91000 ,12.20000 ,12.03000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,242.19,369.22000 ,330.91000 ,292.91000 ,202.10000 ,134.55000 ,92.05000 ,105.18000 ,153.71000 ,213.83000 ,312.31000 ,344.17000 ,355.31000 ,27.980000 ,28.390000 ,23.990000 ,20.050000 ,15.130000 ,14.650000 ,12.570000 ,13.630000 ,17.400000 ,21.570000 ,23.760000 ,24.360000 ,15.830000 ,6.340000 ,7.120000 ,8.420000 ,7.770000 ,41.680000 ,18.670000 ,13.280000 ,10.900000 ,3.220000 ,24.850000 ,10.980000 ,1 447.8,2 020.8, 115 , 945.0,1 505.7, 100.8, 134.6, 147.6, 78.6, 0.0, 0.0,0, 0.0, 0.0,0
1992.00000 ,58.06000 ,56.31000 ,67.69000 ,66.00000 ,73.62000 ,76.94000 ,73.00000 ,72.19000 ,76.38000 ,71.12000 ,64.00000 ,69.38000 ,10.02000 ,11.38000 ,10.68000 ,9.52000 ,9.28000 ,11.54000 ,13.24000 ,15.58000 ,11.95000 ,12.32000 ,17.88000 ,11.50000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,213.93,359.89000 ,325.10000 ,281.83000 ,190.20000 ,106.59000 ,87.61000 ,111.83000 ,144.85000 ,168.69000 ,218.68000 ,289.83000 ,282.06000 ,24.780000 ,26.810000 ,25.050000 ,20.460000 ,15.160000 ,12.390000 ,12.220000 ,12.720000 ,15.090000 ,19.040000 ,20.800000 ,23.790000 ,3.720000 ,41.060000 ,16.910000 ,25.080000 ,29.660000 ,17.140000 ,7.660000 ,39.220000 ,36.820000 ,48.580000 ,27.050000 ,54.290000 ,1 296.8,2 141.0, 174 , 999.2,1 881.5, 115.0, 129.3, 172.5, 95.1, 0.0, 0.0,0, 0.0, 0.0,0
1993.00000 ,63.62000 ,57.38000 ,61.69000 ,54.62000 ,68.62000 ,77.81000 ,74.06000 ,65.31000 ,66.94000 ,60.69000 ,57.31000 ,57.56000 ,12.55000 ,11.59000 ,9.15000 ,9.83000 ,13.52000 ,11.36000 ,13.47000 ,13.60000 ,15.66000 ,11.75000 ,11.76000 ,11.98000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,225.12,338.21000 ,314.59000 ,274.07000 ,212.08000 ,124.16000 ,77.90000 ,102.01000 ,164.36000 ,191.39000 ,252.95000 ,326.30000 ,323.46000 ,27.500000 ,26.430000 ,24.060000 ,21.340000 ,15.940000 ,11.570000 ,12.510000 ,14.410000 ,16.320000 ,19.010000 ,24.560000 ,24.330000 ,36.500000 ,3.700000 ,6.490000 ,1.350000 ,25.340000 ,13.090000 ,30.590000 ,18.180000 ,22.870000 ,42.240000 ,11.660000 ,39.480000 ,1 419.5,2 421.2, 151 ,1 023.3,1 855.3, 103.4, 122.9, 164.5, 79.6, 0.0, 0.0,0, 0.0, 0.0,0
1994.00000 ,52.81000 ,55.44000 ,51.56000 ,58.38000 ,64.25000 ,75.25000 ,68.62000 ,69.38000 ,65.75000 ,56.69000 ,58.00000 ,46.06000 ,13.56000 ,11.81000 ,8.66000 ,10.93000 ,16.37000 ,12.05000 ,11.27000 ,11.63000 ,11.10000 ,15.89000 ,14.49000 ,11.02000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,245.69,389.14000 ,278.30000 ,302.63000 ,209.14000 ,168.19000 ,94.98000 ,118.89000 ,147.54000 ,209.46000 ,309.57000 ,312.03000 ,408.45000 ,26.740000 ,26.200000 ,23.430000 ,19.360000 ,15.910000 ,12.940000 ,12.180000 ,12.610000 ,16.120000 ,20.810000 ,22.590000 ,27.220000 ,4.130000 ,33.820000 ,1.320000 ,2.500000 ,4.940000 ,30.430000 ,9.340000 ,3.540000 ,5.130000 ,5.730000 ,10.350000 ,10.090000 ,1 216.0,2 121.1, 144 ,1 115.3,2 242.4, 121.0, 101.5, 135.1, 76.3, 0.0, 0.0,0, 0.0, 0.0,0
1995.00000 ,54.69000 ,51.75000 ,64.88000 ,63.12000 ,72.31000 ,75.38000 ,78.19000 ,69.50000 ,64.88000 ,60.38000 ,57.25000 ,53.56000 ,12.58000 ,11.17000 ,10.91000 ,10.56000 ,14.60000 ,12.68000 ,15.65000 ,10.82000 ,11.26000 ,12.41000 ,12.62000 ,11.45000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,226.65,333.78000 ,302.18000 ,270.13000 ,178.06000 ,115.49000 ,98.63000 ,94.56000 ,160.77000 ,198.77000 ,285.74000 ,320.01000 ,361.66000 ,27.090000 ,26.600000 ,22.350000 ,18.110000 ,14.530000 ,13.320000 ,12.170000 ,14.780000 ,16.940000 ,20.190000 ,23.530000 ,24.860000 ,47.870000 ,12.620000 ,10.120000 ,14.540000 ,17.890000 ,29.980000 ,24.540000 ,4.850000 ,15.470000 ,22.940000 ,22.410000 ,24.380000 ,1 394.7,1 487.4, 213 , 881.9,1 158.7, 187.9, 94.9, 87.0, 180.5, 0.0, 0.0,0, 0.0, 0.0,0
1996.00000 ,55.00000 ,50.75000 ,51.75000 ,65.00000 ,68.94000 ,74.75000 ,79.12000 ,76.06000 ,68.88000 ,60.12000 ,56.62000 ,53.56000 ,16.24000 ,12.23000 ,14.71000 ,14.46000 ,11.95000 ,12.80000 ,12.56000 ,12.61000 ,15.07000 ,13.12000 ,12.99000 ,11.27000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,250.69,395.48000 ,367.04000 ,326.67000 ,199.76000 ,134.19000 ,101.54000 ,100.18000 ,134.96000 ,227.28000 ,289.07000 ,348.91000 ,383.19000 ,26.110000 ,26.500000 ,24.780000 ,18.570000 ,15.090000 ,14.210000 ,12.890000 ,13.730000 ,17.190000 ,20.320000 ,22.780000 ,25.980000 ,5.760000 ,5.540000 ,10.410000 ,4.760000 ,6.540000 ,24.200000 ,43.870000 ,23.150000 ,27.290000 ,8.590000 ,6.470000 ,15.160000 ,1 519.1,2 724.0, 236 , 963.5,1 851.1, 175.1, 119.6, 161.9, 158.1, 0.0, 0.0,0, 0.0, 0.0,0
1997.00000 ,52.00000 ,56.12000 ,61.75000 ,60.50000 ,73.75000 ,74.88000 ,75.25000 ,70.19000 ,73.06000 ,63.81000 ,58.06000 ,58.75000 ,12.84000 ,9.57000 ,10.99000 ,11.41000 ,10.01000 ,12.27000 ,12.90000 ,13.55000 ,13.92000 ,14.95000 ,12.75000 ,11.18000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,230.30,387.71000 ,306.77000 ,293.07000 ,208.55000 ,111.17000 ,95.30000 ,101.42000 ,136.18000 ,163.09000 ,274.19000 ,336.00000 ,350.09000 ,27.290000 ,29.200000 ,22.350000 ,20.210000 ,15.510000 ,12.180000 ,10.340000 ,12.780000 ,17.280000 ,20.610000 ,24.940000 ,26.730000 ,19.700000 ,68.810000 ,2.640000 ,0.700000 ,28.000000 ,7.220000 ,5.030000 ,20.070000 ,35.700000 ,21.410000 ,18.790000 ,21.140000 ,1 534.9,2 794.9, 186 ,1 008.9,1 923.2, 166.6, 120.6, 155.8, 111.1, 0.0, 0.0,0, 0.0, 0.1,0
1998.00000 ,56.38000 ,54.75000 ,57.12000 ,64.69000 ,65.94000 ,71.06000 ,77.38000 ,74.75000 ,67.12000 ,61.25000 ,58.19000 ,53.94000 ,10.41000 ,12.54000 ,8.91000 ,12.66000 ,12.62000 ,12.67000 ,14.22000 ,11.41000 ,12.09000 ,16.24000 ,11.60000 ,11.93000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,233.20,369.56000 ,321.90000 ,298.97000 ,176.01000 ,140.95000 ,105.87000 ,82.27000 ,134.31000 ,205.21000 ,280.90000 ,312.20000 ,370.22000 ,27.370000 ,26.960000 ,24.520000 ,18.840000 ,16.590000 ,12.600000 ,10.890000 ,14.420000 ,17.660000 ,20.300000 ,23.300000 ,26.020000 ,17.560000 ,18.130000 ,15.310000 ,38.110000 ,5.710000 ,19.940000 ,45.960000 ,13.160000 ,24.480000 ,16.510000 ,29.360000 ,11.980000 ,1 438.5,2 689.2, - ,1 017.3,2 027.1, 0.0, 110.5, 153.0, 0.0, 0.0, 0.0,0, 0.0, 0.0,0
1999.00000 ,53.25000 ,51.69000 ,60.00000 ,63.50000 ,64.31000 ,74.25000 ,72.88000 ,68.62000 ,64.00000 ,62.44000 ,60.38000 ,56.19000 ,12.04000 ,12.73000 ,16.90000 ,8.66000 ,11.59000 ,13.65000 ,13.30000 ,13.56000 ,15.30000 ,12.30000 ,10.44000 ,12.49000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,240.11,417.94000 ,306.34000 ,293.12000 ,200.09000 ,156.36000 ,92.97000 ,118.06000 ,162.17000 ,236.28000 ,274.37000 ,270.97000 ,352.59000 ,29.350000 ,27.080000 ,25.090000 ,18.080000 ,17.050000 ,12.610000 ,12.710000 ,14.220000 ,18.690000 ,20.900000 ,21.370000 ,24.900000 ,14.170000 ,16.420000 ,22.330000 ,2.360000 ,11.990000 ,12.850000 ,7.540000 ,11.510000 ,12.660000 ,32.290000 ,21.900000 ,34.750000 ,1 762.1,3 310.4, - , 975.3,2 051.0, 0.0, 112.4, 178.1, 0.0, 0.0, 0.0,0, 0.0, 0.0,0
