Year,WA_Jan_humidity,WA_Feb_humidity,WA_Mar_humidity,WA_Apr_humidity,WA_May_humidity,WA_Jun_humidity,WA_Jul_humidity,WA_Aug_humidity,WA_Sep_humidity,WA_Oct_humidity,WA_Nov_humidity,WA_Dec_humidity,WA_Jan_wind,WA_Feb_wind,WA_Mar_wind,WA_Apr_wind,WA_May_wind,WA_Jun_wind,WA_Jul_wind,WA_Aug_wind,WA_Sep_wind,WA_Oct_wind,WA_Nov_wind,WA_Dec_wind,WA_Jan_uva,WA_Feb_uva,WA_Mar_uva,WA_Apr_uva,WA_May_uva,WA_Jun_uva,WA_Jul_uva,WA_Aug_uva,WA_Sep_uva,WA_Oct_uva,WA_Nov_uva,WA_Dec_uva,WA_Jan_uvb,WA_Feb_uvb,WA_Mar_uvb,WA_Apr_uvb,WA_May_uvb,WA_Jun_uvb,WA_Jul_uvb,WA_Aug_uvb,WA_Sep_uvb,WA_Oct_uvb,WA_Nov_uvb,WA_Dec_uvb,WA_Jan_eva,WA_Feb_eva,WA_Mar_eva,WA_Apr_eva,WA_May_eva,WA_Jun_eva,WA_Jul_eva,WA_Aug_eva,WA_Sep_eva,WA_Oct_eva,WA_Nov_eva,WA_Dec_eva,WA_Jan_temp,WA_Feb_temp,WA_Mar_temp,WA_Apr_temp,WA_May_temp,WA_Jun_temp,WA_Jul_temp,WA_Aug_temp,WA_Sep_temp,WA_Oct_temp,WA_Nov_temp,WA_Dec_temp,WA_Jan_rain,WA_Feb_rain,WA_Mar_rain,WA_Apr_rain,WA_May_rain,WA_Jun_rain,WA_Jul_rain,WA_Aug_rain,WA_Sep_rain,WA_Oct_rain,WA_Nov_rain,WA_Dec_rain,WA_Wheat_Area,WA_Wheat_Production,WA_wheat_price,WA_Barley_Area,WA_Barley_Production,WA_Barley_Price,WA_Oats_Area,WA_Oats_Production,WA_Oats_Production,WA_Rice_Area,WA_Rice_Production,WA_Rice_Price,WA_Corn (maize)_Area,WA_Corn (maize)_Production, WA_Corn (maize)_Price 
1990.00000 ,56.12000 ,56.00000 ,61.19000 ,73.19000 ,82.69000 ,83.25000 ,87.25000 ,86.25000 ,83.50000 ,83.25000 ,73.62000 ,62.25000 ,12.18000 ,12.80000 ,13.73000 ,14.38000 ,11.93000 ,12.63000 ,13.06000 ,12.91000 ,10.52000 ,10.77000 ,12.49000 ,10.54000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,308.36000 ,257.08000 ,291.34000 ,222.34000 ,171.69000 ,127.86000 ,131.94000 ,160.65000 ,232.78000 ,297.89000 ,356.29000 ,383.49000 ,28.160000 ,26.830000 ,27.800000 ,23.520000 ,20.010000 ,15.180000 ,15.030000 ,16.620000 ,19.940000 ,23.390000 ,27.490000 ,28.370000 ,84.220000 ,32.740000 ,23.030000 ,15.020000 ,17.740000 ,12.660000 ,19.650000 ,20.990000 ,6.000000 ,13.270000 ,10.240000 ,21.930000 ,3 476.4,4 800.0,166.4166667, 421.4, 628.1, 146.5, 339.9, 529.4, 88.2,0,0, 0.0,1,5, 188 
1991.00000 ,52.06000 ,55.44000 ,60.88000 ,64.31000 ,76.94000 ,88.50000 ,89.81000 ,86.19000 ,85.88000 ,81.69000 ,76.81000 ,61.25000 ,9.54000 ,10.78000 ,9.62000 ,16.19000 ,11.07000 ,12.06000 ,12.14000 ,11.48000 ,12.09000 ,11.87000 ,10.84000 ,10.07000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,376.23000 ,323.13000 ,296.87000 ,230.58000 ,174.80000 ,106.81000 ,124.60000 ,166.78000 ,215.69000 ,312.60000 ,320.24000 ,361.71000 ,29.600000 ,29.500000 ,27.210000 ,24.260000 ,19.840000 ,17.210000 ,15.950000 ,17.090000 ,19.980000 ,25.140000 ,24.930000 ,27.950000 ,62.040000 ,66.640000 ,13.180000 ,12.860000 ,18.730000 ,43.960000 ,27.610000 ,7.150000 ,6.980000 ,6.060000 ,18.430000 ,21.750000 ,3 632.2,5 449.1,103.760254, 497.7, 742.2, 115.7, 324.1, 496.8, 75.1, 0.0, 0.0, 0.0, 0.9, 5.4, 204 
1992.00000 ,52.19000 ,56.06000 ,64.19000 ,71.31000 ,82.38000 ,87.38000 ,89.31000 ,89.12000 ,86.69000 ,83.56000 ,77.56000 ,64.75000 ,10.34000 ,13.06000 ,12.14000 ,12.95000 ,13.49000 ,11.77000 ,12.16000 ,11.62000 ,10.98000 ,9.72000 ,12.84000 ,10.09000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,359.84000 ,312.18000 ,279.11000 ,185.80000 ,131.14000 ,101.05000 ,129.49000 ,148.86000 ,185.59000 ,279.44000 ,329.93000 ,366.06000 ,28.400000 ,28.500000 ,27.610000 ,23.810000 ,18.990000 ,16.740000 ,16.150000 ,16.270000 ,18.660000 ,22.390000 ,24.530000 ,27.290000 ,31.050000 ,36.590000 ,55.850000 ,60.780000 ,34.510000 ,39.300000 ,7.400000 ,40.160000 ,18.580000 ,13.740000 ,13.270000 ,11.030000 ,3 229.9,4 736.0,170.8403716, 554.5, 899.6, 124.4, 367.2, 614.3, 96.4, 0.0, 0.0, 0.0, 0.8, 4.9, 224 
1993.00000 ,55.44000 ,55.75000 ,64.62000 ,74.94000 ,80.94000 ,86.06000 ,87.75000 ,86.25000 ,84.12000 ,80.94000 ,75.50000 ,55.44000 ,11.25000 ,8.02000 ,13.26000 ,12.77000 ,12.55000 ,10.80000 ,13.09000 ,14.83000 ,12.10000 ,11.91000 ,11.19000 ,13.02000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,376.74000 ,271.39000 ,290.48000 ,228.82000 ,133.48000 ,103.44000 ,120.30000 ,156.95000 ,202.64000 ,283.31000 ,309.02000 ,341.87000 ,29.550000 ,27.230000 ,26.720000 ,24.640000 ,18.970000 ,15.290000 ,14.730000 ,16.420000 ,19.250000 ,22.120000 ,26.360000 ,27.360000 ,50.070000 ,109.000000 ,16.770000 ,12.880000 ,42.740000 ,39.620000 ,13.570000 ,26.160000 ,10.560000 ,7.090000 ,19.980000 ,52.860000 ,3 669.3,5 978.9,151.9844788, 611.1,1 060.9, 132.7, 331.6, 577.9, 119.7, 0.0, 0.0, 0.0, 1.7, 12.9, 194 
1994.00000 ,53.62000 ,55.06000 ,58.00000 ,63.31000 ,79.12000 ,87.69000 ,87.88000 ,86.69000 ,82.12000 ,78.56000 ,66.81000 ,52.50000 ,10.38000 ,11.36000 ,9.42000 ,9.41000 ,12.74000 ,11.70000 ,10.40000 ,10.09000 ,12.30000 ,10.73000 ,10.02000 ,10.95000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,381.13000 ,280.22000 ,297.59000 ,236.72000 ,187.23000 ,121.81000 ,148.52000 ,177.17000 ,235.03000 ,303.78000 ,334.11000 ,355.18000 ,29.260000 ,27.220000 ,26.740000 ,23.460000 ,19.870000 ,15.610000 ,15.720000 ,17.100000 ,20.810000 ,24.030000 ,26.610000 ,28.520000 ,24.970000 ,94.340000 ,19.740000 ,1.730000 ,12.990000 ,14.670000 ,7.940000 ,12.930000 ,5.430000 ,5.660000 ,10.070000 ,56.640000 ,3 852.4,6 689.3,144.9778004, 799.3,1 381.4, 113.3, 268.5, 511.1, 85.5, 0.0, 0.0, 0.0, 1.6, 14.6, 137 
1995.00000 ,53.81000 ,50.62000 ,56.38000 ,66.56000 ,75.81000 ,86.81000 ,89.38000 ,85.88000 ,86.19000 ,80.00000 ,74.75000 ,66.00000 ,10.52000 ,11.34000 ,9.66000 ,11.17000 ,13.87000 ,14.23000 ,12.48000 ,13.41000 ,8.60000 ,11.56000 ,10.12000 ,10.95000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,350.95000 ,242.70000 ,250.45000 ,182.37000 ,147.48000 ,125.46000 ,122.04000 ,181.52000 ,213.89000 ,300.95000 ,320.19000 ,327.78000 ,29.120000 ,26.980000 ,25.390000 ,22.680000 ,18.070000 ,15.600000 ,15.710000 ,17.510000 ,21.100000 ,23.410000 ,25.980000 ,27.280000 ,59.870000 ,164.730000 ,42.330000 ,42.030000 ,14.760000 ,26.130000 ,28.940000 ,5.140000 ,10.280000 ,8.370000 ,16.260000 ,64.000000 ,3 848.3,5 437.9,211.0925173, 579.1, 914.9, 172.9, 256.5, 424.8, 134.4, 0.0, 0.0, 0.0, 1.6, 11.4, 176 
1996.00000 ,57.00000 ,51.38000 ,58.88000 ,62.00000 ,71.12000 ,83.50000 ,87.31000 ,87.31000 ,86.06000 ,82.50000 ,78.88000 ,69.69000 ,11.88000 ,9.98000 ,10.91000 ,15.78000 ,16.16000 ,14.04000 ,14.75000 ,10.58000 ,14.84000 ,10.56000 ,12.95000 ,10.14000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,390.99000 ,346.87000 ,307.33000 ,209.12000 ,178.14000 ,111.01000 ,122.85000 ,161.89000 ,232.01000 ,300.66000 ,349.61000 ,351.85000 ,29.190000 ,29.450000 ,26.770000 ,23.430000 ,19.560000 ,18.010000 ,16.450000 ,17.280000 ,20.340000 ,24.350000 ,26.840000 ,27.590000 ,17.750000 ,37.980000 ,65.830000 ,42.880000 ,7.220000 ,38.860000 ,43.200000 ,15.780000 ,13.260000 ,13.840000 ,14.000000 ,58.810000 ,3 892.4,6 826.7,237.1423968, 744.5,1 322.8, 173.0, 300.4, 584.8, 134.8, 0.0, 0.0, 0.0, 0.5, 0.5, 192 
1997.00000 ,52.88000 ,60.06000 ,65.31000 ,69.31000 ,77.50000 ,86.81000 ,83.38000 ,87.81000 ,86.12000 ,77.75000 ,72.19000 ,57.50000 ,11.77000 ,10.16000 ,12.00000 ,12.00000 ,13.00000 ,12.91000 ,11.04000 ,13.68000 ,11.09000 ,14.17000 ,12.12000 ,10.73000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,339.71000 ,240.70000 ,298.58000 ,204.75000 ,119.29000 ,117.29000 ,128.86000 ,148.79000 ,196.00000 ,285.20000 ,315.62000 ,362.22000 ,28.350000 ,28.440000 ,26.540000 ,23.800000 ,18.870000 ,15.980000 ,14.360000 ,16.600000 ,20.460000 ,23.840000 ,26.110000 ,28.890000 ,104.110000 ,109.870000 ,18.620000 ,19.960000 ,59.020000 ,13.450000 ,17.350000 ,27.440000 ,16.000000 ,11.420000 ,13.400000 ,37.740000 ,4 263.7,7 516.0,183.3022885, 909.3,1 635.3, 150.7, 316.3, 546.1, 117.0, 0.0, 0.0, 0.0, 0.6, 5.1, 215 
1998.00000 ,51.38000 ,51.62000 ,64.06000 ,71.50000 ,75.00000 ,83.81000 ,87.31000 ,87.56000 ,83.81000 ,80.44000 ,73.69000 ,60.50000 ,12.18000 ,9.11000 ,8.84000 ,9.79000 ,12.48000 ,15.09000 ,12.00000 ,10.88000 ,12.84000 ,12.44000 ,11.65000 ,10.87000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,379.56000 ,332.17000 ,303.75000 ,203.92000 ,163.81000 ,118.46000 ,106.39000 ,156.60000 ,215.25000 ,291.72000 ,316.89000 ,308.62000 ,29.940000 ,30.180000 ,28.100000 ,23.960000 ,21.530000 ,16.520000 ,14.780000 ,18.410000 ,20.300000 ,24.250000 ,26.940000 ,27.560000 ,42.390000 ,34.600000 ,34.920000 ,35.800000 ,23.960000 ,45.540000 ,46.330000 ,26.060000 ,11.600000 ,16.950000 ,37.340000 ,89.620000 ,4 204.9,7 724.5,0,1 036.0,1 926.3, 0.0, 304.9, 596.1, 0.0, 0.0, 0.0, 0.0, 0.4, 3.1, - 
1999.00000 ,56.56000 ,53.75000 ,63.56000 ,61.75000 ,80.56000 ,87.50000 ,86.25000 ,85.44000 ,86.12000 ,82.06000 ,74.88000 ,61.50000 ,10.58000 ,9.82000 ,10.86000 ,9.22000 ,10.74000 ,11.02000 ,11.20000 ,11.59000 ,14.83000 ,12.55000 ,9.12000 ,11.06000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,334.65000 ,239.29000 ,244.92000 ,192.10000 ,149.05000 ,116.83000 ,128.11000 ,164.29000 ,221.23000 ,264.20000 ,270.20000 ,304.13000 ,29.530000 ,27.240000 ,26.650000 ,22.370000 ,20.020000 ,16.280000 ,15.520000 ,17.360000 ,20.380000 ,23.000000 ,24.960000 ,27.140000 ,63.320000 ,118.050000 ,87.760000 ,31.270000 ,34.610000 ,18.140000 ,14.870000 ,10.950000 ,10.660000 ,22.940000 ,32.550000 ,71.540000 ,4 515.3,8 170.1,0, 811.4,1 468.6, 0.0, 228.4, 463.4, 0.0, 0.0, 0.0, 0.0, 0.5, 3.6, - 
