Year,AUS_Jan_temp,AUS_Feb_temp,AUS_Mar_temp,AUS_Apr_temp,AUS_May_temp,AUS_Jun_temp,AUS_Jul_temp,AUS_Aug_temp,AUS_Sep_temp,AUS_Oct_temp,AUS_Nov_temp,AUS_Dec_temp,AUS_Jan_rain,AUS_Feb_rain,AUS_Mar_rain,AUS_Apr_rain,AUS_May_rain,AUS_Jun_rain,AUS_Jul_rain,AUS_Aug_rain,AUS_Sep_rain,AUS_Oct_rain,AUS_Nov_rain,AUS_Dec_rain,AUS_Wheat_Area,AUS_Wheat_Production,AUS_Barley_Area,AUS_Barley_Production,AUS_Oats_Area,AUS_Oats_Production,AUS_Rice_Area,AUS_Rice_Production,AUS_Corn (maize)_Area,AUS_Corn (maize)_Production,wheat_export_price,Rice_export_price,Barley_export_price,maize_export_price,Oat_export_price
1990,28.60,28.10,26.74,22.26,19.17,14.80,15.17,15.88,19.13,23.32,27.11,28.37,64.97,39.74,51.45,62.91,44.77,21.41,22.42,20.22,10.72,16.56,13.25,44.75,9003.80,14214.60,2309.90,4044.15,1088.70,1640.30,105.00,846.00,51.90,218.00,141.94,385.91,144.60,306.43,157.22
1991,28.29,27.79,25.95,22.55,18.61,17.13,14.99,16.39,19.81,24.35,25.58,27.02,130.26,120.58,15.72,13.96,16.49,36.50,22.92,11.89,10.14,7.69,31.65,43.01,9218.20,15066.10,2555.65,4107.83,1043.60,1529.80,89.00,740.00,48.30,192.90,186.51,473.95,151.06,244.42,149.11
1992,27.63,27.13,26.76,23.13,18.70,15.53,15.13,16.36,19.10,22.22,24.22,26.62,39.80,86.43,35.24,38.11,37.48,21.52,10.40,31.91,26.60,29.00,30.91,60.51,7183.00,10557.30,2744.24,4529.68,1160.10,1689.80,113.00,957.00,51.70,268.20,209.46,476.53,165.13,227.38,150.11
1993,28.48,27.98,25.81,23.55,18.95,15.15,15.52,16.78,19.29,22.21,26.02,26.56,84.19,110.53,25.50,8.68,30.02,25.16,27.68,21.23,23.89,28.52,31.90,70.66,8274.70,14738.70,2947.18,5396.76,1149.10,1936.40,107.00,858.00,44.90,198.20,177.97,561.08,163.21,254.17,146.69
1994,28.74,28.24,24.79,22.05,18.57,15.28,14.82,15.71,19.39,23.40,25.71,28.11,39.30,102.81,50.07,8.98,11.11,16.80,8.53,8.41,6.74,12.22,26.01,47.70,8383.10,16479.20,3424.47,6668.23,947.34,1646.50,125.00,1042.00,43.68,203.42,205.92,576.34,145.99,508.10,185.72
1995,28.18,27.68,24.94,21.50,17.93,15.68,14.99,17.25,20.53,22.84,25.97,26.87,101.84,109.63,53.45,26.63,29.67,23.90,20.85,9.64,16.63,24.63,40.95,60.33,7890.60,8961.40,2470.49,2913.19,896.57,924.08,119.00,1016.00,50.03,241.74,280.31,562.65,234.66,506.70,214.13
1996,28.06,27.56,25.83,22.11,18.63,17.60,15.53,16.93,19.93,23.47,25.57,27.35,71.47,43.23,63.42,37.01,21.53,26.83,37.38,22.42,21.50,27.87,22.04,67.56,9220.80,16503.90,3110.59,5822.68,1136.23,1874.81,137.00,966.00,56.22,310.92,235.84,570.96,208.11,359.13,212.93
1997,27.58,27.08,24.98,22.32,18.27,15.23,13.98,16.12,20.54,23.49,26.37,28.18,109.02,118.92,43.26,10.04,41.60,13.01,11.03,17.83,23.98,20.52,31.08,73.88,10935.50,22924.20,3365.81,6694.80,1051.68,1652.80,152.00,1254.00,66.55,397.54,240.42,612.72,216.67,328.26,196.04
1998,28.88,28.38,27.06,22.84,19.68,15.97,14.96,17.78,20.60,23.69,25.69,27.30,80.65,57.84,35.90,49.63,23.29,34.97,43.48,29.69,32.27,32.92,55.49,72.73,10440.60,19226.70,3520.91,6481.67,936.63,1634.28,147.00,1324.00,57.29,271.37,209.94,645.22,165.68,324.84,149.55
1999,29.15,28.65,26.18,21.17,19.32,15.73,15.22,17.03,20.59,23.49,23.97,26.20,86.20,98.10,86.10,35.32,22.83,19.08,16.39,14.86,12.04,37.24,62.30,88.31,11542.60,21464.80,3167.30,5987.24,908.85,1798.23,149.00,1362.00,64.22,337.30,199.78,604.63,196.87,265.65,171.66
