Year,NT_Jan_humidity,NT_Feb_humidity,NT_Mar_humidity,NT_Apr_humidity,NT_May_humidity,NT_Jun_humidity,NT_Jul_humidity,NT_Aug_humidity,NT_Sep_humidity,NT_Oct_humidity,NT_Nov_humidity,NT_Dec_humidity,NT_Jan_wind,NT_Feb_wind,NT_Mar_wind,NT_Apr_wind,NT_May_wind,NT_Jun_wind,NT_Jul_wind,NT_Aug_wind,NT_Sep_wind,NT_Oct_wind,NT_Nov_wind,NT_Dec_wind,NT_Jan_uva,NT_Feb_uva,NT_Mar_uva,NT_Apr_uva,NT_May_uva,NT_Jun_uva,NT_Jul_uva,NT_Aug_uva,NT_Sep_uva,NT_Oct_uva,NT_Nov_uva,NT_Dec_uva,NT_Jan_uvb,NT_Feb_uvb,NT_Mar_uvb,NT_Apr_uvb,NT_May_uvb,NT_Jun_uvb,NT_Jul_uvb,NT_Aug_uvb,NT_Sep_uvb,NT_Oct_uvb,NT_Nov_uvb,NT_Dec_uvb,NT_year_eva,NT_Jan_eva,NT_Feb_eva,NT_Mar_eva,NT_Apr_eva,NT_May_eva,NT_Jun_eva,NT_Jul_eva,NT_Aug_eva,NT_Sep_eva,NT_Oct_eva,NT_Nov_eva,NT_Dec_eva,NT_Jan_temp,NT_Feb_temp,NT_Mar_temp,NT_Apr_temp,NT_May_temp,NT_Jun_temp,NT_Jul_temp,NT_Aug_temp,NT_Sep_temp,NT_Oct_temp,NT_Nov_temp,NT_Dec_temp,NT_Jan_rain,NT_Feb_rain,NT_Mar_rain,NT_Apr_rain,NT_May_rain,NT_Jun_rain,NT_Jul_rain,NT_Aug_rain,NT_Sep_rain,NT_Oct_rain,NT_Nov_rain,NT_Dec_rain
1990.00000 ,83.00000 ,75.00000 ,78.44000 ,79.50000 ,82.31000 ,83.50000 ,82.44000 ,82.69000 ,83.62000 ,81.50000 ,82.75000 ,80.75000 ,9.07000 ,6.31000 ,9.96000 ,9.28000 ,8.50000 ,24.44000 ,12.44000 ,15.15000 ,12.48000 ,9.42000 ,30.10000 ,10.26000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,285.94,330.49000 ,306.75000 ,341.55000 ,233.71000 ,218.74000 ,164.27000 ,195.66000 ,233.50000 ,281.16000 ,354.18000 ,400.24000 ,370.97000 ,31.320000 ,29.450000 ,29.810000 ,25.410000 ,23.070000 ,18.250000 ,20.090000 ,20.700000 ,22.970000 ,28.630000 ,31.920000 ,31.790000 ,100.370000 ,44.650000 ,38.630000 ,23.460000 ,54.130000 ,0.850000 ,0.840000 ,3.360000 ,2.560000 ,7.510000 ,21.980000 ,71.180000 
1991.00000 ,78.00000 ,77.81000 ,77.38000 ,81.00000 ,83.06000 ,82.00000 ,82.44000 ,83.81000 ,82.62000 ,83.31000 ,81.19000 ,77.00000 ,9.58000 ,9.19000 ,7.88000 ,8.05000 ,11.99000 ,7.40000 ,16.86000 ,13.62000 ,11.90000 ,17.57000 ,10.53000 ,9.50000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,272.21,316.75000 ,219.00000 ,304.45000 ,250.02000 ,224.51000 ,164.26000 ,179.35000 ,236.23000 ,280.69000 ,373.88000 ,329.62000 ,387.73000 ,29.820000 ,28.650000 ,28.430000 ,25.740000 ,21.380000 ,21.140000 ,18.760000 ,20.140000 ,24.980000 ,28.390000 ,30.070000 ,31.000000 ,193.870000 ,237.760000 ,18.840000 ,18.980000 ,1.070000 ,8.200000 ,3.580000 ,0.110000 ,1.770000 ,2.620000 ,53.200000 ,35.510000 
1992.00000 ,76.75000 ,76.69000 ,75.62000 ,77.69000 ,78.00000 ,81.50000 ,83.06000 ,84.12000 ,83.25000 ,86.12000 ,81.31000 ,77.00000 ,9.48000 ,9.72000 ,6.48000 ,8.92000 ,7.67000 ,21.15000 ,13.41000 ,11.71000 ,10.77000 ,28.55000 ,9.91000 ,6.62000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,287.20,383.53000 ,314.21000 ,333.81000 ,260.15000 ,187.82000 ,163.40000 ,197.61000 ,241.65000 ,287.20000 ,336.64000 ,372.14000 ,368.24000 ,30.500000 ,30.650000 ,30.000000 ,27.420000 ,23.310000 ,19.440000 ,18.490000 ,21.580000 ,25.840000 ,26.650000 ,29.190000 ,30.840000 ,54.400000 ,112.100000 ,24.320000 ,23.920000 ,37.730000 ,3.250000 ,0.140000 ,5.340000 ,11.480000 ,24.440000 ,24.810000 ,57.430000 
1993.00000 ,77.69000 ,81.44000 ,75.69000 ,78.06000 ,78.75000 ,80.56000 ,83.19000 ,84.19000 ,84.38000 ,83.75000 ,82.12000 ,82.62000 ,11.46000 ,9.52000 ,10.42000 ,6.98000 ,6.09000 ,23.61000 ,13.27000 ,11.49000 ,11.09000 ,12.36000 ,11.57000 ,16.06000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,260.70,340.74000 ,227.59000 ,292.13000 ,268.26000 ,195.84000 ,151.95000 ,170.10000 ,227.75000 ,268.02000 ,331.97000 ,342.92000 ,311.09000 ,30.180000 ,27.940000 ,28.590000 ,26.800000 ,23.090000 ,18.990000 ,19.270000 ,21.040000 ,24.050000 ,27.190000 ,30.000000 ,29.720000 ,164.390000 ,228.420000 ,34.270000 ,6.050000 ,26.830000 ,14.860000 ,1.790000 ,2.180000 ,10.500000 ,19.390000 ,42.180000 ,126.150000 
1994.00000 ,78.31000 ,78.31000 ,80.94000 ,82.19000 ,81.75000 ,82.38000 ,84.25000 ,82.38000 ,83.88000 ,80.75000 ,77.00000 ,76.38000 ,12.32000 ,11.73000 ,8.09000 ,12.57000 ,10.65000 ,16.16000 ,15.22000 ,18.36000 ,10.44000 ,19.30000 ,8.12000 ,15.05000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,284.93,371.64000 ,261.68000 ,306.69000 ,282.98000 ,241.95000 ,174.57000 ,198.54000 ,242.05000 ,284.16000 ,365.50000 ,340.04000 ,349.32000 ,31.290000 ,29.800000 ,26.530000 ,24.800000 ,21.480000 ,18.470000 ,17.710000 ,18.570000 ,23.650000 ,27.740000 ,29.400000 ,30.600000 ,62.640000 ,150.330000 ,73.920000 ,12.410000 ,1.750000 ,2.870000 ,0.460000 ,0.100000 ,0.560000 ,4.290000 ,37.000000 ,83.230000 
1995.00000 ,76.62000 ,78.69000 ,77.31000 ,78.25000 ,80.56000 ,82.12000 ,82.81000 ,83.44000 ,83.00000 ,80.00000 ,80.19000 ,82.31000 ,7.09000 ,9.61000 ,8.31000 ,6.50000 ,10.28000 ,9.94000 ,8.09000 ,9.98000 ,13.54000 ,11.29000 ,12.20000 ,21.52000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,270.29,309.08000 ,261.73000 ,283.62000 ,272.12000 ,181.23000 ,179.01000 ,190.03000 ,250.28000 ,289.96000 ,323.87000 ,344.02000 ,358.48000 ,30.010000 ,29.200000 ,27.190000 ,25.530000 ,21.110000 ,19.410000 ,19.210000 ,20.890000 ,26.040000 ,26.590000 ,30.000000 ,30.690000 ,181.440000 ,103.480000 ,90.170000 ,16.190000 ,17.660000 ,5.340000 ,2.380000 ,0.100000 ,3.990000 ,13.330000 ,46.620000 ,81.270000 
1996.00000 ,81.31000 ,79.50000 ,77.94000 ,83.56000 ,82.31000 ,83.25000 ,81.44000 ,81.06000 ,83.81000 ,82.12000 ,81.62000 ,78.62000 ,7.51000 ,10.00000 ,8.39000 ,11.11000 ,13.89000 ,8.31000 ,19.19000 ,12.96000 ,14.66000 ,9.60000 ,15.48000 ,9.98000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,292.91,381.37000 ,341.91000 ,296.41000 ,256.86000 ,224.77000 ,180.40000 ,192.49000 ,226.54000 ,311.17000 ,352.13000 ,385.10000 ,365.82000 ,30.730000 ,30.210000 ,27.920000 ,25.510000 ,21.460000 ,22.250000 ,19.790000 ,21.490000 ,24.910000 ,27.820000 ,29.830000 ,30.840000 ,76.830000 ,64.360000 ,90.400000 ,60.360000 ,3.940000 ,1.960000 ,8.580000 ,3.500000 ,0.490000 ,21.370000 ,18.430000 ,113.040000 
1997.00000 ,79.94000 ,80.38000 ,76.44000 ,77.19000 ,78.31000 ,80.81000 ,85.25000 ,85.62000 ,80.19000 ,78.06000 ,77.50000 ,77.38000 ,11.69000 ,10.03000 ,10.22000 ,7.77000 ,9.59000 ,15.15000 ,13.85000 ,13.80000 ,6.74000 ,9.46000 ,7.98000 ,10.98000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,252.96,286.14000 ,200.59000 ,297.75000 ,257.56000 ,179.42000 ,169.90000 ,188.53000 ,221.90000 ,279.67000 ,322.48000 ,330.04000 ,301.51000 ,29.350000 ,28.890000 ,26.840000 ,25.000000 ,21.690000 ,18.240000 ,17.260000 ,20.620000 ,26.200000 ,27.780000 ,30.050000 ,30.300000 ,196.290000 ,168.340000 ,43.780000 ,1.810000 ,14.170000 ,1.400000 ,1.510000 ,0.480000 ,5.480000 ,20.490000 ,37.460000 ,127.590000 
1998.00000 ,73.94000 ,77.31000 ,71.38000 ,77.56000 ,81.25000 ,81.25000 ,80.50000 ,82.94000 ,82.94000 ,82.75000 ,81.44000 ,80.06000 ,11.29000 ,8.49000 ,8.39000 ,7.38000 ,7.27000 ,6.13000 ,7.66000 ,10.59000 ,8.82000 ,26.39000 ,6.95000 ,17.67000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,271.29,348.74000 ,295.89000 ,339.89000 ,241.87000 ,206.31000 ,172.41000 ,176.96000 ,230.89000 ,270.31000 ,345.04000 ,304.37000 ,322.77000 ,31.220000 ,30.650000 ,29.700000 ,26.730000 ,22.970000 ,20.310000 ,19.970000 ,21.910000 ,25.380000 ,29.070000 ,29.850000 ,30.180000 ,128.730000 ,73.970000 ,44.200000 ,53.910000 ,5.040000 ,9.020000 ,12.420000 ,1.950000 ,17.920000 ,41.090000 ,66.760000 ,109.440000 
1999.00000 ,80.94000 ,81.94000 ,80.38000 ,78.69000 ,80.75000 ,83.12000 ,81.38000 ,83.06000 ,81.81000 ,81.81000 ,80.81000 ,79.88000 ,9.70000 ,13.33000 ,10.95000 ,11.97000 ,9.12000 ,15.20000 ,12.37000 ,13.76000 ,10.00000 ,8.09000 ,9.61000 ,10.79000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,255.63,304.36000 ,248.25000 ,286.58000 ,259.73000 ,222.11000 ,177.00000 ,186.70000 ,228.18000 ,289.40000 ,281.44000 ,290.59000 ,293.25000 ,30.880000 ,29.460000 ,29.010000 ,24.740000 ,22.500000 ,19.310000 ,18.400000 ,21.020000 ,25.200000 ,27.620000 ,27.960000 ,29.600000 ,122.700000 ,125.200000 ,103.760000 ,38.710000 ,0.320000 ,7.350000 ,1.740000 ,1.180000 ,1.160000 ,40.970000 ,72.170000 ,123.730000 
