Year,SA_Jan_humidity,SA_Feb_humidity,SA_Mar_humidity,SA_Apr_humidity,SA_May_humidity,SA_Jun_humidity,SA_Jul_humidity,SA_Aug_humidity,SA_Sep_humidity,SA_Oct_humidity,SA_Nov_humidity,SA_Dec_humidity,SA_Jan_wind,SA_Feb_wind,SA_Mar_wind,SA_Apr_wind,SA_May_wind,SA_Jun_wind,SA_Jul_wind,SA_Aug_wind,SA_Sep_wind,SA_Oct_wind,SA_Nov_wind,SA_Dec_wind,SA_Jan_uva,SA_Feb_uva,SA_Mar_uva,SA_Apr_uva,SA_May_uva,SA_Jun_uva,SA_Jul_uva,SA_Aug_uva,SA_Sep_uva,SA_Oct_uva,SA_Nov_uva,SA_Dec_uva,SA_Jan_uvb,SA_Feb_uvb,SA_Mar_uvb,SA_Apr_uvb,SA_May_uvb,SA_Jun_uvb,SA_Jul_uvb,SA_Aug_uvb,SA_Sep_uvb,SA_Oct_uvb,SA_Nov_uvb,SA_Dec_uvb,SA_year_eva,SA_Jan_eva,SA_Feb_eva,SA_Mar_eva,SA_Apr_eva,SA_May_eva,SA_Jun_eva,SA_Jul_eva,SA_Aug_eva,SA_Sep_eva,SA_Oct_eva,SA_Nov_eva,SA_Dec_eva,SA_Jan_temp,SA_Feb_temp,SA_Mar_temp,SA_Apr_temp,SA_May_temp,SA_Jun_temp,SA_Jul_temp,SA_Aug_temp,SA_Sep_temp,SA_Oct_temp,SA_Nov_temp,SA_Dec_temp,SA_Jan_rain,SA_Feb_rain,SA_Mar_rain,SA_Apr_rain,SA_May_rain,SA_Jun_rain,SA_Jul_rain,SA_Aug_rain,SA_Sep_rain,SA_Oct_rain,SA_Nov_rain,SA_Dec_rain,SA_Wheat_Area,SA_Wheat_Production,SA_wheat_price,SA_Barley_Area,SA_Barley_Production,SA_Barley_Price,SA_Oats_Area,SA_Oats_Production,SA_Oats_Price
1990,52.25,57.31,54.69,64.44,68.38,76.12,77.88,77.31,64.81,59.31,51.31,56.56,10.71,11.84,13.05,9.88,11.54,13.95,14.8,13.7,11.2,16.51,13.32,14.42,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,233.365,352.91,282.86,316.76,186.73,135.72,86.72,105.79,134.83,206.15,291.32,344.78,355.81,27.94,24.66,25,19.7,16.79,12.18,12.4,13,16.94,20.75,25.05,26.29,26.46,9.61,5.63,14.76,36.03,16.22,21.73,20.21,10.55,12.36,2.76,20.04,1556.6,2607.2,173.94139,899.5,1724.474,128.73491,172,249.9,98.03922
1991,52.5,49.38,56.94,62.06,66.56,80.56,78.12,73,65.38,58.06,55.12,56.19,11.54,11.67,11.23,13.04,9.11,11.94,12.3,14.21,15.52,11.91,12.2,12.03,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,242.1875,369.22,330.91,292.91,202.1,134.55,92.05,105.18,153.71,213.83,312.31,344.17,355.31,27.98,28.39,23.99,20.05,15.13,14.65,12.57,13.63,17.4,21.57,23.76,24.36,15.83,6.34,7.12,8.42,7.77,41.68,18.67,13.28,10.9,3.22,24.85,10.98,1447.8,2020.8,114.75653,945,1505.711,100.81616,134.6,147.6,78.59079
1992,58.06,56.31,67.69,66,73.62,76.94,73,72.19,76.38,71.12,64,69.38,10.02,11.38,10.68,9.52,9.28,11.54,13.24,15.58,11.95,12.32,17.88,11.5,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,213.93,359.89,325.1,281.83,190.2,106.59,87.61,111.83,144.85,168.69,218.68,289.83,282.06,24.78,26.81,25.05,20.46,15.16,12.39,12.22,12.72,15.09,19.04,20.8,23.79,3.72,41.06,16.91,25.08,29.66,17.14,7.66,39.22,36.82,48.58,27.05,54.29,1296.8,2141,174.40448,999.2,1881.548,115.01168,129.3,172.5,95.07246
1993,63.62,57.38,61.69,54.62,68.62,77.81,74.06,65.31,66.94,60.69,57.31,57.56,12.55,11.59,9.15,9.83,13.52,11.36,13.47,13.6,15.66,11.75,11.76,11.98,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,225.12333,338.21,314.59,274.07,212.08,124.16,77.9,102.01,164.36,191.39,252.95,326.3,323.46,27.5,26.43,24.06,21.34,15.94,11.57,12.51,14.41,16.32,19.01,24.56,24.33,36.5,3.7,6.49,1.35,25.34,13.09,30.59,18.18,22.87,42.24,11.66,39.48,1419.5,2421.2,151.24732,1023.3,1855.32,103.37839,122.9,164.5,79.63526
1994,52.81,55.44,51.56,58.38,64.25,75.25,68.62,69.38,65.75,56.69,58,46.06,13.56,11.81,8.66,10.93,16.37,12.05,11.27,11.63,11.1,15.89,14.49,11.02,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,245.69333,389.14,278.3,302.63,209.14,168.19,94.98,118.89,147.54,209.46,309.57,312.03,408.45,26.74,26.2,23.43,19.36,15.91,12.94,12.18,12.61,16.12,20.81,22.59,27.22,4.13,33.82,1.32,2.5,4.94,30.43,9.34,3.54,5.13,5.73,10.35,10.09,1216,2121.1,144.07619,1115.315,2242.356,120.98882,101.493,135.053,76.26635
1995,54.69,51.75,64.88,63.12,72.31,75.38,78.19,69.5,64.88,60.38,57.25,53.56,12.58,11.17,10.91,10.56,14.6,12.68,15.65,10.82,11.26,12.41,12.62,11.45,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,226.64833,333.78,302.18,270.13,178.06,115.49,98.63,94.56,160.77,198.77,285.74,320.01,361.66,27.09,26.6,22.35,18.11,14.53,13.32,12.17,14.78,16.94,20.19,23.53,24.86,47.87,12.62,10.12,14.54,17.89,29.98,24.54,4.85,15.47,22.94,22.41,24.38,1394.7,1487.4,213.05634,881.881,1158.715,187.88054,94.927,86.982,180.49711
1996,55,50.75,51.75,65,68.94,74.75,79.12,76.06,68.88,60.12,56.62,53.56,16.24,12.23,14.71,14.46,11.95,12.8,12.56,12.61,15.07,13.12,12.99,11.27,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,250.68917,395.48,367.04,326.67,199.76,134.19,101.54,100.18,134.96,227.28,289.07,348.91,383.19,26.11,26.5,24.78,18.57,15.09,14.21,12.89,13.73,17.19,20.32,22.78,25.98,5.76,5.54,10.41,4.76,6.54,24.2,43.87,23.15,27.29,8.59,6.47,15.16,1519.1,2724,235.86637,963.504,1851.076,175.14138,119.618,161.891,158.13109
1997,52,56.12,61.75,60.5,73.75,74.88,75.25,70.19,73.06,63.81,58.06,58.75,12.84,9.57,10.99,11.41,10.01,12.27,12.9,13.55,13.92,14.95,12.75,11.18,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,230.295,387.71,306.77,293.07,208.55,111.17,95.3,101.42,136.18,163.09,274.19,336,350.09,27.29,29.2,22.35,20.21,15.51,12.18,10.34,12.78,17.28,20.61,24.94,26.73,19.7,68.81,2.64,0.7,28,7.22,5.03,20.07,35.7,21.41,18.79,21.14,1534.9,2794.9,185.73115,1008.925,1923.213,166.64821,120.6,155.752,111.07402
1998,56.38,54.75,57.12,64.69,65.94,71.06,77.38,74.75,67.12,61.25,58.19,53.94,10.41,12.54,8.91,12.66,12.62,12.67,14.22,11.41,12.09,16.24,11.6,11.93,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,233.1975,369.56,321.9,298.97,176.01,140.95,105.87,82.27,134.31,205.21,280.9,312.2,370.22,27.37,26.96,24.52,18.84,16.59,12.6,10.89,14.42,17.66,20.3,23.3,26.02,17.56,18.13,15.31,38.11,5.71,19.94,45.96,13.16,24.48,16.51,29.36,11.98,1438.5,2689.2,224.6927764,1017.308,2027.087,185.7651786,110.546,153.018,192.7420146
1999,53.25,51.69,60,63.5,64.31,74.25,72.88,68.62,64,62.44,60.38,56.19,12.04,12.73,16.9,8.66,11.59,13.65,13.3,13.56,15.3,12.3,10.44,12.49,19.35047619,17.11,13.78047619,9.95047619,6.91,5.680952381,6.205714286,8.41952381,11.64904762,15.02,17.58857143,19.18571429,0.565714286,0.485714286,0.360952381,0.222380952,0.12047619,0.083809524,0.090952381,0.140952381,0.23,0.344285714,0.45,0.533333333,240.105,417.94,306.34,293.12,200.09,156.36,92.97,118.06,162.17,236.28,274.37,270.97,352.59,29.35,27.08,25.09,18.08,17.05,12.61,12.71,14.22,18.69,20.9,21.37,24.9,14.17,16.42,22.33,2.36,11.99,12.85,7.54,11.51,12.66,32.29,21.9,34.75,1762.1,3310.4,224.6927764,975.318,2050.972,185.7651786,112.449,178.082,192.7420146
