Year,TA_Jan_humidity,TA_Feb_humidity,TA_Mar_humidity,TA_Apr_humidity,TA_May_humidity,TA_Jun_humidity,TA_Jul_humidity,TA_Aug_humidity,TA_Sep_humidity,TA_Oct_humidity,TA_Nov_humidity,TA_Dec_humidity,TA_Jan_wind,TA_Feb_wind,TA_Mar_wind,TA_Apr_wind,TA_May_wind,TA_Jun_wind,TA_Jul_wind,TA_Aug_wind,TA_Sep_wind,TA_Oct_wind,TA_Nov_wind,TA_Dec_wind,TA_Jan_uva,TA_Feb_uva,TA_Mar_uva,TA_Apr_uva,TA_May_uva,TA_Jun_uva,TA_Jul_uva,TA_Aug_uva,TA_Sep_uva,TA_Oct_uva,TA_Nov_uva,TA_Dec_uva,TA_Jan_uvb,TA_Feb_uvb,TA_Mar_uvb,TA_Apr_uvb,TA_May_uvb,TA_Jun_uvb,TA_Jul_uvb,TA_Aug_uvb,TA_Sep_uvb,TA_Oct_uvb,TA_Nov_uvb,TA_Dec_uvb,TA_year_eva,TA_Jan_eva,TA_Feb_eva,TA_Mar_eva,TA_Apr_eva,TA_May_eva,TA_Jun_eva,TA_Jul_eva,TA_Aug_eva,TA_Sep_eva,TA_Oct_eva,TA_Nov_eva,TA_Dec_eva,TA_Jan_temp,TA_Feb_temp,TA_Mar_temp,TA_Apr_temp,TA_May_temp,TA_Jun_temp,TA_Jul_temp,TA_Aug_temp,TA_Sep_temp,TA_Oct_temp,TA_Nov_temp,TA_Dec_temp,TA_Jan_rain,TA_Feb_rain,TA_Mar_rain,TA_Apr_rain,TA_May_rain,TA_Jun_rain,TA_Jul_rain,TA_Aug_rain,TA_Sep_rain,TA_Oct_rain,TA_Nov_rain,TA_Dec_rain,TA_Wheat_Area,TA_Wheat_Production,TAS_wheat_price,TA_Barley_Area,TA_Barley_Production,TAS_Barley_price,TA_Rice_Area,TA_Rice_Production,TA_Rice_Price,TA_Corn (maize)_Area,TA_Corn (maize)_Production,TAS_Corn (maize)_price,TA_Oats_Area,TA_Oats_Production, TA_Oats_Price 
1990.00000 ,80.12000 ,81.06000 ,80.06000 ,88.62000 ,94.19000 ,95.94000 ,96.06000 ,93.31000 ,90.12000 ,86.69000 ,84.75000 ,84.38000 ,11.51000 ,10.70000 ,9.09000 ,9.43000 ,10.46000 ,10.14000 ,10.31000 ,8.44000 ,9.55000 ,8.98000 ,11.85000 ,10.73000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,84.34917 ,179.80000 ,111.61000 ,112.20000 ,63.09000 ,41.10000 ,26.08000 ,34.75000 ,31.16000 ,58.43000 ,89.35000 ,125.07000 ,139.55000 ,14.54000 ,14.49000 ,14.21000 ,12.01000 ,8.75000 ,7.33000 ,6.22000 ,5.75000 ,8.12000 ,10.27000 ,12.08000 ,13.36000 ,64.97000 ,80.95000 ,63.01000 ,85.70000 ,123.21000 ,151.54000 ,201.62000 ,140.43000 ,98.44000 ,99.10000 ,107.81000 ,113.56000 ,0.80000 ,2.70000 ,185.18519 ,7.98500 ,19.32100 ,186.32576 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,7.60000 ,12.80000 ,156.25000 
1991.00000 ,83.44000 ,81.19000 ,84.62000 ,90.81000 ,92.62000 ,95.75000 ,95.38000 ,95.56000 ,92.25000 ,85.62000 ,86.25000 ,84.50000 ,10.19000 ,11.13000 ,9.84000 ,10.90000 ,8.62000 ,8.72000 ,8.82000 ,11.87000 ,11.11000 ,11.51000 ,10.66000 ,9.08000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,80.57583 ,156.58000 ,139.81000 ,95.55000 ,57.62000 ,26.49000 ,21.90000 ,24.81000 ,43.02000 ,55.01000 ,99.37000 ,112.67000 ,134.08000 ,14.76000 ,13.27000 ,12.05000 ,10.33000 ,8.54000 ,7.98000 ,6.48000 ,6.32000 ,7.90000 ,10.39000 ,10.89000 ,13.31000 ,100.30000 ,19.65000 ,88.94000 ,95.83000 ,44.12000 ,175.78000 ,145.80000 ,260.79000 ,131.92000 ,89.11000 ,130.36000 ,106.65000 ,0.60000 ,2.40000 ,125.00000 ,9.76600 ,25.97900 ,173.21683 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,9.30000 ,18.80000 ,132.97872 
1992.00000 ,85.12000 ,83.12000 ,85.69000 ,91.19000 ,92.88000 ,95.44000 ,95.69000 ,94.75000 ,91.50000 ,85.69000 ,85.44000 ,83.25000 ,11.57000 ,9.66000 ,10.71000 ,10.34000 ,8.05000 ,9.89000 ,10.91000 ,9.09000 ,10.77000 ,10.05000 ,12.92000 ,9.48000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,76.00250 ,133.36000 ,129.64000 ,115.56000 ,54.05000 ,29.08000 ,20.20000 ,26.90000 ,34.01000 ,44.96000 ,86.24000 ,106.75000 ,131.28000 ,12.97000 ,14.21000 ,14.05000 ,11.21000 ,8.79000 ,5.61000 ,6.17000 ,6.13000 ,6.72000 ,10.39000 ,11.28000 ,14.07000 ,98.16000 ,58.77000 ,36.50000 ,143.08000 ,127.72000 ,115.21000 ,206.92000 ,181.40000 ,134.79000 ,120.27000 ,131.03000 ,80.53000 ,1.20000 ,3.20000 ,156.25000 ,11.34400 ,31.79300 ,141.54059 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,9.10000 ,18.60000 ,112.90323 
1993.00000 ,82.69000 ,83.88000 ,87.12000 ,89.94000 ,94.25000 ,96.38000 ,95.62000 ,93.19000 ,89.69000 ,88.69000 ,86.25000 ,85.81000 ,10.34000 ,10.30000 ,10.22000 ,9.77000 ,8.86000 ,10.72000 ,11.09000 ,11.70000 ,9.25000 ,11.29000 ,11.34000 ,11.11000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,76.84750 ,145.39000 ,121.81000 ,82.76000 ,54.68000 ,38.14000 ,26.96000 ,26.40000 ,48.45000 ,55.28000 ,90.15000 ,102.21000 ,129.94000 ,15.09000 ,15.15000 ,13.34000 ,12.07000 ,8.79000 ,6.58000 ,7.41000 ,7.95000 ,8.47000 ,9.80000 ,10.82000 ,13.14000 ,77.45000 ,116.94000 ,64.25000 ,68.36000 ,118.23000 ,148.43000 ,142.08000 ,160.40000 ,90.38000 ,130.28000 ,127.84000 ,178.14000 ,1.50000 ,5.50000 ,145.45455 ,12.30000 ,35.28500 ,138.86921 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,9.20000 ,19.00000 ,105.26316 
1994.00000 ,85.19000 ,84.00000 ,83.31000 ,89.50000 ,93.94000 ,95.38000 ,95.31000 ,94.62000 ,91.88000 ,86.31000 ,86.94000 ,77.75000 ,12.97000 ,10.11000 ,8.93000 ,10.84000 ,10.87000 ,9.00000 ,10.69000 ,10.62000 ,10.45000 ,10.48000 ,10.97000 ,11.16000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,87.66583 ,145.42000 ,117.42000 ,97.21000 ,63.60000 ,51.60000 ,24.04000 ,28.77000 ,46.74000 ,64.51000 ,96.57000 ,118.58000 ,197.53000 ,12.91000 ,15.10000 ,12.63000 ,11.90000 ,8.41000 ,6.66000 ,6.45000 ,6.18000 ,6.88000 ,9.93000 ,10.76000 ,14.69000 ,111.25000 ,66.16000 ,23.86000 ,102.70000 ,242.00000 ,106.12000 ,140.92000 ,154.84000 ,136.83000 ,99.96000 ,146.21000 ,24.62000 ,1.60000 ,5.30000 ,132.07547 ,15.20400 ,40.75500 ,149.67489 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,6.65100 ,12.74400 ,117.70245 
1995.00000 ,81.69000 ,79.75000 ,85.81000 ,91.62000 ,93.62000 ,94.75000 ,96.12000 ,93.56000 ,90.75000 ,86.31000 ,85.19000 ,83.81000 ,9.66000 ,10.18000 ,10.71000 ,9.92000 ,9.82000 ,7.91000 ,9.55000 ,11.47000 ,11.11000 ,12.74000 ,12.71000 ,11.27000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,78.15750 ,149.18000 ,117.93000 ,106.37000 ,57.09000 ,31.78000 ,21.34000 ,21.93000 ,49.67000 ,57.19000 ,92.43000 ,102.94000 ,130.04000 ,15.59000 ,14.99000 ,12.52000 ,9.62000 ,8.21000 ,5.95000 ,4.74000 ,7.02000 ,7.11000 ,9.15000 ,10.87000 ,11.74000 ,115.55000 ,52.87000 ,110.96000 ,136.91000 ,86.45000 ,129.47000 ,143.96000 ,180.83000 ,108.67000 ,93.32000 ,92.01000 ,92.13000 ,1.30000 ,2.80000 ,214.28571 ,13.96900 ,27.07300 ,199.46072 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,8.31600 ,11.28700 ,194.91450 
1996.00000 ,82.06000 ,83.25000 ,88.06000 ,92.94000 ,94.06000 ,95.62000 ,95.06000 ,94.12000 ,92.06000 ,89.19000 ,85.88000 ,82.75000 ,11.55000 ,10.73000 ,12.02000 ,12.89000 ,9.49000 ,10.98000 ,9.95000 ,10.38000 ,11.95000 ,10.61000 ,11.27000 ,11.62000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,79.62083 ,148.68000 ,108.69000 ,88.87000 ,49.89000 ,39.58000 ,25.41000 ,22.59000 ,51.47000 ,72.94000 ,90.66000 ,111.68000 ,144.99000 ,14.63000 ,13.55000 ,12.93000 ,9.55000 ,8.93000 ,6.75000 ,6.07000 ,6.79000 ,7.27000 ,10.16000 ,9.89000 ,11.71000 ,148.37000 ,108.42000 ,135.00000 ,169.02000 ,65.32000 ,127.40000 ,120.82000 ,203.45000 ,204.79000 ,128.31000 ,130.80000 ,69.84000 ,1.10000 ,4.10000 ,219.51220 ,14.02000 ,38.46300 ,210.59200 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,10.06900 ,18.44500 ,151.80266 
1997.00000 ,80.62000 ,80.50000 ,85.38000 ,89.56000 ,93.69000 ,95.19000 ,95.38000 ,94.88000 ,89.62000 ,86.12000 ,83.75000 ,83.38000 ,10.11000 ,9.49000 ,10.30000 ,11.85000 ,9.28000 ,8.23000 ,10.10000 ,10.44000 ,8.70000 ,11.74000 ,12.23000 ,11.18000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,86.73750 ,159.26000 ,119.88000 ,111.50000 ,66.38000 ,33.38000 ,19.41000 ,33.81000 ,48.65000 ,55.34000 ,105.62000 ,129.10000 ,158.52000 ,15.42000 ,15.88000 ,12.24000 ,10.53000 ,8.30000 ,6.77000 ,5.77000 ,6.82000 ,8.08000 ,10.05000 ,11.53000 ,12.93000 ,93.46000 ,45.23000 ,105.23000 ,105.23000 ,138.05000 ,70.47000 ,106.97000 ,154.53000 ,97.97000 ,112.41000 ,93.79000 ,91.21000 ,1.90000 ,7.50000 ,173.33333 ,14.50200 ,35.23700 ,175.95141 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,8.11100 ,13.98300 ,150.18236 
1998.00000 ,79.19000 ,82.62000 ,82.81000 ,90.88000 ,93.12000 ,94.94000 ,95.81000 ,90.75000 ,90.50000 ,88.44000 ,83.31000 ,82.81000 ,10.16000 ,11.55000 ,12.49000 ,10.20000 ,9.83000 ,9.47000 ,10.09000 ,10.02000 ,11.12000 ,13.04000 ,9.91000 ,10.60000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,89.81667 ,184.90000 ,139.83000 ,120.08000 ,61.33000 ,34.80000 ,27.49000 ,30.50000 ,41.61000 ,66.61000 ,89.65000 ,119.97000 ,161.03000 ,15.72000 ,14.33000 ,13.12000 ,10.27000 ,8.47000 ,6.62000 ,5.87000 ,6.85000 ,9.08000 ,9.20000 ,11.22000 ,14.38000 ,48.13000 ,95.64000 ,55.46000 ,104.69000 ,87.63000 ,120.44000 ,135.99000 ,84.98000 ,158.27000 ,157.59000 ,99.39000 ,108.50000 ,2.80000 ,11.70000 ,0.00000 ,13.15400 ,30.91600 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,7.97400 ,14.89800 ,0.00000 
1999.00000 ,79.06000 ,86.25000 ,86.88000 ,90.50000 ,94.88000 ,94.81000 ,94.19000 ,93.94000 ,90.12000 ,86.94000 ,83.19000 ,81.44000 ,8.98000 ,11.06000 ,11.16000 ,9.08000 ,8.79000 ,8.84000 ,11.41000 ,10.01000 ,11.34000 ,10.54000 ,11.23000 ,10.50000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,84.02000 ,167.90000 ,113.96000 ,97.91000 ,52.07000 ,41.01000 ,24.45000 ,34.37000 ,41.65000 ,61.09000 ,95.53000 ,115.85000 ,162.45000 ,15.76000 ,16.05000 ,13.27000 ,10.10000 ,10.26000 ,7.25000 ,6.60000 ,7.61000 ,9.52000 ,10.89000 ,10.73000 ,13.88000 ,27.69000 ,154.40000 ,100.54000 ,78.77000 ,136.22000 ,73.94000 ,121.85000 ,121.88000 ,78.85000 ,112.06000 ,90.73000 ,81.17000 ,4.00000 ,17.50000 ,0.00000 ,11.16600 ,30.04400 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00800 ,0.13800 ,0.00000 ,7.96100 ,14.40200 ,0.00000 
