Year,WA_Jan_humidity,WA_Feb_humidity,WA_Mar_humidity,WA_Apr_humidity,WA_May_humidity,WA_Jun_humidity,WA_Jul_humidity,WA_Aug_humidity,WA_Sep_humidity,WA_Oct_humidity,WA_Nov_humidity,WA_Dec_humidity,WA_Jan_wind,WA_Feb_wind,WA_Mar_wind,WA_Apr_wind,WA_May_wind,WA_Jun_wind,WA_Jul_wind,WA_Aug_wind,WA_Sep_wind,WA_Oct_wind,WA_Nov_wind,WA_Dec_wind,WA_Jan_uva,WA_Feb_uva,WA_Mar_uva,WA_Apr_uva,WA_May_uva,WA_Jun_uva,WA_Jul_uva,WA_Aug_uva,WA_Sep_uva,WA_Oct_uva,WA_Nov_uva,WA_Dec_uva,WA_Jan_uvb,WA_Feb_uvb,WA_Mar_uvb,WA_Apr_uvb,WA_May_uvb,WA_Jun_uvb,WA_Jul_uvb,WA_Aug_uvb,WA_Sep_uvb,WA_Oct_uvb,WA_Nov_uvb,WA_Dec_uvb,WA_Jan_eva,WA_Feb_eva,WA_Mar_eva,WA_Apr_eva,WA_May_eva,WA_Jun_eva,WA_Jul_eva,WA_Aug_eva,WA_Sep_eva,WA_Oct_eva,WA_Nov_eva,WA_Dec_eva,WA_Jan_temp,WA_Feb_temp,WA_Mar_temp,WA_Apr_temp,WA_May_temp,WA_Jun_temp,WA_Jul_temp,WA_Aug_temp,WA_Sep_temp,WA_Oct_temp,WA_Nov_temp,WA_Dec_temp,WA_Jan_rain,WA_Feb_rain,WA_Mar_rain,WA_Apr_rain,WA_May_rain,WA_Jun_rain,WA_Jul_rain,WA_Aug_rain,WA_Sep_rain,WA_Oct_rain,WA_Nov_rain,WA_Dec_rain,WA_Wheat_Area,WA_Wheat_Production,WA_wheat_price,WA_Barley_Area,WA_Barley_Production,WA_Barley_Price,WA_Oats_Area,WA_Oats_Production,WA_Oats_Production,WA_Rice_Area,WA_Rice_Production,WA_Rice_Price,WA_Corn (maize)_Area,WA_Corn (maize)_Production, WA_Corn (maize)_Price 
1990,56.12,56,61.19,73.19,82.69,83.25,87.25,86.25,83.5,83.25,73.62,62.25,12.18,12.8,13.73,14.38,11.93,12.63,13.06,12.91,10.52,10.77,12.49,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.36,257.08,291.34,222.34,171.69,127.86,131.94,160.65,232.78,297.89,356.29,383.49,28.16,26.83,27.8,23.52,20.01,15.18,15.03,16.62,19.94,23.39,27.49,28.37,84.22,32.74,23.03,15.02,17.74,12.66,19.65,20.99,6,13.27,10.24,21.93,3476.4,4800,166.41667,421.412,628.051,146.48492,339.9,529.4,88.21307,0,0,0,0.7,4.8,187.5
1991,52.06,55.44,60.88,64.31,76.94,88.5,89.81,86.19,85.88,81.69,76.81,61.25,9.54,10.78,9.62,16.19,11.07,12.06,12.14,11.48,12.09,11.87,10.84,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.23,323.13,296.87,230.58,174.8,106.81,124.6,166.78,215.69,312.6,320.24,361.71,29.6,29.5,27.21,24.26,19.84,17.21,15.95,17.09,19.98,25.14,24.93,27.95,62.04,66.64,13.18,12.86,18.73,43.96,27.61,7.15,6.98,6.06,18.43,21.75,3632.2,5449.1,103.76025,497.685,742.242,115.73045,324.1,496.8,75.08052,0,0,0,0.9,5.4,203.7037
1992,52.19,56.06,64.19,71.31,82.38,87.38,89.31,89.12,86.69,83.56,77.56,64.75,10.34,13.06,12.14,12.95,13.49,11.77,12.16,11.62,10.98,9.72,12.84,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.84,312.18,279.11,185.8,131.14,101.05,129.49,148.86,185.59,279.44,329.93,366.06,28.4,28.5,27.61,23.81,18.99,16.74,16.15,16.27,18.66,22.39,24.53,27.29,31.05,36.59,55.85,60.78,34.51,39.3,7.4,40.16,18.58,13.74,13.27,11.03,3229.9,4736,170.84037,554.497,899.637,124.3835,367.2,614.3,96.36985,0,0,0,0.8,4.9,224.4898
1993,55.44,55.75,64.62,74.94,80.94,86.06,87.75,86.25,84.12,80.94,75.5,55.44,11.25,8.02,13.26,12.77,12.55,10.8,13.09,14.83,12.1,11.91,11.19,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.74,271.39,290.48,228.82,133.48,103.44,120.3,156.95,202.64,283.31,309.02,341.87,29.55,27.23,26.72,24.64,18.97,15.29,14.73,16.42,19.25,22.12,26.36,27.36,50.07,109,16.77,12.88,42.74,39.62,13.57,26.16,10.56,7.09,19.98,52.86,3669.3,5978.9,151.98448,611.079,1060.853,132.72338,331.6,577.9,119.7439,0,0,0,1.7,12.9,193.79845
1994,53.62,55.06,58,63.31,79.12,87.69,87.88,86.69,82.12,78.56,66.81,52.5,10.38,11.36,9.42,9.41,12.74,11.7,10.4,10.09,12.3,10.73,10.02,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.13,280.22,297.59,236.72,187.23,121.81,148.52,177.17,235.03,303.78,334.11,355.18,29.26,27.22,26.74,23.46,19.87,15.61,15.72,17.1,20.81,24.03,26.61,28.52,24.97,94.34,19.74,1.73,12.99,14.67,7.94,12.93,5.43,5.66,10.07,56.64,3852.4,6689.3,144.9778,799.261,1381.393,113.29144,268.492,511.105,85.50102,0,0,0,1.639,14.61,136.89254
1995,53.81,50.62,56.38,66.56,75.81,86.81,89.38,85.88,86.19,80,74.75,66,10.52,11.34,9.66,11.17,13.87,14.23,12.48,13.41,8.6,11.56,10.12,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.95,242.7,250.45,182.37,147.48,125.46,122.04,181.52,213.89,300.95,320.19,327.78,29.12,26.98,25.39,22.68,18.07,15.6,15.71,17.51,21.1,23.41,25.98,27.28,59.87,164.73,42.33,42.03,14.76,26.13,28.94,5.14,10.28,8.37,16.26,64,3848.3,5437.9,211.09252,579.127,914.911,172.91299,256.462,424.765,134.42727,0,0,0,1.63,11.378,175.77782
1996,57,51.38,58.88,62,71.12,83.5,87.31,87.31,86.06,82.5,78.88,69.69,11.88,9.98,10.91,15.78,16.16,14.04,14.75,10.58,14.84,10.56,12.95,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.99,346.87,307.33,209.12,178.14,111.01,122.85,161.89,232.01,300.66,349.61,351.85,29.19,29.45,26.77,23.43,19.56,18.01,16.45,17.28,20.34,24.35,26.84,27.59,17.75,37.98,65.83,42.88,7.22,38.86,43.2,15.78,13.26,13.84,14,58.81,3892.4,6826.7,237.1424,744.527,1322.812,172.96487,300.411,584.786,134.75015,0,0,0,0.539,0.52,192.30769
1997,52.88,60.06,65.31,69.31,77.5,86.81,83.38,87.81,86.12,77.75,72.19,57.5,11.77,10.16,12,12,13,12.91,11.04,13.68,11.09,14.17,12.12,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.71,240.7,298.58,204.75,119.29,117.29,128.86,148.79,196,285.2,315.62,362.22,28.35,28.44,26.54,23.8,18.87,15.98,14.36,16.6,20.46,23.84,26.11,28.89,104.11,109.87,18.62,19.96,59.02,13.45,17.35,27.44,16,11.42,13.4,37.74,4263.7,7516,183.30229,909.306,1635.344,150.67166,316.31,546.06,117.02011,0,0,0,0.646,5.123,214.71794
1998,51.38,51.62,64.06,71.5,75,83.81,87.31,87.56,83.81,80.44,73.69,60.5,12.18,9.11,8.84,9.79,12.48,15.09,12,10.88,12.84,12.44,11.65,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.56,332.17,303.75,203.92,163.81,118.46,106.39,156.6,215.25,291.72,316.89,308.62,29.94,30.18,28.1,23.96,21.53,16.52,14.78,18.41,20.3,24.25,26.94,27.56,42.39,34.6,34.92,35.8,23.96,45.54,46.33,26.06,11.6,16.95,37.34,89.62,4204.9,7724.5,0,1036.001,1926.272,0,304.902,596.077,0,0,0,0,0.379,3.149,0
1999,56.56,53.75,63.56,61.75,80.56,87.5,86.25,85.44,86.12,82.06,74.88,61.5,10.58,9.82,10.86,9.22,10.74,11.02,11.2,11.59,14.83,12.55,9.12,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.65,239.29,244.92,192.1,149.05,116.83,128.11,164.29,221.23,264.2,270.2,304.13,29.53,27.24,26.65,22.37,20.02,16.28,15.52,17.36,20.38,23,24.96,27.14,63.32,118.05,87.76,31.27,34.61,18.14,14.87,10.95,10.66,22.94,32.55,71.54,4515.3,8170.1,0,811.391,1468.625,0,228.373,463.356,0,0,0,0,0.465,3.556,0
