Year,NSW_Jan_humidity,NSW_Feb_humidity,NSW_Mar_humidity,NSW_Apr_humidity,NSW_May_humidity,NSW_Jun_humidity,NSW_Jul_humidity,NSW_Aug_humidity,NSW_Sep_humidity,NSW_Oct_humidity,NSW_Nov_humidity,NSW_Dec_humidity,NSW_Jan_wind,NSW_Feb_wind,NSW_Mar_wind,NSW_Apr_wind,NSW_May_wind,NSW_Jun_wind,NSW_Jul_wind,NSW_Aug_wind,NSW_Sep_wind,NSW_Oct_wind,NSW_Nov_wind,NSW_Dec_wind,NSW_Jan_uva,NSW_Feb_uva,NSW_Mar_uva,NSW_Apr_uva,NSW_May_uva,NSW_Jun_uva,NSW_Jul_uva,NSW_Aug_uva,NSW_Sep_uva,NSW_Oct_uva,NSW_Nov_uva,NSW_Dec_uva,NSW_Jan_uvb,NSW_Feb_uvb,NSW_Mar_uvb,NSW_Apr_uvb,NSW_May_uvb,NSW_Jun_uvb,NSW_Jul_uvb,NSW_Aug_uvb,NSW_Sep_uvb,NSW_Oct_uvb,NSW_Nov_uvb,NSW_Dec_uvb,NSW_Jan_eva,NSW_Feb_eva,NSW_Mar_eva,NSW_Apr_eva,NSW_May_eva,NSW_Jun_eva,NSW_Jul_eva,NSW_Aug_eva,NSW_Sep_eva,NSW_Oct_eva,NSW_Nov_eva,NSW_Dec_eva,NSW_Jan_temp,NSW_Feb_temp,NSW_Mar_temp,NSW_Apr_temp,NSW_May_temp,NSW_Jun_temp,NSW_Jul_temp,NSW_Aug_temp,NSW_Sep_temp,NSW_Oct_temp,NSW_Nov_temp,NSW_Dec_temp,NSW_Jan_rain,NSW_Feb_rain,NSW_Mar_rain,NSW_Apr_rain,NSW_May_rain,NSW_Jun_rain,NSW_Jul_rain,NSW_Aug_rain,NSW_Sep_rain,NSW_Oct_rain,NSW_Nov_rain,NSW_Dec_rain,NSW_Wheat_Area,NSW_Wheat_Production,NSW_wheat_price,NSW_Barley_Area,NSW_Barley_Production,NSW_Barley_price,NSW_Oats_Area,NSW_Oats_Production,NSW_Oat_price,NSW_Rice_Area,NSW_Rice_Production,NSW_Rice_price,NSW_Corn (maize)_Area,NSW_Corn (maize)_Production,NSW_Corn_price,Covid
1990,71.56,85.69,82.75,86.81,86.44,83.94,82.88,78.75,80.19,75.12,63.88,62.38,5.42,5.47,6.48,4.44,4.57,5,4.91,8.71,5.2,6.41,4.7,5.49,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,315.11,211.74,224.64,101.06,76.17,52.72,55.88,77.48,118.52,186.28,262.33,326.2,26.06,23.76,22.86,18.56,13.98,9.99,10.13,10.3,13.92,17.65,21.98,25.85,45.12,82.6,36.11,153.7,66.61,29.41,57.56,49.32,31.68,33.09,11.71,23.48,2123.4,3423.3,148.69,412.9,655.6,145.83,365.2,503.5,93.95,100,816,144.98,16.7,97.6,148.57,0
1991,67.06,68.44,66.19,64.06,79.44,82.38,81.56,69.62,63.19,64.62,62.5,72.81,4.24,6.34,5.23,5.7,4.56,5.32,5.07,5.31,5.5,5.81,5.8,6.06,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,297.68,259.62,241.56,148.09,81.9,62.51,64.27,107.51,152.95,221,250.71,264.58,26.16,26.4,22,17.7,14.01,13.09,9.64,10.92,14.14,19.37,20.91,22.3,80.35,35.92,15.29,12.12,42.82,73.13,45.48,23,22.89,12.92,25.33,81.04,2165.8,4127.6,73.99,463.3,822.5,103.35,374.3,538.4,84.33,85,719,162.04,17.8,90.6,150.12,0
1992,73.81,84.31,84.12,82,82.25,79.69,75,68.94,64.12,69.5,69.81,79.81,5.61,5.16,4.64,4.51,5.4,4.21,5.88,6.69,5.2,6.3,5.65,5.72,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,299.82,199.04,208.67,137.41,71.21,49.88,73.45,90.01,118.04,171.61,196.07,199.24,23.66,23.44,22.69,18.39,13.61,10.15,10.06,10.51,12.64,17.25,18.63,22.12,44.86,98.01,23.35,35.2,28.96,21.73,21.48,53.25,40.76,56.84,75.76,122.1,1499.3,2183,161.57,517.5,748.7,129.03,456.7,578.8,82.07,109,929,164.91,16.8,119.1,151.98,0
1993,73.19,69.44,73.88,72.38,73.88,72.94,84.31,75.19,72.56,65.88,67.31,66.25,6.34,4.94,4.92,3.98,4.98,5.99,3.99,5.27,5.52,5.54,5.7,4.98,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,263.97,219.64,194.77,145.15,76.29,55.42,55.4,89.7,115.93,169.68,221.07,246.28,25.78,24.74,21.24,16.94,14.1,10.03,11.44,11.97,13.87,16.6,20.91,22.37,70.61,38.51,47.8,6.95,31.36,26.84,76.6,20.9,59.34,73.38,39.42,61.25,1694,3582.7,132.75,559.7,1043.8,102.8,447.7,761.5,65.27,105,846,159.58,15.6,107.9,165.9,0
1994,61.38,73.62,75.94,74.38,66.62,77.25,74.88,66.69,54.31,60,64.12,69.06,5.55,5.63,7.52,6.34,4.59,4.38,5.12,4.09,5.8,6.42,6.73,5.41,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,331.76,194.91,179.77,138.05,103.59,65.2,69.79,100.83,160.89,214.43,248.99,326.6,25.32,24.57,19.87,15.57,13.53,11.21,9.81,10.25,13.42,17.86,21.3,25.38,19.71,85.82,50.73,18.18,11.31,26.05,13.88,9.5,12.13,24.93,43.7,38.88,1977.7,5086.1,122.65,622.98,1356.97,88.95,368.98,617.8,74.62,125,1042,223.33,14.19,100.02,159.97,0
1995,74.88,72.38,76.75,66.62,81.06,80.25,70.5,66.06,72.81,69.62,70.06,70.44,5.52,5.91,5.94,4.96,4.31,6.45,5.55,5.37,8.64,5.97,5.52,5.93,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,256.1,216.73,224.86,136.84,72.26,56.72,66.86,109.93,129.72,190.94,213.02,275.75,24.33,23.77,21.09,16.79,14.11,11.06,9.22,13.03,14.4,18.03,21.5,22.17,140.46,32.06,24.26,13.62,77.51,37.62,29.7,4.61,48.68,44.96,78.1,46.31,1423.8,874.6,203.53,409.79,291.5,201.72,375.47,197.28,210.88,119,1016,191.93,20.54,145.35,218.11,0
1996,75.81,68.69,71,63.12,79.5,80.19,76.94,69.81,68.62,70.19,63.06,67.38,4.08,5.76,4.96,4.34,4.89,5.55,4.87,6.64,5.15,5.2,5.18,7.09,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,270.41,243.01,217.94,143.35,77.88,60.21,58.57,85.59,151.14,193.74,249.14,293.26,24.72,22.65,21.75,17.45,14.14,11.94,9.92,11.33,14.33,18,19.75,23.19,99.24,32.12,27.29,15.88,78.1,38.46,62.03,44.1,48.41,38.34,49.54,57.99,2328.3,4508.4,199.94,593.18,1073.65,183.21,505.07,711.16,154.68,136,965,203.01,23.57,190,196.85,0
1997,69.88,80.25,72.06,65.94,80.75,79.88,82.5,69.88,74.44,65.56,65.25,63.06,5.38,4.12,4.61,5.92,6.91,5.2,3.67,4.21,4.98,5.31,5.38,5.55,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,299.48,231.55,216.24,154.43,81.32,62.03,67.73,101.45,121.04,207.95,267.47,312.42,24.15,26.74,21.28,16.98,14.23,10.54,9.07,10.67,14.59,18.42,23.32,25.42,61.1,70.02,27.27,3.42,51.78,35.19,14.42,18.62,62.37,38.84,37.28,43.11,3192,8363.4,166.47,668.18,1483.05,164.26,392.72,607.24,113.31,151,1248,205.05,30.74,255.86,199.34,0
1998,70.5,65.38,66.69,72.81,82.94,84.62,82.38,83.75,81.5,72.12,74,69.81,5.47,4.99,5.94,4.08,5.85,6.62,5.97,7.13,5.8,5.29,5.6,4.69,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,292.53,244.83,256.6,135.28,78.84,59.45,52.9,77.9,113.04,174.3,205.99,291.67,26.02,25.34,23.73,19.43,13.75,10.62,9.4,12.37,15.39,16.85,19.7,24.17,60.06,39.6,6.87,56.43,41.55,52.74,91.31,69,81.72,44.23,57.24,25.59,2936.2,5906.4,213.7,701.08,1364.66,196.4,324.89,488.21,189.43,146,1320,304.85,22.4,161.16,234.9,0
1999,73,75.12,73.31,79.56,76.5,78.81,81.62,79.38,74.94,78.06,70.56,70.69,5.41,5.55,5.17,6.58,5.8,5.31,5.38,4.98,4.37,5.63,4.79,4.66,11.06,9.69,8.03,6.17,4.55,3.56,4.11,5.57,7.57,9.27,10.34,11.14,0.33,0.28,0.21,0.14,0.08,0.06,0.06,0.09,0.15,0.22,0.27,0.31,300.6,220.13,188.18,125.61,85.7,60.7,63.85,99.32,146,169.99,201.46,238.15,27.33,24.22,22.23,17.93,14.68,10.92,10.94,11.82,15.9,18.79,18.45,21.63,56.22,40.79,70.94,46.03,28.03,39.82,48.84,41.76,32.27,91.19,63.75,90.09,3173.8,6563.3,213.7,637.99,1247.38,196.4,353.96,669.06,189.43,148,1357,304.85,26.51,186.16,234.9,0
