Year,NT_Jan_humidity,NT_Feb_humidity,NT_Mar_humidity,NT_Apr_humidity,NT_May_humidity,NT_Jun_humidity,NT_Jul_humidity,NT_Aug_humidity,NT_Sep_humidity,NT_Oct_humidity,NT_Nov_humidity,NT_Dec_humidity,NT_Jan_wind,NT_Feb_wind,NT_Mar_wind,NT_Apr_wind,NT_May_wind,NT_Jun_wind,NT_Jul_wind,NT_Aug_wind,NT_Sep_wind,NT_Oct_wind,NT_Nov_wind,NT_Dec_wind,NT_Jan_uva,NT_Feb_uva,NT_Mar_uva,NT_Apr_uva,NT_May_uva,NT_Jun_uva,NT_Jul_uva,NT_Aug_uva,NT_Sep_uva,NT_Oct_uva,NT_Nov_uva,NT_Dec_uva,NT_Jan_uvb,NT_Feb_uvb,NT_Mar_uvb,NT_Apr_uvb,NT_May_uvb,NT_Jun_uvb,NT_Jul_uvb,NT_Aug_uvb,NT_Sep_uvb,NT_Oct_uvb,NT_Nov_uvb,NT_Dec_uvb,NT_Jan_eva,NT_Feb_eva,NT_Mar_eva,NT_Apr_eva,NT_May_eva,NT_Jun_eva,NT_Jul_eva,NT_Aug_eva,NT_Sep_eva,NT_Oct_eva,NT_Nov_eva,NT_Dec_eva,NT_Jan_temp,NT_Feb_temp,NT_Mar_temp,NT_Apr_temp,NT_May_temp,NT_Jun_temp,NT_Jul_temp,NT_Aug_temp,NT_Sep_temp,NT_Oct_temp,NT_Nov_temp,NT_Dec_temp,NT_Jan_rain,NT_Feb_rain,NT_Mar_rain,NT_Apr_rain,NT_May_rain,NT_Jun_rain,NT_Jul_rain,NT_Aug_rain,NT_Sep_rain,NT_Oct_rain,NT_Nov_rain,NT_Dec_rain,Covid
1990,83,75,78.44,79.5,82.31,83.5,82.44,82.69,83.62,81.5,82.75,80.75,9.07,6.31,9.96,9.28,8.5,24.44,12.44,15.15,12.48,9.42,30.1,10.26,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,330.49,306.75,341.55,233.71,218.74,164.27,195.66,233.5,281.16,354.18,400.24,370.97,31.32,29.45,29.81,25.41,23.07,18.25,20.09,20.7,22.97,28.63,31.92,31.79,100.37,44.65,38.63,23.46,54.13,0.85,0.84,3.36,2.56,7.51,21.98,71.18,0
1991,78,77.81,77.38,81,83.06,82,82.44,83.81,82.62,83.31,81.19,77,9.58,9.19,7.88,8.05,11.99,7.4,16.86,13.62,11.9,17.57,10.53,9.5,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,316.75,219,304.45,250.02,224.51,164.26,179.35,236.23,280.69,373.88,329.62,387.73,29.82,28.65,28.43,25.74,21.38,21.14,18.76,20.14,24.98,28.39,30.07,31,193.87,237.76,18.84,18.98,1.07,8.2,3.58,0.11,1.77,2.62,53.2,35.51,0
1992,76.75,76.69,75.62,77.69,78,81.5,83.06,84.12,83.25,86.12,81.31,77,9.48,9.72,6.48,8.92,7.67,21.15,13.41,11.71,10.77,28.55,9.91,6.62,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,383.53,314.21,333.81,260.15,187.82,163.4,197.61,241.65,287.2,336.64,372.14,368.24,30.5,30.65,30,27.42,23.31,19.44,18.49,21.58,25.84,26.65,29.19,30.84,54.4,112.1,24.32,23.92,37.73,3.25,0.14,5.34,11.48,24.44,24.81,57.43,0
1993,77.69,81.44,75.69,78.06,78.75,80.56,83.19,84.19,84.38,83.75,82.12,82.62,11.46,9.52,10.42,6.98,6.09,23.61,13.27,11.49,11.09,12.36,11.57,16.06,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,340.74,227.59,292.13,268.26,195.84,151.95,170.1,227.75,268.02,331.97,342.92,311.09,30.18,27.94,28.59,26.8,23.09,18.99,19.27,21.04,24.05,27.19,30,29.72,164.39,228.42,34.27,6.05,26.83,14.86,1.79,2.18,10.5,19.39,42.18,126.15,0
1994,78.31,78.31,80.94,82.19,81.75,82.38,84.25,82.38,83.88,80.75,77,76.38,12.32,11.73,8.09,12.57,10.65,16.16,15.22,18.36,10.44,19.3,8.12,15.05,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,371.64,261.68,306.69,282.98,241.95,174.57,198.54,242.05,284.16,365.5,340.04,349.32,31.29,29.8,26.53,24.8,21.48,18.47,17.71,18.57,23.65,27.74,29.4,30.6,62.64,150.33,73.92,12.41,1.75,2.87,0.46,0.1,0.56,4.29,37,83.23,0
1995,76.62,78.69,77.31,78.25,80.56,82.12,82.81,83.44,83,80,80.19,82.31,7.09,9.61,8.31,6.5,10.28,9.94,8.09,9.98,13.54,11.29,12.2,21.52,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,309.08,261.73,283.62,272.12,181.23,179.01,190.03,250.28,289.96,323.87,344.02,358.48,30.01,29.2,27.19,25.53,21.11,19.41,19.21,20.89,26.04,26.59,30,30.69,181.44,103.48,90.17,16.19,17.66,5.34,2.38,0.1,3.99,13.33,46.62,81.27,0
1996,81.31,79.5,77.94,83.56,82.31,83.25,81.44,81.06,83.81,82.12,81.62,78.62,7.51,10,8.39,11.11,13.89,8.31,19.19,12.96,14.66,9.6,15.48,9.98,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,381.37,341.91,296.41,256.86,224.77,180.4,192.49,226.54,311.17,352.13,385.1,365.82,30.73,30.21,27.92,25.51,21.46,22.25,19.79,21.49,24.91,27.82,29.83,30.84,76.83,64.36,90.4,60.36,3.94,1.96,8.58,3.5,0.49,21.37,18.43,113.04,0
1997,79.94,80.38,76.44,77.19,78.31,80.81,85.25,85.62,80.19,78.06,77.5,77.38,11.69,10.03,10.22,7.77,9.59,15.15,13.85,13.8,6.74,9.46,7.98,10.98,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,286.14,200.59,297.75,257.56,179.42,169.9,188.53,221.9,279.67,322.48,330.04,301.51,29.35,28.89,26.84,25,21.69,18.24,17.26,20.62,26.2,27.78,30.05,30.3,196.29,168.34,43.78,1.81,14.17,1.4,1.51,0.48,5.48,20.49,37.46,127.59,0
1998,73.94,77.31,71.38,77.56,81.25,81.25,80.5,82.94,82.94,82.75,81.44,80.06,11.29,8.49,8.39,7.38,7.27,6.13,7.66,10.59,8.82,26.39,6.95,17.67,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,348.74,295.89,339.89,241.87,206.31,172.41,176.96,230.89,270.31,345.04,304.37,322.77,31.22,30.65,29.7,26.73,22.97,20.31,19.97,21.91,25.38,29.07,29.85,30.18,128.73,73.97,44.2,53.91,5.04,9.02,12.42,1.95,17.92,41.09,66.76,109.44,0
1999,80.94,81.94,80.38,78.69,80.75,83.12,81.38,83.06,81.81,81.81,80.81,79.88,9.7,13.33,10.95,11.97,9.12,15.2,12.37,13.76,10,8.09,9.61,10.79,11.72,14.11,16.07,17.4,17.4,15.95,14.58,14.05,14.36,14,12.93,11.76,0.34,0.43,0.49,0.52,0.51,0.48,0.45,0.44,0.44,0.41,0.36,0.33,304.36,248.25,286.58,259.73,222.11,177,186.7,228.18,289.4,281.44,290.59,293.25,30.88,29.46,29.01,24.74,22.5,19.31,18.4,21.02,25.2,27.62,27.96,29.6,122.7,125.2,103.76,38.71,0.32,7.35,1.74,1.18,1.16,40.97,72.17,123.73,0
