Year,Qld_Jan_humidity,Qld_Feb_humidity,Qld_Mar_humidity,Qld_Apr_humidity,Qld_May_humidity,Qld_Jun_humidity,Qld_Jul_humidity,Qld_Aug_humidity,Qld_Sep_humidity,Qld_Oct_humidity,Qld_Nov_humidity,Qld_Dec_humidity,Qld_Jan_wind,Qld_Feb_wind,Qld_Mar_wind,Qld_Apr_wind,Qld_May_wind,Qld_Jun_wind,Qld_Jul_wind,Qld_Aug_wind,Qld_Sep_wind,Qld_Oct_wind,Qld_Nov_wind,Qld_Dec_wind,Qld_Jan_uva,Qld_Feb_uva,Qld_Mar_uva,Qld_Apr_uva,Qld_May_uva,Qld_Jun_uva,Qld_Jul_uva,Qld_Aug_uva,Qld_Sep_uva,Qld_Oct_uva,Qld_Nov_uva,Qld_Dec_uva,Qld_Jan_uvb,Qld_Feb_uvb,Qld_Mar_uvb,Qld_Apr_uvb,Qld_May_uvb,Qld_Jun_uvb,Qld_Jul_uvb,Qld_Aug_uvb,Qld_Sep_uvb,Qld_Oct_uvb,Qld_Nov_uvb,Qld_Dec_uvb,Qld_Jan_eva,Qld_Feb_eva,Qld_Mar_eva,Qld_Apr_eva,Qld_May_eva,Qld_Jun_eva,Qld_Jul_eva,Qld_Aug_eva,Qld_Sep_eva,Qld_Oct_eva,Qld_Nov_eva,Qld_Dec_eva,Qld_Jan_temp,Qld_Feb_temp,Qld_Mar_temp,Qld_Apr_temp,Qld_May_temp,Qld_Jun_temp,Qld_Jul_temp,Qld_Aug_temp,Qld_Sep_temp,Qld_Oct_temp,Qld_Nov_temp,Qld_Dec_temp,Qld_Jan_rain,Qld_Feb_rain,Qld_Mar_rain,Qld_Apr_rain,Qld_May_rain,Qld_Jun_rain,Qld_Jul_rain,Qld_Aug_rain,Qld_Sep_rain,Qld_Oct_rain,Qld_Nov_rain,Qld_Dec_rain,Qld_Wheat_Area,Qld_Wheat_Production,Qld_wheat_price,Qld_Barley_Area,Qld_Barley_Production,Qld_Barely_price,Qld_Rice_Area,Qld_Rice_Production,Qld_Rice_price,Qld_Oats_Area,Qld_Oats_Production,Qld_Oats_price,Qld_Corn (maize)_Area,Qld_Corn (maize)_Production,Qld_Corn_price,Covid
1990,39.44,42.25,63.94,85.06,84.88,83.44,78.12,61,52.81,38.88,31.19,47.38,9.03,8.92,11.9,8.32,7.22,7.35,8.92,11.14,8.86,12.18,8.77,10.27,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,315.24,289.12,242.8,145.23,138.57,109.33,128.3,170.97,220.85,268.04,337.48,334.5,30.24,28.47,26.95,22.99,20.38,16.43,16.72,16.62,20.32,24.91,28.53,30.06,48.98,38.73,138.5,144.05,69.86,38.62,10.56,3.71,4.81,13.22,11.77,81.72,894.3,1420,160.15,179.4,320.7,139.7,5,30,180,15.4,27.1,81.19,34.2,114.6,155.33,0
1991,59,57.19,40.69,43,59.12,52.38,54.62,40.94,28.62,33.38,40.31,43.25,11.12,9.7,9.09,9.06,7.43,7.15,8.31,9.48,10.48,9.7,9.3,8.87,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,234.44,180.23,258.03,199.54,164.99,123.34,139.29,188.54,242.16,307.37,299.37,314.7,27.82,27.79,26.65,23.33,20.4,18.39,15.79,17.93,21.53,25.73,28.38,28.28,276.01,233.9,18.43,10.64,16.93,8.88,9.93,0.52,0.57,9.89,37.81,75.8,1060.3,1973.2,94.52,176.9,360.8,106.71,4,21,195.24,24.2,5.2,1038.47,29.3,94.9,149.64,0
1992,37.75,59.81,53.06,56.62,63.69,63.31,56.25,46.19,44,39.31,38.75,50.06,8.38,10.23,9.37,8.64,8.34,6.64,8.77,12.45,9.98,9.29,10.72,9.4,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,352.38,226.72,258.78,215.98,145.05,122.62,142.37,186.86,215.9,283.42,297.85,295.02,29.6,28.25,27.19,24.49,20.75,16.4,16.35,18.75,21.9,24.18,26.49,27.87,58.38,168.25,30.3,18.37,42.27,2.98,6.83,11.79,20.15,17.29,30.34,102.17,491.7,343.7,181.85,127.8,70.1,171.19,4,28,196.43,15,9.7,92.79,33.7,141.2,144.48,0
1993,52.56,47.19,39.31,44.19,51.75,61.44,66.56,52.62,55.81,45.56,49.06,50.88,9.24,7.81,8,7.59,9.02,8.23,8.27,8.55,9.71,10.77,8.84,10.26,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,272.79,225.09,282.15,235.75,167.14,138.97,133.15,185.01,222.84,275.73,294.99,303.76,29.01,28.37,26.89,24.65,21.33,17.59,18.57,18.76,21.64,24.61,27.86,28.13,108.15,127.16,27.36,7.38,12.29,11.09,30.69,20.64,21.34,24.57,42.72,70.86,669.2,735.2,154.66,189.3,285.2,138.15,2,12,191.67,14.8,7.8,269.51,27.2,74.6,195.72,0
1994,39.19,65.25,67.12,53.56,44.12,56.25,49.94,42.38,28.56,36.62,42.69,41.31,8.57,9.69,9.07,7.54,7.77,8.34,10.15,8.74,9.85,11.79,11.45,8.07,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,337.37,209.64,216.08,214.06,168.99,130.51,154.1,191.39,243.47,293.51,312.43,323.6,30.68,28.23,25.05,23.18,19.89,16.75,16.34,17.08,20.71,24.93,27.47,29.1,70.02,130.55,108.1,10.23,6.51,8.6,4.81,2.01,2.19,17.94,33.22,37.99,555.5,555.4,150.71,232.22,260.54,137.41,0.7,4.09,325.7,15.89,3.17,411.14,27.62,87.12,203.18,0
1995,52.5,64,41.75,44.19,63.62,63.38,52.88,50.94,43.5,46.19,49.12,42.88,12.67,9.22,8.2,8.3,8.7,8.48,10.99,8.58,10.03,9.74,9.78,11.66,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,299.75,213.61,262.23,217.76,151.41,137.96,144.57,188.9,231.9,266.53,303.43,322.46,29.24,27.72,27.24,23.32,20.48,17.7,16.46,18.73,22.51,24.65,28.43,28.82,118.44,140.21,82.22,16,35.08,11.5,2.28,18.44,13.61,37.96,61.84,68.47,400.7,225.1,242.12,93.48,72.85,216.9,0.7,4.09,325.7,13.67,6.89,101.7,27.18,79.89,234.09,0
1996,66,49.56,45.12,43.19,65.5,63.56,57.38,53.5,38.62,56.19,37.69,52.56,12.8,8.24,7.7,9.57,9.72,10.38,11,9,12.02,8.45,11.88,10.38,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,256,284.01,248.89,214.56,161.35,129.64,142.19,169.67,240.85,255.08,325.53,316.31,28.65,28.3,26.76,24.36,20.78,19.55,16.42,18.69,21.63,24.92,27,29.26,168.58,57.6,86.76,33.16,35.02,12.78,25.03,20.69,16.5,53.15,26.24,85.02,626.5,519.5,228.3,167.85,195.03,188.18,0.7,4.09,325.7,14.11,25.73,46.65,30.97,113.6,198.07,0
1997,50.62,77.88,63.75,49.69,62.38,67.38,60.94,45.62,43.12,45.25,52.06,58.19,8.17,7.97,9.4,7.31,8.47,10.14,8.71,8.43,9.22,9.26,8.12,9.61,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,279.09,206.08,222.68,205.59,136.82,122.37,143.81,171.42,223.39,287.69,279.62,259.43,28.12,28.37,25.92,23.24,19.78,16.9,16.51,17.75,22.95,25.4,28.06,29.62,133.07,162.92,109.22,6.92,33.19,8.48,5.27,5.13,15.13,19.15,50.27,137.35,979.7,1979.5,166.16,180.22,428.6,134.4,0.7,4.09,325.7,39.39,13.01,322.91,34.21,129.9,183.23,0
1998,49.06,57.19,40.44,61.69,69.81,64.62,72,70.81,69.19,51.88,51.19,44.75,9.29,7.11,7.74,8.36,6.16,9.21,9.6,11.73,8.99,9.41,9.88,8.89,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,265.1,232.58,263.47,187.47,137.05,122.89,128.93,159.53,193.9,259.25,250.99,292.83,29.28,29.61,28.06,24.82,20.78,17.63,17.69,19.53,23.25,25.84,26.95,28.71,152.6,112.22,59.26,65.78,34.81,29.4,31.94,43.3,44.38,44.69,82.92,81.16,1001.4,1392.1,235.02,135.26,204.48,217.02,0.7,4.09,325.7,16,15.32,368.61,33.58,96.86,232.87,0
1999,58.94,57.5,60.94,56.75,64.31,66.25,67.19,56.56,44.44,49.38,54.81,49.31,8.08,9.13,8.62,6.93,8.69,9.61,9.17,7.85,11.09,8.81,9.78,8.2,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,246.98,217.96,206.82,169.6,146.05,124.48,135.65,180.91,231.51,272.02,236.15,256.21,29.36,28.59,27.25,22.66,20.87,17.44,16.92,18.79,22.38,26.3,25.42,26.8,155.94,128.18,117.8,52.41,17.01,17,12.56,8.13,5.8,27.35,120.39,117.68,1138.8,1941.2,235.02,163.3,320.4,217.02,0.7,4.09,325.7,18.14,11.78,368.61,36.74,144.91,232.87,0
2000,50.5,62.75,55.62,66.69,68.5,68.62,54.75,53.94,35.81,47.56,67.81,54.38,8.54,9.2,7.98,9.79,9.85,8.07,8.38,9.08,12.65,10.12,8.48,8.16,12.14,11.31,9.95,8.33,6.5,5.44,6.03,7.62,9.4,11.13,11.86,12.19,0.38,0.35,0.29,0.22,0.15,0.11,0.12,0.17,0.23,0.3,0.33,0.36,296.67,211.29,207.66,156.94,134.14,112.24,126.89,169.01,234.16,251.39,210.98,226.41,28.34,27.62,26.94,24.15,19.51,15.98,16.13,18.42,23.03,24.83,26.35,27.19,75.46,208.59,69.19,88.57,28,26.81,2.7,9.67,0.8,69.26,133.94,182.96,1096,1904,235.02,129.89,253.79,217.02,0.7,4.09,325.7,9.97,5.86,368.61,59.39,223.62,232.87,0
2001,48.38,55.56,51.19,49.94,47.5,60.69,57.81,48.44,45.5,38.62,50.38,40.81,7.74,7.6,8.37,7.69,8.51,7.33,7.81,10.13,8.56,9.8,11.04,8.97,19.34,18.21,14.75,12.62,10.52,8.24,8.66,11.79,13.91,15.38,16.76,18.28,0.59,0.56,0.43,0.33,0.23,0.16,0.17,0.25,0.32,0.4,0.46,0.54,281.41,231.64,239.75,206.18,156.4,130.28,130.58,169.19,220,246.72,262.07,308.8,29.06,28.29,27.59,24.27,18.88,18.77,16.38,17.63,22.19,24.54,27.1,29.61,71.87,134.7,75.92,19.62,4.5,16.81,14.02,1.72,5.51,35.84,67,62.21,884.9,1157,235.02,111.95,114.99,217.02,0.7,4.09,325.7,12.77,7.47,368.61,46.56,159.07,232.87,0
2002,45.88,49.5,44.75,47.12,46.62,57.69,43.5,51.81,33.62,29.5,33.38,37.81,9.23,8.29,8.11,8.22,9.91,10.76,8.52,9.63,9.45,10.81,8.98,10.56,17.49,16.62,15.85,13.04,9.85,8.43,9.67,10.54,14.26,18.2,18.7,19.32,0.52,0.52,0.45,0.34,0.22,0.16,0.2,0.23,0.35,0.48,0.52,0.55,290.44,253.66,278.33,216.98,175.51,144.58,147.28,180.34,246.74,314.71,348.13,376.94,29.4,29.13,27.24,25.29,20.51,17.47,16.07,18.3,22.72,25.78,29.02,29.59,107.2,131.24,36.25,10.97,7.68,15.46,1.47,17.19,3.15,3.98,12.58,37.84,604.4,901.4,218,96.42,170.73,180.41,0.7,4.09,325.7,10.59,3.54,480.5,53.26,198.36,195.11,0
2003,34.88,66.81,54.81,60.31,59.19,61.25,59.94,55.06,33.25,39.75,37.62,47.94,7.58,9.86,9.61,8.19,8.53,8.62,8.41,11.8,11.92,13.98,8.63,9.02,18.71,14.7,15.16,12.41,10.02,8.09,9.32,11.39,15.54,16.66,19.15,19.08,0.57,0.45,0.44,0.31,0.22,0.16,0.18,0.25,0.37,0.43,0.52,0.55,331.44,237.24,245.6,215.38,171.38,126.45,154.09,181.22,246.98,295.45,331.58,315.24,29.76,29.11,26.52,24.74,21.09,18.29,17.22,19.29,23.16,25.2,27.87,29.93,70.63,168.03,68.57,26.18,14.47,18.83,9.72,16.47,0.84,22.92,14.37,92.83,514.4,600.9,264.28,107.87,148.31,271.07,0.7,4.09,325.7,9.4,4.91,285.54,27.6,130.92,194.78,0
