Year,TA_Jan_humidity,TA_Feb_humidity,TA_Mar_humidity,TA_Apr_humidity,TA_May_humidity,TA_Jun_humidity,TA_Jul_humidity,TA_Aug_humidity,TA_Sep_humidity,TA_Oct_humidity,TA_Nov_humidity,TA_Dec_humidity,TA_Jan_wind,TA_Feb_wind,TA_Mar_wind,TA_Apr_wind,TA_May_wind,TA_Jun_wind,TA_Jul_wind,TA_Aug_wind,TA_Sep_wind,TA_Oct_wind,TA_Nov_wind,TA_Dec_wind,TA_Jan_uva,TA_Feb_uva,TA_Mar_uva,TA_Apr_uva,TA_May_uva,TA_Jun_uva,TA_Jul_uva,TA_Aug_uva,TA_Sep_uva,TA_Oct_uva,TA_Nov_uva,TA_Dec_uva,TA_Jan_uvb,TA_Feb_uvb,TA_Mar_uvb,TA_Apr_uvb,TA_May_uvb,TA_Jun_uvb,TA_Jul_uvb,TA_Aug_uvb,TA_Sep_uvb,TA_Oct_uvb,TA_Nov_uvb,TA_Dec_uvb,TA_Jan_eva,TA_Feb_eva,TA_Mar_eva,TA_Apr_eva,TA_May_eva,TA_Jun_eva,TA_Jul_eva,TA_Aug_eva,TA_Sep_eva,TA_Oct_eva,TA_Nov_eva,TA_Dec_eva,TA_Jan_temp,TA_Feb_temp,TA_Mar_temp,TA_Apr_temp,TA_May_temp,TA_Jun_temp,TA_Jul_temp,TA_Aug_temp,TA_Sep_temp,TA_Oct_temp,TA_Nov_temp,TA_Dec_temp,TA_Jan_rain,TA_Feb_rain,TA_Mar_rain,TA_Apr_rain,TA_May_rain,TA_Jun_rain,TA_Jul_rain,TA_Aug_rain,TA_Sep_rain,TA_Oct_rain,TA_Nov_rain,TA_Dec_rain,TA_Wheat_Area,TA_Wheat_Production,TAS_wheat_price,TA_Barley_Area,TA_Barley_Production,TAS_Barley_price,TA_Oats_Area,TA_Oats_Production, TA_Oats_Price ,Covid
1990,80.12,81.06,80.06,88.62,94.19,95.94,96.06,93.31,90.12,86.69,84.75,84.38,11.51,10.7,9.09,9.43,10.46,10.14,10.31,8.44,9.55,8.98,11.85,10.73,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,179.8,111.61,112.2,63.09,41.1,26.08,34.75,31.16,58.43,89.35,125.07,139.55,14.54,14.49,14.21,12.01,8.75,7.33,6.22,5.75,8.12,10.27,12.08,13.36,64.97,80.95,63.01,85.7,123.21,151.54,201.62,140.43,98.44,99.1,107.81,113.56,0.8,2.7,185.19,7.99,19.33,186.33,7.6,12.8,156.25,0
1991,83.44,81.19,84.62,90.81,92.62,95.75,95.38,95.56,92.25,85.62,86.25,84.5,10.19,11.13,9.84,10.9,8.62,8.72,8.82,11.87,11.11,11.51,10.66,9.08,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,156.58,139.81,95.55,57.62,26.49,21.9,24.81,43.02,55.01,99.37,112.67,134.08,14.76,13.27,12.05,10.33,8.54,7.98,6.48,6.32,7.9,10.39,10.89,13.31,100.3,19.65,88.94,95.83,44.12,175.78,145.8,260.79,131.92,89.11,130.36,106.65,0.6,2.4,125,9.77,25.98,173.22,9.3,18.8,132.98,0
1992,85.12,83.12,85.69,91.19,92.88,95.44,95.69,94.75,91.5,85.69,85.44,83.25,11.57,9.66,10.71,10.34,8.05,9.89,10.91,9.09,10.77,10.05,12.92,9.48,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,133.36,129.64,115.56,54.05,29.08,20.2,26.9,34.01,44.96,86.24,106.75,131.28,12.97,14.21,14.05,11.21,8.79,5.61,6.17,6.13,6.72,10.39,11.28,14.07,98.16,58.77,36.5,143.08,127.72,115.21,206.92,181.4,134.79,120.27,131.03,80.53,1.2,3.2,156.25,11.35,31.8,141.55,9.1,18.6,112.91,0
1993,82.69,83.88,87.12,89.94,94.25,96.38,95.62,93.19,89.69,88.69,86.25,85.81,10.34,10.3,10.22,9.77,8.86,10.72,11.09,11.7,9.25,11.29,11.34,11.11,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,145.39,121.81,82.76,54.68,38.14,26.96,26.4,48.45,55.28,90.15,102.21,129.94,15.09,15.15,13.34,12.07,8.79,6.58,7.41,7.95,8.47,9.8,10.82,13.14,77.45,116.94,64.25,68.36,118.23,148.43,142.08,160.4,90.38,130.28,127.84,178.14,1.5,5.5,145.46,12.3,35.29,138.87,9.2,19,105.27,0
1994,85.19,84,83.31,89.5,93.94,95.38,95.31,94.62,91.88,86.31,86.94,77.75,12.97,10.11,8.93,10.84,10.87,9,10.69,10.62,10.45,10.48,10.97,11.16,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,145.42,117.42,97.21,63.6,51.6,24.04,28.77,46.74,64.51,96.57,118.58,197.53,12.91,15.1,12.63,11.9,8.41,6.66,6.45,6.18,6.88,9.93,10.76,14.69,111.25,66.16,23.86,102.7,242,106.12,140.92,154.84,136.83,99.96,146.21,24.62,1.6,5.3,132.08,15.21,40.76,149.68,6.66,12.75,117.71,0
1995,81.69,79.75,85.81,91.62,93.62,94.75,96.12,93.56,90.75,86.31,85.19,83.81,9.66,10.18,10.71,9.92,9.82,7.91,9.55,11.47,11.11,12.74,12.71,11.27,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,149.18,117.93,106.37,57.09,31.78,21.34,21.93,49.67,57.19,92.43,102.94,130.04,15.59,14.99,12.52,9.62,8.21,5.95,4.74,7.02,7.11,9.15,10.87,11.74,115.55,52.87,110.96,136.91,86.45,129.47,143.96,180.83,108.67,93.32,92.01,92.13,1.3,2.8,214.29,13.97,27.08,199.47,8.32,11.29,194.92,0
1996,82.06,83.25,88.06,92.94,94.06,95.62,95.06,94.12,92.06,89.19,85.88,82.75,11.55,10.73,12.02,12.89,9.49,10.98,9.95,10.38,11.95,10.61,11.27,11.62,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,148.68,108.69,88.87,49.89,39.58,25.41,22.59,51.47,72.94,90.66,111.68,144.99,14.63,13.55,12.93,9.55,8.93,6.75,6.07,6.79,7.27,10.16,9.89,11.71,148.37,108.42,135,169.02,65.32,127.4,120.82,203.45,204.79,128.31,130.8,69.84,1.1,4.1,219.52,14.02,38.47,210.6,10.07,18.45,151.81,0
1997,80.62,80.5,85.38,89.56,93.69,95.19,95.38,94.88,89.62,86.12,83.75,83.38,10.11,9.49,10.3,11.85,9.28,8.23,10.1,10.44,8.7,11.74,12.23,11.18,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,159.26,119.88,111.5,66.38,33.38,19.41,33.81,48.65,55.34,105.62,129.1,158.52,15.42,15.88,12.24,10.53,8.3,6.77,5.77,6.82,8.08,10.05,11.53,12.93,93.46,45.23,105.23,105.23,138.05,70.47,106.97,154.53,97.97,112.41,93.79,91.21,1.9,7.5,173.34,14.51,35.24,175.96,8.12,13.99,150.19,0
1998,79.19,82.62,82.81,90.88,93.12,94.94,95.81,90.75,90.5,88.44,83.31,82.81,10.16,11.55,12.49,10.2,9.83,9.47,10.09,10.02,11.12,13.04,9.91,10.6,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,184.9,139.83,120.08,61.33,34.8,27.49,30.5,41.61,66.61,89.65,119.97,161.03,15.72,14.33,13.12,10.27,8.47,6.62,5.87,6.85,9.08,9.2,11.22,14.38,48.13,95.64,55.46,104.69,87.63,120.44,135.99,84.98,158.27,157.59,99.39,108.5,2.8,11.7,226.9,13.16,30.92,230.27,7.98,14.9,208.16,0
1999,79.06,86.25,86.88,90.5,94.88,94.81,94.19,93.94,90.12,86.94,83.19,81.44,8.98,11.06,11.16,9.08,8.79,8.84,11.41,10.01,11.34,10.54,11.23,10.5,15.68,13.83,9.84,6.38,3.76,2.87,3.26,4.96,7.76,11.47,14.39,15.77,0.44,0.37,0.23,0.12,0.05,0.03,0.04,0.06,0.12,0.23,0.34,0.42,167.9,113.96,97.91,52.07,41.01,24.45,34.37,41.65,61.09,95.53,115.85,162.45,15.76,16.05,13.27,10.1,10.26,7.25,6.6,7.61,9.52,10.89,10.73,13.88,27.69,154.4,100.54,78.77,136.22,73.94,121.85,121.88,78.85,112.06,90.73,81.17,4,17.5,226.9,11.17,30.05,230.27,7.97,14.41,208.16,0
