Year,VIC_Jan_humidity,VIC_Feb_humidity,VIC_Mar_humidity,VIC_Apr_humidity,VIC_May_humidity,VIC_Jun_humidity,VIC_Jul_humidity,VIC_Aug_humidity,VIC_Sep_humidity,VIC_Oct_humidity,VIC_Nov_humidity,VIC_Dec_humidity,VIC_Jan_wind,VIC_Feb_wind,VIC_Mar_wind,VIC_Apr_wind,VIC_May_wind,VIC_Jun_wind,VIC_Jul_wind,VIC_Aug_wind,VIC_Sep_wind,VIC_Oct_wind,VIC_Nov_wind,VIC_Dec_wind,VIC_Jan_uva,VIC_Feb_uva,VIC_Mar_uva,VIC_Apr_uva,VIC_May_uva,VIC_Jun_uva,VIC_Jul_uva,VIC_Aug_uva,VIC_Sep_uva,VIC_Oct_uva,VIC_Nov_uva,VIC_Dec_uva,VIC_Jan_uvb,VIC_Feb_uvb,VIC_Mar_uvb,VIC_Apr_uvb,VIC_May_uvb,VIC_Jun_uvb,VIC_Jul_uvb,VIC_Aug_uvb,VIC_Sep_uvb,VIC_Oct_uvb,VIC_Nov_uvb,VIC_Dec_uvb,VIC_Jan_eva,VIC_Feb_eva,VIC_Mar_eva,VIC_Apr_eva,VIC_May_eva,VIC_Jun_eva,VIC_Jul_eva,VIC_Aug_eva,VIC_Sep_eva,VIC_Oct_eva,VIC_Nov_eva,VIC_Dec_eva,VIC_Jan_temp,VIC_Feb_temp,VIC_Mar_temp,VIC_Apr_temp,VIC_May_temp,VIC_Jun_temp,VIC_Jul_temp,VIC_Aug_temp,VIC_Sep_temp,VIC_Oct_temp,VIC_Nov_temp,VIC_Dec_temp,VIC_Jan_rain,VIC_Feb_rain,VIC_Mar_rain,VIC_Apr_rain,VIC_May_rain,VIC_Jun_rain,VIC_Jul_rain,VIC_Aug_rain,VIC_Sep_rain,VIC_Oct_rain,VIC_Nov_rain,VIC_Dec_rain,VIC_Wheat_Area,VIC_Wheat_Production,VIC_wheat_price,VIC_Barley_Area,VIC_Barley_Production,VIC_Barley_Price,VIC_Oats_Area,VIC_Oats_Production,VIC_Oats_Price,VIC_Rice_Area,VIC_Rice_Production,VIC_Rice_Price,VIC_Corn (maize)_Area,VIC_Corn (maize)_Production, VIC_Corn (maize)_Price ,Covid
1990,52.19,71,61.19,80.19,84,89.5,90.31,90.38,83.5,80.44,70.31,59.81,4.06,2.5,2.62,3.09,3.15,3.25,3.22,3.13,3.45,2.66,3.29,4.13,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,243.97,160.08,169.04,94.08,58.66,31.8,39.13,50.52,82.3,125.45,176.59,220.21,20.89,19.75,19.24,15.46,11.51,8.75,8.91,8.7,11.49,14.09,16.96,19.76,10.27,61.36,26.67,76.13,34.43,61.97,93.68,95.59,55.01,65.46,31.58,26.4,952.3,1961.4,159.74,388.7,696,146.84,188.6,330.4,90.2,0.85,5.35,297.68,0.3,1,100,0
1991,61.69,55.62,59.56,68.06,76.69,89.56,91,85.38,83.12,73.5,62.38,66.62,2.8,3.12,3.1,4.01,2.72,3.68,3.22,4.01,3.46,3.62,3.85,3.23,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,227.22,205.94,161.96,90.9,47.49,35.18,34.05,56.5,72.62,131.79,166.1,183.01,21.21,20.37,17.81,13.99,11.29,11.15,8.44,8.88,10.92,14.86,15.44,17.87,89.24,4.7,23.42,29.94,13.36,133.92,84.27,101.94,81.98,15.88,30.3,55.17,911.5,1493,97.06,463,650.6,109.9,177.1,301.1,74.07,0.85,5.35,297.68,0.3,2,150,0
1992,64.06,63.75,67.75,72.12,84.44,89.19,85.5,84.75,86.56,81.25,78.56,79.94,3.2,2.93,2.59,2.95,3.48,3.23,3.91,4.12,3.15,3.53,3.85,2.62,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,199.57,183.01,143.28,91.01,39.86,28.31,39.49,50.16,59.25,100.83,121.7,142.44,18.19,19.85,19.45,14.97,11.08,8.77,8.36,8.21,9.24,13.83,14.04,18.78,32.78,27.08,31.65,58.66,71.14,64.45,46.34,96.68,124.3,100.72,91.12,104.4,664.1,1150.4,115.1,533.9,897.9,118.62,182.8,300.4,108.86,0.85,5.35,297.68,0.4,3,166.67,0
1993,70.69,69.44,75.56,68.19,80.31,86.62,86.62,81,84.12,78.56,73,68,2.54,3.29,2.59,3.54,3.12,3.59,3.16,4.11,3.05,3.56,3.64,3.25,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,178.62,165.95,122.95,94.34,49.13,35.36,39.11,61.31,70.63,123.26,144.17,178.67,20.61,20.34,17.71,15.44,11.43,8.79,9.03,10.5,11.59,12.89,15.28,17.56,71.89,42.5,48.15,9.15,34.27,44.75,88.12,56.72,124.41,96.49,55.17,83.37,821.2,2015.1,132.75,551.5,1116.3,118.07,222.9,403.8,77.77,0.85,5.35,297.68,0.4,2.8,142.86,0
1994,59.12,73.25,73.5,69.5,75.88,86.19,81.44,77.75,73.06,67.75,63.88,52.19,4.08,2.86,2.42,4.01,4.43,2.95,3.49,4.41,3.76,3.3,4.3,3.31,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,210.01,152.27,130.21,91.91,67.63,36.52,42.17,56.09,80.25,135.35,172.98,250.68,18.73,20.82,16.94,14.61,11.59,9.44,8.49,8.09,10.03,13.84,15.84,20.59,31.25,82.23,21.22,27.87,40.64,65.08,29.81,31.43,42.18,44.41,53.37,20.35,779.9,2021.9,128.94,639.5,1386.23,90.83,185.84,362.01,63.82,0.85,5.35,297.68,0.24,1.68,179.22,0
1995,66.69,61.19,65,74.75,86.31,88.12,90.19,78.62,80.06,77.81,76.5,67.56,3.17,3.34,3.27,2.71,3.13,3.03,2.68,3.69,2.86,3.5,3.61,3.08,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,215.96,188.97,164.2,81.93,45.24,34.98,35.97,61.84,75.27,111.74,158.48,192.6,21.31,20.84,16.85,12.32,11.13,9.11,7.46,9.96,10.55,12.9,15.88,16.61,69.43,24.77,22.28,66.49,84.71,94.86,96.84,37.87,46.13,81.55,53.08,35.37,821.8,933.6,187.67,492.26,448.15,218.91,147.74,200.61,216.85,0.85,5.35,297.68,0.7,5.14,214.22,0
1996,66.31,65.56,65.81,78.88,81.12,87.81,89.94,86.06,79.25,73,69.12,62,4.12,3.52,4.48,3.05,2.84,3.48,3.19,3.85,4.29,3.95,3.8,3.53,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,195.33,178.12,152.33,78.72,48.23,33.75,34.89,53.25,92.17,125.74,170.03,206.64,19.69,18.63,17.81,12.79,11.49,9.28,8.16,9.56,10.99,13.89,14.6,17.01,56.1,55.11,44.15,46.19,27.08,86.14,93.12,85.39,97.3,45.12,37.69,30.42,853.4,1921.2,217.84,627.52,1341.66,217.27,186.98,391.66,139.67,0.85,5.35,297.68,1.15,6.81,205.68,0
1997,57.75,55.81,67.31,64,80.44,84.5,84.56,78.75,80.25,66.25,60.75,53.94,3.3,2.66,3.2,2.91,2.8,3.35,3.78,3.4,2.76,4.01,2.99,4,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,249.18,213.08,151.36,97.03,47.68,36.78,38.08,55.78,72.17,142.46,178.11,234.56,21.17,23.56,16.82,14.21,11.29,9.02,7.19,8.56,10.88,13.9,17.36,19.05,41.77,13.62,25.74,10.26,68.03,38.79,27.4,57.77,75.68,35.6,55.7,13.46,962.6,2262.3,170.1,584.68,1189.37,170.85,174.56,304.05,129.92,1,6,400,0.96,6.54,229.47,0
1998,58.62,53.69,54.56,69.31,78.12,86.5,88.5,85.62,79.62,74.75,75.62,66.06,3,3.27,2.95,2.87,3.28,3.69,3.8,3.3,3.7,4.7,3.16,4.15,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,234.28,206.77,180.11,86.01,51.79,45.87,34.72,52.98,84.14,127.14,154.87,210.63,21.29,20.25,18.39,13.42,11.34,8.54,7.26,9.82,12.29,12.9,15.43,19.33,33.82,33.97,9.78,64.05,26.47,88.08,70.41,41.04,70.44,67.17,75.87,34.96,856.8,1502.8,217.17,618.11,928.26,196.09,172.34,369.08,193.31,1,4,297.68,0.94,10.22,254.85,0
1999,66.75,63.31,67.44,73.5,73.44,87.44,83.38,85,76.38,75.44,64.5,64.69,2.67,3.43,3.47,2.88,3.27,2.64,2.9,3.33,3.72,3.09,3.65,3.83,17.67,15.25,12.2,8.34,5.51,4.19,4.6,6.64,9.8,13.21,15.92,17.77,0.51,0.43,0.31,0.18,0.09,0.05,0.06,0.1,0.18,0.29,0.41,0.49,234.09,173.37,146.99,88.05,58.85,34.26,39.17,54.72,92.86,121.68,152.21,205.98,22.7,21.44,17.9,12.93,11.9,9.19,9.08,9.91,12.53,14.66,14.73,18.51,34.17,39.8,52.75,23.19,64.07,49.81,39.01,75.29,42.98,54.66,52.8,73.22,948.6,1462.3,217.17,568.15,869.84,196.09,187.99,458.02,193.31,1,5,297.68,0.52,2.55,254.85,0
