Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_export_price,Barley_Area,Barley_Production,Barley_export_price,Oats_Area,Oats_Production,Oat_export_price,Corn_Area,Corn_Production,Corn_export_price,Covid
1990,AUS,51.32,54.47,54.3,63.59,68.48,71.83,70.06,65.65,59.32,56.2,48.73,49.58,5.05,4.6,4.79,4.46,4.48,4.65,4.7,4.84,4.78,4.89,4.98,5.09,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,292.27,231.32,242.62,149.47,120.1,85.54,98.78,122.73,171.46,230.36,286.12,304.39,28.6,28.1,26.74,22.26,19.17,14.8,15.17,15.88,19.13,23.32,27.11,28.37,64.97,39.74,51.45,62.91,44.77,21.41,22.42,20.22,10.72,16.56,13.25,44.75,9003.8,14214.6,141.94,2309.9,4044.15,144.6,1088.7,1640.3,157.22,51.9,218,306.43,0
1991,AUS,56.31,55.78,54.78,56.54,62.75,69.99,67.39,61.6,56.95,52.07,51.76,52.33,5.1,5.1,4.48,4.34,4.05,4.27,4.35,5.26,4.81,4.96,5.14,4.66,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,282.59,236.95,235.91,168.41,122.11,86.58,95.94,136.05,176.14,251.19,260.42,285.88,28.29,27.79,25.95,22.55,18.61,17.13,14.99,16.39,19.81,24.35,25.58,27.02,130.26,120.58,15.72,13.96,16.49,36.5,22.92,11.89,10.14,7.69,31.65,43.01,9218.2,15066.1,186.51,2555.65,4107.83,151.06,1043.6,1529.8,149.11,48.3,192.9,244.42,0
1992,AUS,50.93,58.33,57.11,60.75,68.39,70.6,65.38,63.56,63.53,59.21,56.37,59.55,5.01,4.77,4.36,4.31,3.99,4.15,4.66,5,4.63,4.81,5.05,4.85,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,298.35,241.42,231.58,162.09,101.54,81.87,103.02,128.06,154.24,210.98,244.9,254.91,27.63,27.13,26.76,23.13,18.7,15.53,15.13,16.36,19.1,22.22,24.22,26.62,39.8,86.43,35.24,38.11,37.48,21.52,10.4,31.91,26.6,29,30.91,60.51,7183,10557.3,209.46,2744.24,4529.68,165.13,1160.1,1689.8,150.11,51.7,268.2,227.38,0
1993,AUS,58.37,59.75,59.73,56.04,65.15,70.43,69.35,62.2,62.03,58.25,53.96,56.91,4.7,5.06,4.23,4.34,4.29,4.77,4.4,4.84,4.71,5.13,4.79,5.18,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,273.78,220.87,219.91,177.02,112.03,84.29,92.36,133.37,160.97,218.15,248.67,262.16,28.48,27.98,25.81,23.55,18.95,15.15,15.52,16.78,19.29,22.21,26.02,26.56,84.19,110.53,25.5,8.68,30.02,25.16,27.68,21.23,23.89,28.52,31.9,70.66,8274.7,14738.7,177.97,2947.18,5396.76,163.21,1149.1,1936.4,146.69,44.9,198.2,254.17,0
1994,AUS,51.95,59.97,56.66,56.46,58.29,65.99,62.11,58.34,54.23,50.75,51.31,47.68,5.17,4.69,4.39,4.65,4.84,4.23,4.49,4.85,4.81,4.91,5.23,4.78,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,309.5,213.5,218.6,176.64,141.32,92.52,108.69,137.41,182.54,245.53,262.74,315.91,28.74,28.24,24.79,22.05,18.57,15.28,14.82,15.71,19.39,23.4,25.71,28.11,39.3,102.81,50.07,8.98,11.11,16.8,8.53,8.41,6.74,12.22,26.01,47.7,8383.1,16479.2,205.92,3424.47,6668.23,145.99,947.34,1646.5,185.72,43.68,203.42,508.1,0
1995,AUS,58.26,56.65,56.04,59.51,69.4,69.86,68.37,63.19,60.5,56.3,56.84,54.42,4.74,4.59,4.82,4.53,4.37,4.77,4.73,5.02,4.67,5.04,4.94,4.94,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,273.55,220.55,223.13,160.89,106.42,93.45,96.57,143.28,170.96,224.6,251.73,281.26,28.18,27.68,24.94,21.5,17.93,15.68,14.99,17.25,20.53,22.84,25.97,26.87,101.84,109.63,53.45,26.63,29.67,23.9,20.85,9.64,16.63,24.63,40.95,60.33,7890.6,8961.4,235.6,2470.49,2913.19,237.6,896.57,924.08,215.9,50.03,241.74,506.7,0
1996,AUS,54.71,52.6,56.72,60.37,64.75,68.8,69.22,66.5,58.2,57.06,50.6,52.28,4.88,4.8,4.76,4.58,4.32,4.28,4.59,4.69,5.4,4.96,5.31,4.99,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,291.18,267.1,234.07,164.61,123.45,91.71,96.26,126.2,189.66,229.59,277.15,294.58,28.06,27.56,25.83,22.11,18.63,17.6,15.53,16.93,19.93,23.47,25.57,27.35,71.47,43.23,63.42,37.01,21.53,26.83,37.38,22.42,21.5,27.87,22.04,67.56,9220.8,16503.9,266.4,3110.59,5822.68,250.8,1136.23,1874.81,263.2,56.22,310.92,208.8,0
1997,AUS,55.23,62.18,59.28,56.11,68.4,69.17,65.94,62.53,61.57,54.92,52.06,53.07,4.92,4.29,4.72,4.3,4.08,4.37,4.64,4.61,4.31,4.91,4.56,4.75,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,285.8,216.95,227.32,170.62,101.3,89.02,100.32,126.31,158.68,232.23,262.28,282.68,27.58,27.08,24.98,22.32,18.27,15.23,13.98,16.12,20.54,23.49,26.37,28.18,109.02,118.92,43.26,10.04,41.6,13.01,11.03,17.83,23.98,20.52,31.08,73.88,10935.5,22924.2,216.1,3365.81,6694.8,237.3,1051.68,1652.8,221.6,66.55,397.54,159.7,0
1998,AUS,54.32,53.19,52.99,61.15,65.53,67.98,72.17,67.08,63.31,58.33,56.66,53.93,4.86,4.77,4.69,4.36,4.21,4.69,4.6,4.28,4.96,4.92,4.65,4.81,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,296.39,253.43,251.84,155.99,116.23,93.21,87.53,121.98,164.07,224,237.9,279.69,28.88,28.38,27.06,22.84,19.68,15.97,14.96,17.78,20.6,23.69,25.69,27.3,80.65,57.84,35.9,49.63,23.29,34.97,43.48,29.69,32.27,32.92,55.49,72.73,10440.6,19226.7,201.1,3520.91,6481.67,240.3,936.63,1634.28,194.6,57.29,271.37,161.5,0
1999,AUS,56.32,58.09,61.06,60.14,62.96,67.96,66.29,63.2,57.89,57.67,56.57,57.36,4.53,4.69,4.53,4.35,4.37,4.47,4.46,4.51,4.65,4.68,4.66,5.05,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,286.65,217.05,209.22,155.33,122.74,90.1,100.85,133.04,182.63,211.32,219.64,258.97,29.15,28.65,26.18,21.17,19.32,15.73,15.22,17.03,20.59,23.49,23.97,26.2,86.2,98.1,86.1,35.32,22.83,19.08,16.39,14.86,12.04,37.24,62.3,88.31,11542.6,21464.8,179.2,3167.3,5987.24,195,908.85,1798.23,172.5,64.22,337.3,141,0
2000,AUS,54.38,61.44,65,68.83,71.62,72.17,67.37,63.89,57.82,58.43,62.02,55.14,4.76,4.84,4.36,4.43,4.96,4.66,4.38,4.42,4.98,4.88,4.38,5.03,18.34,16.77,14.23,11.21,8.4,7.06,7.66,9.9,12.9,15.77,17.6,18.58,0.55,0.5,0.39,0.28,0.18,0.13,0.14,0.2,0.29,0.39,0.47,0.53,280.95,228.33,187.4,132.41,107.2,86.1,93.32,117.78,174.23,199.15,221.49,272.03,27.03,26.53,25.52,22.06,16.96,14.43,15.28,16.2,20.96,22.54,25.74,27.09,75.76,152.15,115.74,72.25,22.97,15.88,13.6,16.35,10.09,47.35,68.41,100.02,12167.6,24757.4,206.4,2595.63,5032.02,264.9,583.57,1117.68,189,82.16,405.82,152.1,0
