Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Covid
1990,NT,46.19,42.45,42.56,45.41,51.91,53.05,43.55,35.39,31.03,30.75,30.03,37.34,4.24,3.81,4.45,3.93,4.53,4.45,4.28,4.44,4.94,4.71,4.32,4.36,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,330.49,306.75,341.55,233.71,218.74,164.27,195.66,233.5,281.16,354.18,400.24,370.97,31.32,29.45,29.81,25.41,23.07,18.25,20.09,20.7,22.97,28.63,31.92,31.79,100.37,44.65,38.63,23.46,54.13,0.85,0.84,3.36,2.56,7.51,21.98,71.18,0
1991,NT,54.67,63.66,51.27,46.05,41.67,48.72,39.82,32.97,29.67,26.3,38.15,33.3,4.71,4.96,3.71,4.09,4.62,3.9,4.08,4.48,4.26,4.56,4.42,4.11,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,316.75,219,304.45,250.02,224.51,164.26,179.35,236.23,280.69,373.88,329.62,387.73,29.82,28.65,28.43,25.74,21.38,21.14,18.76,20.14,24.98,28.39,30.07,31,193.87,237.76,18.84,18.98,1.07,8.2,3.58,0.11,1.77,2.62,53.2,35.51,0
1992,NT,37.58,51.22,45.5,46.03,53.66,48.42,40,38.04,39.7,35.92,34.34,42.17,4.34,4.17,3.75,4.41,4.24,4.07,4.55,4.55,4.57,4.9,4.56,4.27,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,383.53,314.21,333.81,260.15,187.82,163.4,197.61,241.65,287.2,336.64,372.14,368.24,30.5,30.65,30,27.42,23.31,19.44,18.49,21.58,25.84,26.65,29.19,30.84,54.4,112.1,24.32,23.92,37.73,3.25,0.14,5.34,11.48,24.44,24.81,57.43,0
1993,NT,52.52,64.46,56.28,47.11,51.2,53.08,46.47,38.11,37.17,35.02,33.66,47.86,4.58,4.92,3.39,4.35,4.44,4.76,4.14,4.73,4.83,5.01,4.31,4.21,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,340.74,227.59,292.13,268.26,195.84,151.95,170.1,227.75,268.02,331.97,342.92,311.09,30.18,27.94,28.59,26.8,23.09,18.99,19.27,21.04,24.05,27.19,30,29.72,164.39,228.42,34.27,6.05,26.83,14.86,1.79,2.18,10.5,19.39,42.18,126.15,0
1994,NT,44,57.61,47.8,44.1,38.71,42.94,36.61,32.44,27.74,26.02,33.75,41.3,4.26,4.21,4.49,4.71,4.54,4.19,4.49,5.17,4.38,4.7,4.37,3.87,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,371.64,261.68,306.69,282.98,241.95,174.57,198.54,242.05,284.16,365.5,340.04,349.32,31.29,29.8,26.53,24.8,21.48,18.47,17.71,18.57,23.65,27.74,29.4,30.6,62.64,150.33,73.92,12.41,1.75,2.87,0.46,0.1,0.56,4.29,37,83.23,0
1995,NT,54.48,54.11,48.72,43.16,55.22,48.37,42.92,37.95,33.44,33.09,39.5,46.3,4.31,3.98,4.48,4.2,4.47,4.75,4.54,5.28,4.5,4.82,4.34,4.25,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,309.08,261.73,283.62,272.12,181.23,179.01,190.03,250.28,289.96,323.87,344.02,358.48,30.01,29.2,27.19,25.53,21.11,19.41,19.21,20.89,26.04,26.59,30,30.69,181.44,103.48,90.17,16.19,17.66,5.34,2.38,0.1,3.99,13.33,46.62,81.27,0
1996,NT,43.13,41.5,50.06,46.3,46.7,45.12,40.69,41.49,28.8,33.11,28.08,45.41,4.46,4.13,4.38,4.45,4.56,4.08,4.25,4.33,4.47,4.79,4.66,4.4,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,381.37,341.91,296.41,256.86,224.77,180.4,192.49,226.54,311.17,352.13,385.1,365.82,30.73,30.21,27.92,25.51,21.46,22.25,19.79,21.49,24.91,27.82,29.83,30.84,76.83,64.36,90.4,60.36,3.94,1.96,8.58,3.5,0.49,21.37,18.43,113.04,0
1997,NT,55.09,67.52,52.39,45.55,50.43,47.75,42.88,37.81,34.58,35.23,35.28,49.31,4.19,3.54,4.47,4.37,3.93,4.65,5.08,4.34,4.37,4.3,3.87,3.77,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,286.14,200.59,297.75,257.56,179.42,169.9,188.53,221.9,279.67,322.48,330.04,301.51,29.35,28.89,26.84,25,21.69,18.24,17.26,20.62,26.2,27.78,30.05,30.3,196.29,168.34,43.78,1.81,14.17,1.4,1.51,0.48,5.48,20.49,37.46,127.59,0
1998,NT,49.8,49.69,47.28,51.55,49.46,47.38,51.39,40.75,38.16,38.78,43.52,48.91,4.36,4.04,4.41,4.37,4.28,4.49,4.72,4.41,4.61,4.53,3.99,4.31,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,348.74,295.89,339.89,241.87,206.31,172.41,176.96,230.89,270.31,345.04,304.37,322.77,31.22,30.65,29.7,26.73,22.97,20.31,19.97,21.91,25.38,29.07,29.85,30.18,128.73,73.97,44.2,53.91,5.04,9.02,12.42,1.95,17.92,41.09,66.76,109.44,0
1999,NT,54.02,52.61,51.41,44.44,44.1,45.92,40.47,34.89,31.34,37.39,43.56,51.81,3.74,3.96,4.2,4.75,4.26,4.5,4.48,4.56,4.53,4.18,3.96,4.22,18.46,18.1,16.91,15.17,12.29,10.97,11.63,13.95,16.45,18.15,18.79,18.48,0.58,0.58,0.52,0.43,0.31,0.25,0.27,0.35,0.44,0.51,0.55,0.56,304.36,248.25,286.58,259.73,222.11,177,186.7,228.18,289.4,281.44,290.59,293.25,30.88,29.46,29.01,24.74,22.5,19.31,18.4,21.02,25.2,27.62,27.96,29.6,122.7,125.2,103.76,38.71,0.32,7.35,1.74,1.18,1.16,40.97,72.17,123.73,0
