Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_price,Oats_Area,Oats_Production, Oats_Price ,Covid
1990,Tas,71.55,77.3,74.07,79.34,81.16,83.57,84.49,82.44,80.08,80.8,77.41,75.77,5.51,4.8,4.73,4.8,5.91,5.98,6.06,5.17,5.34,4.69,5.65,5.56,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,179.8,111.61,112.2,63.09,41.1,26.08,34.75,31.16,58.43,89.35,125.07,139.55,14.54,14.49,14.21,12.01,8.75,7.33,6.22,5.75,8.12,10.27,12.08,13.36,64.97,80.95,63.01,85.7,123.21,151.54,201.62,140.43,98.44,99.1,107.81,113.56,0.8,2.7,185.19,7.99,19.33,186.33,7.6,12.8,156.25,0
1991,Tas,75.33,71.17,75.78,79.12,82.98,84.92,84.11,82.86,82.38,78.85,76.82,79.07,5.69,5.47,5.06,5.51,4.06,5.35,5.4,7.02,5.58,6.14,6.21,4.8,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,156.58,139.81,95.55,57.62,26.49,21.9,24.81,43.02,55.01,99.37,112.67,134.08,14.76,13.27,12.05,10.33,8.54,7.98,6.48,6.32,7.9,10.39,10.89,13.31,100.3,19.65,88.94,95.83,44.12,175.78,145.8,260.79,131.92,89.11,130.36,106.65,0.6,2.4,125,9.77,25.98,173.22,9.3,18.8,132.98,0
1992,Tas,76.3,77.52,77.05,81.28,83.28,82.82,83.85,82.47,80.84,80.25,79.16,79.86,5.94,4.95,5.11,4.74,4.83,5.18,6.31,6.25,5.25,4.74,5.47,4.65,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,133.36,129.64,115.56,54.05,29.08,20.2,26.9,34.01,44.96,86.24,106.75,131.28,12.97,14.21,14.05,11.21,8.79,5.61,6.17,6.13,6.72,10.39,11.28,14.07,98.16,58.77,36.5,143.08,127.72,115.21,206.92,181.4,134.79,120.27,131.03,80.53,1.2,3.2,156.25,11.35,31.8,141.55,9.1,18.6,112.91,0
1993,Tas,75.12,76.41,79.72,79.83,82.2,81.88,85.27,82.02,81.35,78.48,77.83,77.97,5.27,5.54,4.61,5.06,5.61,6.86,5.55,6.67,4.88,6.03,5.63,5.92,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,145.39,121.81,82.76,54.68,38.14,26.96,26.4,48.45,55.28,90.15,102.21,129.94,15.09,15.15,13.34,12.07,8.79,6.58,7.41,7.95,8.47,9.8,10.82,13.14,77.45,116.94,64.25,68.36,118.23,148.43,142.08,160.4,90.38,130.28,127.84,178.14,1.5,5.5,145.46,12.3,35.29,138.87,9.2,19,105.27,0
1994,Tas,76.66,78.38,77.24,79.44,80.45,83.11,83.25,79.72,79.77,79.3,76.75,71.86,6.37,4.63,4.41,5.82,7.04,5.04,6.22,7.06,6.48,5.18,6.51,4.98,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,145.42,117.42,97.21,63.6,51.6,24.04,28.77,46.74,64.51,96.57,118.58,197.53,12.91,15.1,12.63,11.9,8.41,6.66,6.45,6.18,6.88,9.93,10.76,14.69,111.25,66.16,23.86,102.7,242,106.12,140.92,154.84,136.83,99.96,146.21,24.62,1.6,5.3,132.08,15.21,40.76,149.68,6.66,12.75,117.71,0
1995,Tas,77.75,74.92,75.22,80.75,83.86,84.17,84.7,83.14,80.59,77.63,78.81,76.73,4.53,4.62,6.18,5.75,4.74,4.82,5.35,6.89,5.89,5.53,5.79,5.58,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,149.18,117.93,106.37,57.09,31.78,21.34,21.93,49.67,57.19,92.43,102.94,130.04,15.59,14.99,12.52,9.62,8.21,5.95,4.74,7.02,7.11,9.15,10.87,11.74,115.55,52.87,110.96,136.91,86.45,129.47,143.96,180.83,108.67,93.32,92.01,92.13,1.3,2.8,214.29,13.97,27.08,199.47,8.32,11.29,194.92,0
1996,Tas,79.63,80.5,80.09,81.45,83.06,84.75,85.88,83.06,80.97,80.08,76.82,74.01,5.14,4.92,5.22,6.01,5.62,4.93,4.9,6.12,6.79,6.04,6.53,5.25,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,148.68,108.69,88.87,49.89,39.58,25.41,22.59,51.47,72.94,90.66,111.68,144.99,14.63,13.55,12.93,9.55,8.93,6.75,6.07,6.79,7.27,10.16,9.89,11.71,148.37,108.42,135,169.02,65.32,127.4,120.82,203.45,204.79,128.31,130.8,69.84,1.1,4.1,219.52,14.02,38.47,210.6,10.07,18.45,151.81,0
1997,Tas,76.11,77.94,76.39,78.47,82.41,84.45,81.8,81.8,81.81,78.53,75.19,74.42,4.63,4.33,5.21,6.06,4.73,4.81,6.14,6.71,4.6,6.06,5.65,5.61,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,159.26,119.88,111.5,66.38,33.38,19.41,33.81,48.65,55.34,105.62,129.1,158.52,15.42,15.88,12.24,10.53,8.3,6.77,5.77,6.82,8.08,10.05,11.53,12.93,93.46,45.23,105.23,105.23,138.05,70.47,106.97,154.53,97.97,112.41,93.79,91.21,1.9,7.5,173.34,14.51,35.24,175.96,8.12,13.99,150.19,0
1998,Tas,74.38,75.32,75.14,80.39,82.61,83.41,83.64,81.71,80.96,78.33,76.38,76.13,4.72,6.05,5.9,5.29,5.42,5.92,5.55,4.86,6.18,5.99,5.04,5.52,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,184.9,139.83,120.08,61.33,34.8,27.49,30.5,41.61,66.61,89.65,119.97,161.03,15.72,14.33,13.12,10.27,8.47,6.62,5.87,6.85,9.08,9.2,11.22,14.38,48.13,95.64,55.46,104.69,87.63,120.44,135.99,84.98,158.27,157.59,99.39,108.5,2.8,11.7,226.9,13.16,30.92,230.27,7.98,14.9,208.16,0
1999,Tas,76.19,80.36,77.86,79.57,84.91,83.24,82.25,83.66,80.81,77.69,73.99,73.03,4.1,5,5.12,4.76,5.74,5.21,5.7,4.88,4.91,5.34,5.15,5.53,16.54,14.12,10.4,6.79,4.17,3.15,3.6,5.48,8.56,12.24,15.07,16.81,0.46,0.37,0.24,0.12,0.05,0.03,0.04,0.07,0.13,0.24,0.35,0.44,167.9,113.96,97.91,52.07,41.01,24.45,34.37,41.65,61.09,95.53,115.85,162.45,15.76,16.05,13.27,10.1,10.26,7.25,6.6,7.61,9.52,10.89,10.73,13.88,27.69,154.4,100.54,78.77,136.22,73.94,121.85,121.88,78.85,112.06,90.73,81.17,4,17.5,226.9,11.17,30.05,230.27,7.97,14.41,208.16,0
