Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_price,Oats_Area,Oats_Production,Oat_price,Corn_Area,Corn_Production,Corn_price,Covid
1990,NSW,44.83,52.72,50.77,71,75.25,78.99,79.7,75.69,68.8,61.58,47.78,42.28,4.7,4.49,4.64,4.47,3.78,4.16,4.25,5.09,4.41,4.76,4.62,4.8,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,315.11,211.74,224.64,101.06,76.17,52.72,55.88,77.48,118.52,186.28,262.33,326.2,26.06,23.76,22.86,18.56,13.98,9.99,10.13,10.3,13.92,17.65,21.98,25.85,45.12,82.6,36.11,153.7,66.61,29.41,57.56,49.32,31.68,33.09,11.71,23.48,2123.4,3423.3,148.69,412.9,655.6,145.83,365.2,503.5,93.95,16.7,97.6,148.57,0
1991,NSW,48.78,45.11,42.81,50.28,65.36,74.77,74.95,66.36,56.73,52.1,45.74,49.36,4.7,4.42,4.44,3.78,3.53,4,4.13,4.78,4.73,4.54,4.62,4.57,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,297.68,259.62,241.56,148.09,81.9,62.51,64.27,107.51,152.95,221,250.71,264.58,26.16,26.4,22,17.7,14.01,13.09,9.64,10.92,14.14,19.37,20.91,22.3,80.35,35.92,15.29,12.12,42.82,73.13,45.48,23,22.89,12.92,25.33,81.04,2165.8,4127.6,73.99,463.3,822.5,103.35,374.3,538.4,84.33,17.8,90.6,150.12,0
1992,NSW,47.19,57.44,52.34,57.47,68.85,76.16,70.64,67.36,65.55,62.23,60.46,64.05,4.56,4.56,3.97,4.11,3.4,3.67,3.93,4.58,4.39,4.64,4.72,4.49,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,299.82,199.04,208.67,137.41,71.21,49.88,73.45,90.01,118.04,171.61,196.07,199.24,23.66,23.44,22.69,18.39,13.61,10.15,10.06,10.51,12.64,17.25,18.63,22.12,44.86,98.01,23.35,35.2,28.96,21.73,21.48,53.25,40.76,56.84,75.76,122.1,1499.3,2183,161.57,517.5,748.7,129.03,456.7,578.8,82.07,16.8,119.1,151.98,0
1993,NSW,59.21,53.97,56.5,54.13,64.27,75.48,75.12,68.47,68.02,64.22,56.32,54.88,4.13,4.29,4.23,3.62,3.42,3.91,3.57,3.96,4.39,4.47,4.46,5.05,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,263.97,219.64,194.77,145.15,76.29,55.42,55.4,89.7,115.93,169.68,221.07,246.28,25.78,24.74,21.24,16.94,14.1,10.03,11.44,11.97,13.87,16.6,20.91,22.37,70.61,38.51,47.8,6.95,31.36,26.84,76.6,20.9,59.34,73.38,39.42,61.25,1694,3582.7,132.75,559.7,1043.8,102.8,447.7,761.5,65.27,15.6,107.9,165.9,0
1994,NSW,44.78,56.38,57.97,56.27,59.14,72.71,68.22,61.72,53.56,48.75,50.25,42.68,4.83,4.5,4.18,4.19,3.91,3.88,3.69,3.75,4.4,4.61,5.16,4.84,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,331.76,194.91,179.77,138.05,103.59,65.2,69.79,100.83,160.89,214.43,248.99,326.6,25.32,24.57,19.87,15.57,13.53,11.21,9.81,10.25,13.42,17.86,21.3,25.38,19.71,85.82,50.73,18.18,11.31,26.05,13.88,9.5,12.13,24.93,43.7,38.88,1977.7,5086.1,122.65,622.98,1356.97,88.95,368.98,617.8,74.62,14.19,100.02,159.97,0
1995,NSW,57.53,53.37,48.99,58.47,75.19,77.14,74.82,68,65.2,59.39,59.8,49.59,4.76,4.33,4.62,4.32,4.01,4.5,4.42,3.9,4.1,4.46,4.48,4.71,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,256.1,216.73,224.86,136.84,72.26,56.72,66.86,109.93,129.72,190.94,213.02,275.75,24.33,23.77,21.09,16.79,14.11,11.06,9.22,13.03,14.4,18.03,21.5,22.17,140.46,32.06,24.26,13.62,77.51,37.62,29.7,4.61,48.68,44.96,78.1,46.31,1423.8,874.6,203.53,409.79,291.5,201.72,375.47,197.28,210.88,20.54,145.35,218.11,0
1996,NSW,53.2,47.61,52,58.08,71.39,75.69,77.81,71.24,63.85,61.74,52.78,47.97,4.39,5,4.12,3.87,3.93,3.94,4.43,4.19,5.2,4.14,5.01,4.84,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,270.41,243.01,217.94,143.35,77.88,60.21,58.57,85.59,151.14,193.74,249.14,293.26,24.72,22.65,21.75,17.45,14.14,11.94,9.92,11.33,14.33,18,19.75,23.19,99.24,32.12,27.29,15.88,78.1,38.46,62.03,44.1,48.41,38.34,49.54,57.99,2328.3,4508.4,199.94,593.18,1073.65,183.21,505.07,711.16,154.68,23.57,190,196.85,0
1997,NSW,50.49,54.02,52.97,48.24,69.55,73.41,72.09,65.83,66,54.78,49.66,43.8,4.85,4.11,4.17,3.51,3.95,3.83,3.8,3.97,4.08,4.55,4.21,4.62,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,299.48,231.55,216.24,154.43,81.32,62.03,67.73,101.45,121.04,207.95,267.47,312.42,24.15,26.74,21.28,16.98,14.23,10.54,9.07,10.67,14.59,18.42,23.32,25.42,61.1,70.02,27.27,3.42,51.78,35.19,14.42,18.62,62.37,38.84,37.28,43.11,3192,8363.4,166.47,668.18,1483.05,164.26,392.72,607.24,113.31,30.74,255.86,199.34,0
1998,NSW,49.25,45.35,43.25,56.3,68.69,73.17,78.17,74.24,71.25,62.17,58.69,47.36,4.49,4.43,4.63,3.84,3.88,4.41,4.36,3.92,4.37,4.4,4.48,4.39,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,292.53,244.83,256.6,135.28,78.84,59.45,52.9,77.9,113.04,174.3,205.99,291.67,26.02,25.34,23.73,19.43,13.75,10.62,9.4,12.37,15.39,16.85,19.7,24.17,60.06,39.6,6.87,56.43,41.55,52.74,91.31,69,81.72,44.23,57.24,25.59,2936.2,5906.4,213.7,701.08,1364.66,196.4,324.89,488.21,189.43,22.4,161.16,234.9,0
1999,NSW,47.55,51.64,57.38,62.8,66.22,75.36,74.18,69.89,63.08,62.88,57.94,56.05,4.46,4.75,4.18,4.19,3.63,4.28,4.04,4.17,4.25,4.22,4.47,4.8,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,300.6,220.13,188.18,125.61,85.7,60.7,63.85,99.32,146,169.99,201.46,238.15,27.33,24.22,22.23,17.93,14.68,10.92,10.94,11.82,15.9,18.79,18.45,21.63,56.22,40.79,70.94,46.03,28.03,39.82,48.84,41.76,32.27,91.19,63.75,90.09,3173.8,6563.3,213.7,637.99,1247.38,196.4,353.96,669.06,189.43,26.51,186.16,234.9,0
2000,NSW,50.63,52.6,63.11,67.42,74.28,78.35,74.42,71.17,63.55,61.02,65.38,46.81,4.71,4.89,3.9,4.01,4.16,4.07,3.92,4.19,4.22,4.55,4.28,4.26,19.02,16.97,14.07,10.62,7.62,6.03,6.71,9.06,12.39,15.57,17.55,19.07,0.56,0.49,0.37,0.24,0.14,0.09,0.1,0.16,0.25,0.36,0.45,0.53,291.84,243.35,169.77,120.76,78.25,58.88,66.25,85.57,153.66,181.69,184.59,285.79,23.03,25.25,22.66,18.36,12.83,9.93,10.03,11.03,16.11,17.35,21.63,24.31,29.65,66.08,93.89,52.28,59.92,23.73,25.49,39.03,23.49,65.69,110.76,27.54,3424.5,8601.9,213.7,475.93,1040.31,196.4,159.73,283.72,189.43,22.06,177.76,234.9,0
2001,NSW,41.78,52.22,52.92,54.63,65.7,73,75.91,65.86,61.86,57.1,52.64,42.06,4.74,4.53,4.53,3.78,3.91,3.61,3.8,4.77,4.44,4.58,4.87,4.69,19.02,16.99,13.77,10.7,7.49,6.1,6.42,9.02,11.79,14.99,16.86,18.65,0.55,0.5,0.37,0.24,0.14,0.09,0.1,0.15,0.24,0.33,0.43,0.51,339.77,233.52,209.84,148.83,88.54,60.4,59.74,105.19,141.73,192.09,227.04,303.39,27.77,26.46,21.45,17.15,13.11,11.29,10.11,11.21,15.78,16.59,20.13,23.05,41.82,63.24,74.73,24.14,28.01,36.29,42.35,25.63,27.79,48.62,45.84,19.98,3670.8,7867.3,213.7,615.45,1253.31,196.4,167.9,245.7,189.43,26.42,177.62,234.9,0
2002,NSW,41.33,53.47,50.84,57.42,61.88,67.52,60.73,60.41,53.11,43.95,40.63,40.81,4.63,4.76,4.15,3.6,3.77,4.39,4.15,4.14,4.71,4.89,4.62,4.91,19.34,15.97,14.54,10.69,7.34,6.02,7.04,9.12,12.25,16.31,17.69,18.88,0.56,0.45,0.38,0.24,0.13,0.09,0.12,0.16,0.25,0.38,0.47,0.52,328.08,215.88,233.38,149.24,97.15,79.82,92.47,116.59,180.36,256.43,306.38,340.83,24.94,23.57,22.29,17.99,13.69,11.07,10.1,11.95,15.54,18.76,23.94,24.26,24.36,81.15,37.82,20.29,19.13,20.36,8.15,16.03,26.5,8.26,16.87,34.81,3446,8042.8,209.63,664.71,1382.3,168.28,230.92,320.39,146.08,28.32,245.81,163.96,0
