Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barely_price,Oats_Area,Oats_Production,Oats_price,Corn_Area,Corn_Production,Corn_price,Covid
1990,QLD,53.42,50.44,61.69,72.83,74.69,77.64,71.19,58.13,54.91,50.94,42.64,50.16,4.37,4.4,5.1,4.02,4.46,4.32,4.25,4.37,5.03,4.97,5.04,5.03,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,315.24,289.12,242.8,145.23,138.57,109.33,128.3,170.97,220.85,268.04,337.48,334.5,30.24,28.47,26.95,22.99,20.38,16.43,16.72,16.62,20.32,24.91,28.53,30.06,48.98,38.73,138.5,144.05,69.86,38.62,10.56,3.71,4.81,13.22,11.77,81.72,894.3,1420,160.15,179.4,320.7,139.7,15.4,14.3,153.85,34.2,114.6,155.33,0
1991,QLD,68.52,73.99,62.64,57.89,63.52,64.05,58.89,52.99,44.25,44.3,51.22,51.78,4.55,4.87,4.34,4.42,4.57,3.76,4.05,4.62,4.55,5.1,4.7,3.9,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,234.44,180.23,258.03,199.54,164.99,123.34,139.29,188.54,242.16,307.37,299.37,314.7,27.82,27.79,26.65,23.33,20.4,18.39,15.79,17.93,21.53,25.73,28.38,28.28,276.01,233.9,18.43,10.64,16.93,8.88,9.93,0.52,0.57,9.89,37.81,75.8,1060.3,1973.2,94.52,176.9,360.8,106.71,24.2,27.1,199.27,29.3,94.9,149.64,0
1992,QLD,49.2,64.82,59.6,59.63,66.64,64.58,58.47,53,51.39,47,46.34,55.75,4.55,4.38,4.1,4.74,4.33,3.79,4.64,4.6,4.62,5.51,4.85,4.7,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,352.38,226.72,258.78,215.98,145.05,122.62,142.37,186.86,215.9,283.42,297.85,295.02,29.6,28.25,27.19,24.49,20.75,16.4,16.35,18.75,21.9,24.18,26.49,27.87,58.38,168.25,30.3,18.37,42.27,2.98,6.83,11.79,20.15,17.29,30.34,102.17,491.7,343.7,181.85,127.8,70.1,171.19,15,5.2,173.08,33.7,141.2,144.48,0
1993,QLD,61.45,64.75,58.5,55.94,62.61,65.48,66.83,55.41,54.72,52.38,50.63,56.44,4.35,4.42,4.13,5.11,4.69,4.7,4.22,4.64,5.33,5.13,4.84,4.97,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,272.79,225.09,282.15,235.75,167.14,138.97,133.15,185.01,222.84,275.73,294.99,303.76,29.01,28.37,26.89,24.65,21.33,17.59,18.57,18.76,21.64,24.61,27.86,28.13,108.15,127.16,27.36,7.38,12.29,11.09,30.69,20.64,21.34,24.57,42.72,70.86,669.2,735.2,154.66,189.3,285.2,138.15,14.8,9.7,216.5,27.2,74.6,195.72,0
1994,QLD,53.84,67.02,63.33,58.58,58.36,61.72,58.64,53.83,45.38,45.91,48.72,48.22,4.44,4.43,4.73,5.06,4.43,4.13,4.54,4.99,4.6,5.15,4.76,4.67,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,337.37,209.64,216.08,214.06,168.99,130.51,154.1,191.39,243.47,293.51,312.43,323.6,30.68,28.23,25.05,23.18,19.89,16.75,16.34,17.08,20.71,24.93,27.47,29.1,70.02,130.55,108.1,10.23,6.51,8.6,4.81,2.01,2.19,17.94,33.22,37.99,555.5,555.4,150.71,232.22,260.54,137.41,15.89,7.8,166.84,27.62,87.12,203.18,0
1995,QLD,62.66,65.63,58.72,55.11,71.02,66.92,59.52,59.72,52.94,53.25,55.59,54.46,4.55,4.27,4.45,4.45,4.52,4.75,4.36,5.31,4.76,5.08,4.88,4.32,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,299.75,213.61,262.23,217.76,151.41,137.96,144.57,188.9,231.9,266.53,303.43,322.46,29.24,27.72,27.24,23.32,20.48,17.7,16.46,18.73,22.51,24.65,28.43,28.82,118.44,140.21,82.22,16,35.08,11.5,2.28,18.44,13.61,37.96,61.84,68.47,400.7,225.1,242.12,93.48,72.85,216.9,13.67,3.2,221.38,27.18,79.89,234.09,0
1996,QLD,62.27,56.24,60.97,58.55,66.77,65.81,62.08,62.37,49.45,55.61,46.06,54.75,4.16,4.45,4.9,4.23,4.4,4.14,4.14,4.43,4.61,5.32,4.62,4.45,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,256,284.01,248.89,214.56,161.35,129.64,142.19,169.67,240.85,255.08,325.53,316.31,28.65,28.3,26.76,24.36,20.78,19.55,16.42,18.69,21.63,24.92,27,29.26,168.58,57.6,86.76,33.16,35.02,12.78,25.03,20.69,16.5,53.15,26.24,85.02,626.5,519.5,228.3,167.85,195.03,188.18,14.11,6.9,174.35,30.97,113.6,198.07,0
1997,QLD,62.61,73.36,69.45,60.74,67.07,69.33,65.31,56.09,51.75,48.06,51.89,57.67,4.5,3.72,4.73,4.37,3.76,4.45,4.9,4.23,4.65,4.92,4.44,4.21,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,279.09,206.08,222.68,205.59,136.82,122.37,143.81,171.42,223.39,287.69,279.62,259.43,28.12,28.37,25.92,23.24,19.78,16.9,16.51,17.75,22.95,25.4,28.06,29.62,133.07,162.92,109.22,6.92,33.19,8.48,5.27,5.13,15.13,19.15,50.27,137.35,979.7,1979.5,166.16,180.22,428.6,134.4,39.39,25.7,163.28,34.21,129.9,183.23,0
1998,QLD,59.23,60.33,56.19,63.19,65.41,65.22,69.47,65.85,63.95,56.53,58.21,55.6,4.64,4.1,4.26,4.56,4.29,4.26,4.78,4.72,5.12,4.9,4.36,4.4,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,265.1,232.58,263.47,187.47,137.05,122.89,128.93,159.53,193.9,259.25,250.99,292.83,29.28,29.61,28.06,24.82,20.78,17.63,17.69,19.53,23.25,25.84,26.95,28.71,152.6,112.22,59.26,65.78,34.81,29.4,31.94,43.3,44.38,44.69,82.92,81.16,1001.4,1392.1,235.02,135.26,204.48,217.02,16,13,298.51,33.58,96.86,232.87,0
1999,QLD,64.3,63.03,68.97,64.58,65.89,66.59,65.16,60.53,53.84,54.31,60.29,62.34,4.1,4.41,4.21,4.55,4.43,4.59,4.47,4.79,5.03,4.97,4.76,4.76,17.15,16.55,14.79,13,10.67,9.22,9.98,12.17,14.74,17.09,17.98,17.96,0.53,0.52,0.45,0.35,0.26,0.21,0.23,0.3,0.38,0.47,0.51,0.53,246.98,217.96,206.82,169.6,146.05,124.48,135.65,180.91,231.51,272.02,236.15,256.21,29.36,28.59,27.25,22.66,20.87,17.44,16.92,18.79,22.38,26.3,25.42,26.8,155.94,128.18,117.8,52.41,17.01,17,12.56,8.13,5.8,27.35,120.39,117.68,1138.8,1941.2,235.02,163.3,320.4,217.02,18.14,15.3,298.51,36.74,144.91,232.87,0
