Year,State,Jan_humidity,Feb_humidity,Mar_humidity,Apr_humidity,May_humidity,Jun_humidity,Jul_humidity,Aug_humidity,Sep_humidity,Oct_humidity,Nov_humidity,Dec_humidity,Jan_wind,Feb_wind,Mar_wind,Apr_wind,May_wind,Jun_wind,Jul_wind,Aug_wind,Sep_wind,Oct_wind,Nov_wind,Dec_wind,Jan_uva,Feb_uva,Mar_uva,Apr_uva,May_uva,Jun_uva,Jul_uva,Aug_uva,Sep_uva,Oct_uva,Nov_uva,Dec_uva,Jan_uvb,Feb_uvb,Mar_uvb,Apr_uvb,May_uvb,Jun_uvb,Jul_uvb,Aug_uvb,Sep_uvb,Oct_uvb,Nov_uvb,Dec_uvb,Jan_eva,Feb_eva,Mar_eva,Apr_eva,May_eva,Jun_eva,Jul_eva,Aug_eva,Sep_eva,Oct_eva,Nov_eva,Dec_eva,Jan_temp,Feb_temp,Mar_temp,Apr_temp,May_temp,Jun_temp,Jul_temp,Aug_temp,Sep_temp,Oct_temp,Nov_temp,Dec_temp,Jan_rain,Feb_rain,Mar_rain,Apr_rain,May_rain,Jun_rain,Jul_rain,Aug_rain,Sep_rain,Oct_rain,Nov_rain,Dec_rain,Wheat_Area,Wheat_Production,Wheat_price,Barley_Area,Barley_Production,Barley_Price,Oats_Area,Oats_Production,Oats_Price,Covid
1990,SA,41.08,44.97,42.39,53.79,62.06,68.06,65.42,62.11,52.08,46.72,37.94,39.47,6.1,5.68,5.56,5.15,4.61,5.01,4.94,5.56,5.08,5.77,5.54,5.86,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,352.91,282.86,316.76,186.73,135.72,86.72,105.79,134.83,206.15,291.32,344.78,355.81,27.94,24.66,25,19.7,16.79,12.18,12.4,13,16.94,20.75,25.05,26.29,26.46,9.61,5.63,14.76,36.03,16.22,21.73,20.21,10.55,12.36,2.76,20.04,1556.6,2607.2,173.95,899.5,1724.48,128.74,172,249.9,98.04,0
1991,SA,41.31,35.44,41.59,45.37,56.03,69.7,66.34,59.5,51.56,42.8,41.63,43.83,5.85,5.85,5.23,4.58,4.25,4.5,4.49,5.72,5.58,5.45,5.94,5.63,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,369.22,330.91,292.91,202.1,134.55,92.05,105.18,153.71,213.83,312.31,344.17,355.31,27.98,28.39,23.99,20.05,15.13,14.65,12.57,13.63,17.4,21.57,23.76,24.36,15.83,6.34,7.12,8.42,7.77,41.68,18.67,13.28,10.9,3.22,24.85,10.98,1447.8,2020.8,114.76,945,1505.72,100.82,134.6,147.6,78.6,0
1992,SA,41.34,46.25,48.41,52.75,64.72,70.78,64.06,58.99,61.52,56.48,50.3,54.64,5.93,5.75,4.95,4.35,3.94,4.15,4.5,5.54,5.07,5.14,5.79,5.68,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,359.89,325.1,281.83,190.2,106.59,87.61,111.83,144.85,168.69,218.68,289.83,282.06,24.78,26.81,25.05,20.46,15.16,12.39,12.22,12.72,15.09,19.04,20.8,23.79,3.72,41.06,16.91,25.08,29.66,17.14,7.66,39.22,36.82,48.58,27.05,54.29,1296.8,2141,174.41,999.2,1881.55,115.02,129.3,172.5,95.08,0
1993,SA,48.81,45.09,45.98,42.39,61.22,68.6,67.83,56.87,57.02,54.32,43.89,51.11,5.21,5.62,5,4.35,4.18,4.36,4.65,4.93,4.87,5.7,5.3,5.75,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,338.21,314.59,274.07,212.08,124.16,77.9,102.01,164.36,191.39,252.95,326.3,323.46,27.5,26.43,24.06,21.34,15.94,11.57,12.51,14.41,16.32,19.01,24.56,24.33,36.5,3.7,6.49,1.35,25.34,13.09,30.59,18.18,22.87,42.24,11.66,39.48,1419.5,2421.2,151.25,1023.3,1855.32,103.38,122.9,164.5,79.64,0
1994,SA,40.83,46.55,41.17,46.31,51.91,64.39,56.61,54.11,51,42.03,43.61,34.99,6.09,5.39,4.81,4.51,4.87,4.27,4.26,4.54,4.97,5.57,5.91,5.64,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,389.14,278.3,302.63,209.14,168.19,94.98,118.89,147.54,209.46,309.57,312.03,408.45,26.74,26.2,23.43,19.36,15.91,12.94,12.18,12.61,16.12,20.81,22.59,27.22,4.13,33.82,1.32,2.5,4.94,30.43,9.34,3.54,5.13,5.73,10.35,10.09,1216,2121.1,144.08,1115.32,2242.36,120.99,101.5,135.06,76.27,0
1995,SA,46.83,41.2,47.52,52.91,63.28,66.8,66.41,57.5,53.91,48.59,48.67,41.47,5.45,5.29,5.22,4.54,4.6,5.21,5.28,4.85,4.9,5.97,5.42,5.77,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,333.78,302.18,270.13,178.06,115.49,98.63,94.56,160.77,198.77,285.74,320.01,361.66,27.09,26.6,22.35,18.11,14.53,13.32,12.17,14.78,16.94,20.19,23.53,24.86,47.87,12.62,10.12,14.54,17.89,29.98,24.54,4.85,15.47,22.94,22.41,24.38,1394.7,1487.4,213.06,881.89,1158.72,187.89,94.93,86.99,180.5,0
1996,SA,40.61,37.24,42.75,53.25,58.08,64.02,68.95,63.72,52.92,47.41,41.66,39.63,5.84,5.62,5.11,4.85,4.04,4.79,5.2,4.95,6.38,5.4,6.08,5.88,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,395.48,367.04,326.67,199.76,134.19,101.54,100.18,134.96,227.28,289.07,348.91,383.19,26.11,26.5,24.78,18.57,15.09,14.21,12.89,13.73,17.19,20.32,22.78,25.98,5.76,5.54,10.41,4.76,6.54,24.2,43.87,23.15,27.29,8.59,6.47,15.16,1519.1,2724,235.87,963.51,1851.08,175.15,119.62,161.9,158.14,0
1997,SA,41.47,53.01,48.99,45,64.87,67.33,61.11,58.14,56.92,50,42.95,42.96,5.84,5.22,5.46,4.32,4.22,4.43,4.28,4.75,4.78,5.29,4.96,5.3,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,387.71,306.77,293.07,208.55,111.17,95.3,101.42,136.18,163.09,274.19,336,350.09,27.29,29.2,22.35,20.21,15.51,12.18,10.34,12.78,17.28,20.61,24.94,26.73,19.7,68.81,2.64,0.7,28,7.22,5.03,20.07,35.7,21.41,18.79,21.14,1534.9,2794.9,185.74,1008.93,1923.22,166.65,120.6,155.76,111.08,0
1998,SA,44.03,40.63,43.75,53.36,60.55,63.64,70.75,64.85,56,50.64,45.06,40.22,5.66,5.36,5.17,4.56,4,4.71,4.52,4.46,5.18,5.33,5.4,5.49,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,369.56,321.9,298.97,176.01,140.95,105.87,82.27,134.31,205.21,280.9,312.2,370.22,27.37,26.96,24.52,18.84,16.59,12.6,10.89,14.42,17.66,20.3,23.3,26.02,17.56,18.13,15.31,38.11,5.71,19.94,45.96,13.16,24.48,16.51,29.36,11.98,1438.5,2689.2,224.7,1017.31,2027.09,185.77,110.55,153.02,192.75,0
1999,SA,40.36,42.45,47.86,47.38,52.1,61.95,61.89,54.56,48.69,50.55,48.45,46.17,5.8,5.46,5.39,4.41,4.44,4.5,4.39,4.76,5.1,5.19,5.12,5.95,20.35,18.46,15.76,11.88,8.59,7.08,7.71,10.17,13.6,16.77,18.93,20.23,0.61,0.54,0.43,0.29,0.17,0.12,0.13,0.19,0.29,0.41,0.5,0.58,417.94,306.34,293.12,200.09,156.36,92.97,118.06,162.17,236.28,274.37,270.97,352.59,29.35,27.08,25.09,18.08,17.05,12.61,12.71,14.22,18.69,20.9,21.37,24.9,14.17,16.42,22.33,2.36,11.99,12.85,7.54,11.51,12.66,32.29,21.9,34.75,1762.1,3310.4,224.7,975.32,2050.98,185.77,112.45,178.09,192.75,0
